section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,758,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,251052844,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETTPCALL_REG_FUNC_REG_REG_INT,,282,1961145,406818640,207,41,18000,7.720133,,,,,,,,,,,,,,
instruction,COPY_REG_REG,,8,6721552,384963472,57,0,30666,7.305391,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,30133871,378168524,12,0,60000,7.176444,,,,,,,,,,,,,,
instruction,CALL_REG_FUNC,,45,2240606,269409887,120,0,17000,5.112549,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,13739582,181823153,13,0,17583,3.450429,,,,,,,,,,,,,,
instruction,SCOPY_REG_REG,,11,12876689,176863496,13,0,17375,3.356311,,,,,,,,,,,,,,
instruction,RET_REG,,49,3641664,172043505,47,0,17084,3.264842,,,,,,,,,,,,,,
instruction,REQ_REG_REG_REG,,563,5320421,166926044,31,0,18667,3.167729,,,,,,,,,,,,,,
