sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
rss-rexxcps-canonical-rss-rxvm-before-recorded-1,rss,rexxcps-canonical,rss-rxvm-before,crexx,rxvm,before-candidate-a,adapted,no,no,recorded,1,1,0,1810373000,10158080,0,pass,5554966,cREXX clauses per second
rss-rexxcps-canonical-rss-rxvm-after-recorded-1,rss,rexxcps-canonical,rss-rxvm-after,crexx,rxvm,after-d2-hybrid,adapted,no,no,recorded,1,2,0,1680493000,10108928,0,pass,5985852,cREXX clauses per second
rss-rexxcps-canonical-rss-rxbvm-before-recorded-1,rss,rexxcps-canonical,rss-rxbvm-before,crexx,rxbvm,before-candidate-a,adapted,no,no,recorded,1,3,0,1958904000,10223616,0,pass,5132150,cREXX clauses per second
rss-rexxcps-canonical-rss-rxbvm-after-recorded-1,rss,rexxcps-canonical,rss-rxbvm-after,crexx,rxbvm,after-d2-hybrid,adapted,no,no,recorded,1,4,0,1793172000,10108928,0,pass,5605755,cREXX clauses per second
rss-rexxcps-canonical-rss-rxvm-after-recorded-2,rss,rexxcps-canonical,rss-rxvm-after,crexx,rxvm,after-d2-hybrid,adapted,no,no,recorded,2,1,0,1611121000,10108928,0,pass,6243534,cREXX clauses per second
rss-rexxcps-canonical-rss-rxbvm-before-recorded-2,rss,rexxcps-canonical,rss-rxbvm-before,crexx,rxbvm,before-candidate-a,adapted,no,no,recorded,2,2,0,1980710000,10125312,0,pass,5072844,cREXX clauses per second
rss-rexxcps-canonical-rss-rxbvm-after-recorded-2,rss,rexxcps-canonical,rss-rxbvm-after,crexx,rxbvm,after-d2-hybrid,adapted,no,no,recorded,2,3,0,1796144000,10207232,0,pass,5596143,cREXX clauses per second
rss-rexxcps-canonical-rss-rxvm-before-recorded-2,rss,rexxcps-canonical,rss-rxvm-before,crexx,rxvm,before-candidate-a,adapted,no,no,recorded,2,4,0,1791194000,10190848,0,pass,5611342,cREXX clauses per second
rss-rexxcps-canonical-rss-rxbvm-before-recorded-3,rss,rexxcps-canonical,rss-rxbvm-before,crexx,rxbvm,before-candidate-a,adapted,no,no,recorded,3,1,0,1972236000,10272768,0,pass,5093735,cREXX clauses per second
rss-rexxcps-canonical-rss-rxbvm-after-recorded-3,rss,rexxcps-canonical,rss-rxbvm-after,crexx,rxbvm,after-d2-hybrid,adapted,no,no,recorded,3,2,0,1783806000,10125312,0,pass,5636168,cREXX clauses per second
rss-rexxcps-canonical-rss-rxvm-before-recorded-3,rss,rexxcps-canonical,rss-rxvm-before,crexx,rxvm,before-candidate-a,adapted,no,no,recorded,3,3,0,1795959000,10207232,0,pass,5597954,cREXX clauses per second
rss-rexxcps-canonical-rss-rxvm-after-recorded-3,rss,rexxcps-canonical,rss-rxvm-after,crexx,rxvm,after-d2-hybrid,adapted,no,no,recorded,3,4,0,1628457000,10158080,0,pass,6176175,cREXX clauses per second
