sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-warmup-1,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,warmup,1,1,0,1501872000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-warmup-1,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,warmup,1,2,0,1366612000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-warmup-1,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,warmup,1,3,0,1953745000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-warmup-1,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,warmup,1,4,0,1645771000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-recorded-1,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,recorded,1,1,0,1165199000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-recorded-1,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,recorded,1,2,0,1168416000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-recorded-1,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,recorded,1,3,0,1494991000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-recorded-1,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,recorded,1,4,0,1448170000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-recorded-2,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,recorded,2,1,0,1189168000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-recorded-2,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,recorded,2,2,0,1530478000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-recorded-2,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,recorded,2,3,0,1469808000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-recorded-2,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,recorded,2,4,0,1151339000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-recorded-3,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,recorded,3,1,0,1483771000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-recorded-3,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,recorded,3,2,0,1447584000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-recorded-3,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,recorded,3,3,0,1144062000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-recorded-3,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,recorded,3,4,0,1192721000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-recorded-4,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,recorded,4,1,0,1469569000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-recorded-4,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,recorded,4,2,0,1170587000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-recorded-4,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,recorded,4,3,0,1155392000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-recorded-4,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,recorded,4,4,0,1481235000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-recorded-5,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,recorded,5,1,0,1180749000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-recorded-5,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,recorded,5,2,0,1169435000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-recorded-5,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,recorded,5,3,0,1495181000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-recorded-5,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,recorded,5,4,0,1458692000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-recorded-6,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,recorded,6,1,0,1339797000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-recorded-6,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,recorded,6,2,0,1482503000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-recorded-6,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,recorded,6,3,0,1468179000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-recorded-6,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,recorded,6,4,0,1167193000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-accepted-recorded-7,timing,nr15-post-fix-get-hit,get-hit-rxbvm-accepted,crexx,rxbvm,accepted-first-verdict,diagnostic,no,no,recorded,7,1,0,1474413000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxbvm-final-recorded-7,timing,nr15-post-fix-get-hit,get-hit-rxbvm-final,crexx,rxbvm,qa-final,diagnostic,no,no,recorded,7,2,0,1480296000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-accepted-recorded-7,timing,nr15-post-fix-get-hit,get-hit-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,recorded,7,3,0,1164467000,,0,pass,,
timing-nr15-post-fix-get-hit-get-hit-rxvm-final-recorded-7,timing,nr15-post-fix-get-hit,get-hit-rxvm-final,crexx,rxvm,qa-final,diagnostic,no,no,recorded,7,4,0,1189681000,,0,pass,,
timing-nr15-post-fix-rexxcps-rexxcps-rxvm-accepted-warmup-1,timing,nr15-post-fix-rexxcps,rexxcps-rxvm-accepted,crexx,rxvm,accepted-first-verdict,diagnostic,no,no,warmup,1,1,0,1643971000,,0,pass,6112092,cREXX clauses per second
