kind,variant,name,path,sha256,bytes,notes
module,baseline,bounce,/tmp/nr27-formal-inputs.hCtZ3M/baseline/benchmark_awfy_bounce_opt.rxbin,a8383505a8e83d8459eff7f5e4ec15f6bc203d5860bfdbf31e9489483f9fbedb,17839,retained pre-NR-27 optimized module
module,candidate,bounce,/tmp/nr27-formal-inputs.hCtZ3M/candidate/benchmark_awfy_bounce_opt.rxbin,b1cc4416c538f3bf4cf9b73f85735712d88ead7091f931aa20e77b4216defb2b,17839,ordinary profiling-off Release module
module,baseline,permute,/tmp/nr27-formal-inputs.hCtZ3M/baseline/benchmark_awfy_permute_opt.rxbin,b948116f19edf8bc4b208a17f1f7380050b0df5fa537b0a6aa6bb4ce15dc064f,11933,retained pre-NR-27 optimized module
module,candidate,permute,/tmp/nr27-formal-inputs.hCtZ3M/candidate/benchmark_awfy_permute_opt.rxbin,b948116f19edf8bc4b208a17f1f7380050b0df5fa537b0a6aa6bb4ce15dc064f,11933,byte-identical control module
module,baseline,richards,/tmp/nr27-formal-inputs.hCtZ3M/baseline/benchmark_awfy_richards_opt.rxbin,9edb76637d443490c7c3d582d84af5d15bf1d9a6e458c6a0056d00a9b95f30e2,80382,retained pre-NR-27 optimized module
module,candidate,richards,/tmp/nr27-formal-inputs.hCtZ3M/candidate/benchmark_awfy_richards_opt.rxbin,16660150fcf3fc461a4e1bc0e3920e67899f1edb5819c67e1363789850ee8157,79606,ordinary profiling-off Release module
module,baseline,sieve,/tmp/nr27-formal-inputs.hCtZ3M/baseline/benchmark_awfy_sieve_opt.rxbin,75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f,4864,retained pre-NR-27 optimized module
module,candidate,sieve,/tmp/nr27-formal-inputs.hCtZ3M/candidate/benchmark_awfy_sieve_opt.rxbin,75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f,4864,byte-identical control module
module,baseline,base64,/tmp/nr27-formal-inputs.hCtZ3M/baseline/benchmark_base64_roundtrip_opt.rxbin,022e156ef80b954c52969c55ffcefcd0836dab43a8bcb05263e29e35b5f8aa22,38265,retained pre-NR-27 optimized module
module,candidate,base64,/tmp/nr27-formal-inputs.hCtZ3M/candidate/benchmark_base64_roundtrip_opt.rxbin,84a4285d13df647b9124093597b3258ae2307e0cc222f8a7d7a0669fb5448008,38241,ordinary profiling-off Release module
module,baseline,library,/tmp/nr27-formal-inputs.hCtZ3M/baseline/library.rxbin,36b95fe4846ab5fc2e0a44dfc4a99beb23e7229fee83ada7fd5fc1bf3eb6d85f,866448,retained pre-NR-27 library
module,candidate,library,/tmp/nr27-formal-inputs.hCtZ3M/candidate/library.rxbin,5cf045b7275a9261443219765456c6e9aadad41cfd0b6df47f15ec218f31aaa9,860816,ordinary profiling-off Release library
linked,baseline,sieve,/tmp/nr27-formal-inputs.hCtZ3M/linked/sieve-baseline.rxbin,e4a931f92d0b7274a02187c3dfde8a114af0ddd2f069d6c760b20933ff78668b,4840,source and TRACE retained
linked,candidate,sieve,/tmp/nr27-formal-inputs.hCtZ3M/linked/sieve-candidate.rxbin,e4a931f92d0b7274a02187c3dfde8a114af0ddd2f069d6c760b20933ff78668b,4840,byte-identical control image
linked,baseline,permute,/tmp/nr27-formal-inputs.hCtZ3M/linked/permute-baseline.rxbin,8a12b4062368ab823f308a147cfd007328d5386008162cccbcd2f09a4e63367a,11933,source and TRACE retained
linked,candidate,permute,/tmp/nr27-formal-inputs.hCtZ3M/linked/permute-candidate.rxbin,8a12b4062368ab823f308a147cfd007328d5386008162cccbcd2f09a4e63367a,11933,byte-identical control image
