sample_id,stream,line_number,text
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxvm-candidate-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxvm-candidate-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxbvm-baseline-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxbvm-baseline-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxvm-candidate-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxvm-candidate-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxbvm-baseline-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxbvm-baseline-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-2,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-2,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxbvm-baseline-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxbvm-baseline-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxvm-candidate-recorded-3,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxvm-candidate-recorded-3,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxbvm-candidate-recorded-4,stdout,2,PASS: AWFY Sieve
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-4,stdout,1,benchmark=awfy_sieve repetitions=50 result=669
timing-Sieve-nr27-sieve-rxvm-baseline-recorded-4,stdout,2,PASS: AWFY Sieve
