image,baseline_instructions,candidate_instructions,delta
benchmark_awfy_bounce_opt.rxas,375,374,-1
benchmark_awfy_list_opt.rxas,239,233,-6
benchmark_awfy_mandelbrot_opt.rxas,114,114,0
benchmark_awfy_permute_opt.rxas,227,227,0
benchmark_awfy_richards_opt.rxas,1904,1897,-7
benchmark_awfy_sieve_opt.rxas,72,72,0
benchmark_awfy_storage_opt.rxas,208,208,0
benchmark_awfy_towers_opt.rxas,605,598,-7
benchmark_base64_roundtrip_opt.rxas,622,622,0
benchmark_json_parser_opt.rxas,46,46,0
benchmark_parse_frozen_generic_opt.rxas,598,598,0
benchmark_parse_frozen_opt.rxas,437,436,-1
benchmark_rexxcps_levelb_opaque_opt.rxas,1554,1554,0
benchmark_rexxcps_levelb_opt.rxas,1490,1490,0
benchmark_runner_opt.rxas,2526,2526,0
nr03_evidence_tool_selftest_opt.rxas,19283,18796,-487
nr10_artifact_inventory_selftest_opt.rxas,2438,2310,-128
nr10_cross_runtime_matrix_selftest_opt.rxas,10529,10324,-205
nr10_lifecycle_tool_selftest_opt.rxas,3202,3051,-151
TOTAL,46469,45476,-993
