cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxvm-final,Sieve,crexx,rxvm,nr16-nr17-final,A,no,no,5500,elapsed_ns,10,1074855000.000000,1077194750.000000,1082364000.000000,1084638500.000000,1091534000.000000,4158000.000000,0.384159,1.540979,no
sieve-rxbvm-final,Sieve,crexx,rxbvm,nr16-nr17-final,A,no,no,5500,elapsed_ns,20,1412847000.000000,1420092000.000000,1428845500.000000,1436048500.000000,1609738000.000000,8913500.000000,0.623825,13.779726,yes
permute-rxvm-final,Permute,crexx,rxvm,nr16-nr17-final,A,no,no,5000,elapsed_ns,10,7347451000.000000,7410946500.000000,7432905000.000000,7449710750.000000,7594526000.000000,21554000.000000,0.289981,3.324070,no
permute-rxbvm-final,Permute,crexx,rxbvm,nr16-nr17-final,A,no,no,5000,elapsed_ns,10,7843410000.000000,7934646000.000000,7963781500.000000,7988415750.000000,8012271000.000000,28121500.000000,0.353117,2.120362,no
bounce-rxvm-final,Bounce,crexx,rxvm,nr16-nr17-final,A,no,no,2200,elapsed_ns,10,6815556000.000000,6895993750.000000,6940189000.000000,6982636500.000000,7045648000.000000,46899000.000000,0.675760,3.315356,no
bounce-rxbvm-final,Bounce,crexx,rxbvm,nr16-nr17-final,A,no,no,2200,elapsed_ns,10,7069860000.000000,7151961000.000000,7209425000.000000,7259232250.000000,7459179000.000000,57306000.000000,0.794876,5.400139,no
richards-rxvm-final,Richards,crexx,rxvm,nr16-nr17-final,A,no,no,20,elapsed_ns,10,12075378000.000000,12158186250.000000,12230708000.000000,12272461750.000000,12503643000.000000,66378000.000000,0.542716,3.501555,no
richards-rxbvm-final,Richards,crexx,rxbvm,nr16-nr17-final,A,no,no,20,elapsed_ns,10,12185757000.000000,12345258750.000000,12364418000.000000,12387849250.000000,12505621000.000000,22531500.000000,0.182229,2.586972,no
base64-rxvm-final,Base64,crexx,rxvm,nr16-nr17-final,A,no,no,2500,elapsed_ns,20,1476073000.000000,1557170750.000000,1647771500.000000,1712607250.000000,1903358000.000000,79278500.000000,4.811256,25.931083,yes
base64-rxbvm-final,Base64,crexx,rxbvm,nr16-nr17-final,A,no,no,2500,elapsed_ns,20,1361308000.000000,1433329750.000000,1479722000.000000,1612160500.000000,1688820000.000000,70342000.000000,4.753731,22.133347,yes
mandelbrot-rxvm-final,Mandelbrot,crexx,rxvm,nr16-nr17-final,A,no,no,500,elapsed_ns,20,148591000.000000,153538000.000000,156093000.000000,163049000.000000,254494000.000000,3061500.000000,1.961331,67.846092,yes
mandelbrot-rxbvm-final,Mandelbrot,crexx,rxbvm,nr16-nr17-final,A,no,no,500,elapsed_ns,20,173947000.000000,179179500.000000,183554500.000000,186861500.000000,209307000.000000,3309500.000000,1.803007,19.264033,yes
towers-rxvm-final,Towers,crexx,rxvm,nr16-nr17-final,A,no,no,10,elapsed_ns,10,684967000.000000,696822250.000000,700143500.000000,703781500.000000,719095000.000000,3692500.000000,0.527392,4.874429,no
towers-rxbvm-final,Towers,crexx,rxbvm,nr16-nr17-final,A,no,no,10,elapsed_ns,10,708179000.000000,713857000.000000,722368000.000000,728446750.000000,733434000.000000,6950500.000000,0.962183,3.496140,no
storage-rxvm-final,Storage,crexx,rxvm,nr16-nr17-final,A,no,no,10,elapsed_ns,10,1918140000.000000,1932099250.000000,1947761000.000000,2002919500.000000,2025794000.000000,27582500.000000,1.416113,5.527064,no
storage-rxbvm-final,Storage,crexx,rxbvm,nr16-nr17-final,A,no,no,10,elapsed_ns,10,1929671000.000000,1963282500.000000,2006007000.000000,2030542250.000000,2085090000.000000,31863000.000000,1.588379,7.747680,no
list-rxvm-final,List,crexx,rxvm,nr16-nr17-final,A,no,no,100,elapsed_ns,20,182762000.000000,190092750.000000,192968500.000000,198568250.000000,238441000.000000,4604500.000000,2.386141,28.853932,yes
list-rxbvm-final,List,crexx,rxbvm,nr16-nr17-final,A,no,no,100,elapsed_ns,20,214314000.000000,216917250.000000,224391500.000000,230545500.000000,252850000.000000,7407500.000000,3.301150,17.173556,yes
json-rxvm-final,JSON,crexx,rxvm,nr16-nr17-final,A,no,no,5000,elapsed_ns,20,255324000.000000,269738000.000000,272665500.000000,274723750.000000,322519000.000000,3084000.000000,1.131056,24.643748,yes
json-rxbvm-final,JSON,crexx,rxbvm,nr16-nr17-final,A,no,no,5000,elapsed_ns,20,315701000.000000,320564000.000000,327544000.000000,331238750.000000,370075000.000000,6609000.000000,2.017744,16.600518,yes
rexxcps-rxvm-final,RexxCPS,crexx,rxvm,nr16-nr17-final,A,no,no,1000-clauses,benchmark_rate,10,25911569.000000,27936618.500000,28120499.000000,28384745.500000,28643364.000000,227998.500000,0.810791,9.714604,no
rexxcps-rxbvm-final,RexxCPS,crexx,rxbvm,nr16-nr17-final,A,no,no,1000-clauses,benchmark_rate,10,25785136.000000,26032996.000000,26118831.500000,26157805.000000,26586930.000000,64037.500000,0.245178,3.069793,no
