cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
permute-rxvm-baseline-append02,Permute,crexx,rxvm,post-nr16-pre-nr17,A,no,no,5000,elapsed_ns,12,7275660000.000000,7340045500.000000,7397751500.000000,7420276750.000000,7432838000.000000,32426000.000000,0.438322,2.124673,no
permute-rxvm-candidate-append02,Permute,crexx,rxvm,accepted-nr17,A,no,no,5000,elapsed_ns,12,7281804000.000000,7341030250.000000,7365394500.000000,7399667500.000000,7446783000.000000,30979000.000000,0.420602,2.239921,no
base64-rxvm-baseline-append02,Base64,crexx,rxvm,post-nr16-pre-nr17,A,no,no,2500,elapsed_ns,12,1494683000.000000,1521248500.000000,1546543000.000000,1625963250.000000,1786735000.000000,47173500.000000,3.050255,18.884182,yes
base64-rxvm-candidate-append02,Base64,crexx,rxvm,accepted-nr17,A,no,no,2500,elapsed_ns,12,1325490000.000000,1582598500.000000,1646006000.000000,1675709250.000000,1738260000.000000,65244000.000000,3.963777,25.077065,yes
mandelbrot-rxbvm-baseline-append02,Mandelbrot,crexx,rxbvm,post-nr16-pre-nr17,A,no,no,500,elapsed_ns,12,169952000.000000,170265500.000000,170921000.000000,171639750.000000,173229000.000000,694000.000000,0.406036,1.917260,no
mandelbrot-rxbvm-candidate-append02,Mandelbrot,crexx,rxbvm,accepted-nr17,A,no,no,500,elapsed_ns,12,171257000.000000,172069750.000000,172670500.000000,175616000.000000,187919000.000000,1064000.000000,0.616203,9.649593,no
towers-rxvm-baseline-append02,Towers,crexx,rxvm,post-nr16-pre-nr17,A,no,no,10,elapsed_ns,12,668500000.000000,680189750.000000,690112500.000000,694588000.000000,699946000.000000,6333500.000000,0.917749,4.556648,no
towers-rxvm-candidate-append02,Towers,crexx,rxvm,accepted-nr17,A,no,no,10,elapsed_ns,12,673739000.000000,678869250.000000,685469500.000000,691164750.000000,709098000.000000,5966500.000000,0.870425,5.158362,no
towers-rxbvm-baseline-append02,Towers,crexx,rxbvm,post-nr16-pre-nr17,A,no,no,10,elapsed_ns,12,683923000.000000,700022000.000000,705002000.000000,706671000.000000,722399000.000000,2621500.000000,0.371843,5.457573,no
towers-rxbvm-candidate-append02,Towers,crexx,rxbvm,accepted-nr17,A,no,no,10,elapsed_ns,12,685044000.000000,691510500.000000,701387500.000000,704766000.000000,705596000.000000,3731500.000000,0.532017,2.930192,no
storage-rxvm-baseline-append02,Storage,crexx,rxvm,post-nr16-pre-nr17,A,no,no,10,elapsed_ns,12,1746198000.000000,1753005500.000000,1764519500.000000,1777785250.000000,1802001000.000000,13266000.000000,0.751819,3.162504,no
storage-rxvm-candidate-append02,Storage,crexx,rxvm,accepted-nr17,A,no,no,10,elapsed_ns,12,1725563000.000000,1729906000.000000,1754733000.000000,1759717000.000000,1774183000.000000,14846500.000000,0.846083,2.770792,no
