sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Sieve-sieve-rxvm-baseline-warmup-1,timing,Sieve,sieve-rxvm-baseline,crexx,rxvm,post-nr16-pre-nr17,A,no,no,warmup,1,1,5500,1068086000,,0,pass,,
timing-Sieve-sieve-rxvm-candidate-warmup-1,timing,Sieve,sieve-rxvm-candidate,crexx,rxvm,accepted-nr17,A,no,no,warmup,1,2,5500,1066829000,,0,pass,,
timing-Sieve-sieve-rxbvm-baseline-warmup-1,timing,Sieve,sieve-rxbvm-baseline,crexx,rxbvm,post-nr16-pre-nr17,A,no,no,warmup,1,3,5500,1350932000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-warmup-1,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,accepted-nr17,A,no,no,warmup,1,4,5500,1390209000,,0,pass,,
timing-Sieve-sieve-rxvm-baseline-recorded-1,timing,Sieve,sieve-rxvm-baseline,crexx,rxvm,post-nr16-pre-nr17,A,no,no,recorded,1,1,5500,1068450000,,0,pass,,
timing-Sieve-sieve-rxvm-candidate-recorded-1,timing,Sieve,sieve-rxvm-candidate,crexx,rxvm,accepted-nr17,A,no,no,recorded,1,2,5500,1057863000,,0,pass,,
timing-Sieve-sieve-rxbvm-baseline-recorded-1,timing,Sieve,sieve-rxbvm-baseline,crexx,rxbvm,post-nr16-pre-nr17,A,no,no,recorded,1,3,5500,1354304000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-1,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,accepted-nr17,A,no,no,recorded,1,4,5500,1394059000,,0,pass,,
timing-Sieve-sieve-rxvm-candidate-recorded-2,timing,Sieve,sieve-rxvm-candidate,crexx,rxvm,accepted-nr17,A,no,no,recorded,2,1,5500,1066670000,,0,pass,,
timing-Sieve-sieve-rxbvm-baseline-recorded-2,timing,Sieve,sieve-rxbvm-baseline,crexx,rxbvm,post-nr16-pre-nr17,A,no,no,recorded,2,2,5500,1353873000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-2,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,accepted-nr17,A,no,no,recorded,2,3,5500,1411563000,,0,pass,,
timing-Sieve-sieve-rxvm-baseline-recorded-2,timing,Sieve,sieve-rxvm-baseline,crexx,rxvm,post-nr16-pre-nr17,A,no,no,recorded,2,4,5500,1067539000,,0,pass,,
timing-Sieve-sieve-rxbvm-baseline-recorded-3,timing,Sieve,sieve-rxbvm-baseline,crexx,rxbvm,post-nr16-pre-nr17,A,no,no,recorded,3,1,5500,1377642000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-3,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,accepted-nr17,A,no,no,recorded,3,2,5500,1407912000,,0,pass,,
timing-Sieve-sieve-rxvm-baseline-recorded-3,timing,Sieve,sieve-rxvm-baseline,crexx,rxvm,post-nr16-pre-nr17,A,no,no,recorded,3,3,5500,1072866000,,0,pass,,
timing-Sieve-sieve-rxvm-candidate-recorded-3,timing,Sieve,sieve-rxvm-candidate,crexx,rxvm,accepted-nr17,A,no,no,recorded,3,4,5500,1065116000,,0,pass,,
timing-Sieve-sieve-rxbvm-candidate-recorded-4,timing,Sieve,sieve-rxbvm-candidate,crexx,rxbvm,accepted-nr17,A,no,no,recorded,4,1,5500,1407293000,,0,pass,,
