workload,program_static_instructions,program_max_locals,program_rxbin_bytes,program_rxbin_sha256,shared_static_instructions,shared_rxbin_bytes,shared_rxbin_sha256,module_set_static_instructions,module_set_rxbin_bytes
Sieve,72,16,4864,75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,54794,862937
Permute,227,30,11933,b948116f19edf8bc4b208a17f1f7380050b0df5fa537b0a6aa6bb4ce15dc064f,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,54949,870006
Mandelbrot,114,26,8208,d30bb23e1871094e0a58d31cd26828ba561fc014787dafb5fddd3110960c6a18,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,54836,866281
Towers,598,46,28975,94f3b1406862240e44c2cb12c16113b9e982fce6daf7f3979b5d0b3bb89e5fff,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,55320,887048
Bounce,374,22,17839,b1cc4416c538f3bf4cf9b73f85735712d88ead7091f931aa20e77b4216defb2b,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,55096,875912
Storage,208,24,12631,ed71479725ceb086569668a082c842e940238e8da5aef2bd861d2afc5ff4867e,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,54930,870704
List,233,34,16186,00b177a6964a0136eb6e622d0cfcee77fb1050967b3de084c819a78b0d03cd64,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,54955,874259
Richards,1897,66,79606,16660150fcf3fc461a4e1bc0e3920e67899f1edb5819c67e1363789850ee8157,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,56619,937679
JSON,46,9,4001,18b858eb7be8a14ef1905deb83e266354b4d3849d939e3b5238a7046b89a89b6,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,54768,862074
Base64,622,43,38241,84a4285d13df647b9124093597b3258ae2307e0cc222f8a7d7a0669fb5448008,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,55344,896314
RexxCPS,1402,105,77438,9b535403baddc5b7076d5eb23027a296d982660546bcecc74d3784bb2fa23741,54722,858073,a9b660f6a67fd57fa35ae180a6b3c0f2764d44241fc0272bd6c6b843ce5d8e10,56124,935511
