workload,vm,entry,rank,opcode,count,total_ns,average_ns
Sieve,rxvm,sieve-opt,1,IGT_REG_REG_REG,1087001,0,0
Sieve,rxvm,sieve-opt,2,ISETUNLINK_REG_REG,803450,0,0
Sieve,rxvm,sieve-opt,3,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,0,0
Sieve,rxvm,sieve-opt,4,BLT_ID_REG_INT,586900,0,0
Sieve,rxvm,sieve-opt,5,BRTF_ID_ID_REG,586900,0,0
Sieve,rxbvm,sieve-opt,1,IGT_REG_REG_REG,1087001,0,0
Sieve,rxbvm,sieve-opt,2,ISETUNLINK_REG_REG,803450,0,0
Sieve,rxbvm,sieve-opt,3,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,0,0
Sieve,rxbvm,sieve-opt,4,BLT_ID_REG_INT,586900,0,0
Sieve,rxbvm,sieve-opt,5,BRTF_ID_ID_REG,586900,0,0
Permute,rxvm,permute-opt,1,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,2014400,0,0
Permute,rxvm,permute-opt,2,UNLINK_REG,1440800,0,0
Permute,rxvm,permute-opt,3,COPY_REG_REG,1008101,0,0
Permute,rxvm,permute-opt,4,IGETUNLINK_REG_REG,1007851,0,0
Permute,rxvm,permute-opt,5,ISETUNLINKN_REG_REG_REG,503900,0,0
Permute,rxbvm,permute-opt,1,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,2014400,0,0
Permute,rxbvm,permute-opt,2,UNLINK_REG,1440800,0,0
Permute,rxbvm,permute-opt,3,COPY_REG_REG,1008101,0,0
Permute,rxbvm,permute-opt,4,IGETUNLINK_REG_REG,1007851,0,0
Permute,rxbvm,permute-opt,5,ISETUNLINKN_REG_REG_REG,503900,0,0
Mandelbrot,rxvm,mandelbrot-opt,1,FADD_REG_REG_REG,24585141,0,0
Mandelbrot,rxvm,mandelbrot-opt,2,FMULT_REG_REG_REG,24585141,0,0
Mandelbrot,rxvm,mandelbrot-opt,3,BRF_ID_REG,16958927,0,0
Mandelbrot,rxvm,mandelbrot-opt,4,BRT_ID_REG,8696048,0,0
Mandelbrot,rxvm,mandelbrot-opt,5,IGT_REG_REG_REG,8696048,0,0
Mandelbrot,rxbvm,mandelbrot-opt,1,FADD_REG_REG_REG,24585141,0,0
Mandelbrot,rxbvm,mandelbrot-opt,2,FMULT_REG_REG_REG,24585141,0,0
Mandelbrot,rxbvm,mandelbrot-opt,3,BRF_ID_REG,16958927,0,0
Mandelbrot,rxbvm,mandelbrot-opt,4,BRT_ID_REG,8696048,0,0
Mandelbrot,rxbvm,mandelbrot-opt,5,IGT_REG_REG_REG,8696048,0,0
Towers,rxvm,towers-opt,1,COPY_REG_REG,1556321,0,0
Towers,rxvm,towers-opt,2,LINKATTR1_REG_REG_INT,901300,0,0
Towers,rxvm,towers-opt,3,BRF_ID_REG,791892,0,0
