pair,baseline_entry,candidate_entry,baseline_mode,candidate_mode,baseline_median_ns,candidate_median_ns,delta_ns,delta_percent
sieve,sieve-noopt,sieve-opt,noopt,opt,30173000,26773000,-3400000,-11.268
permute,permute-noopt,permute-opt,noopt,opt,60691000,91692000,31001000,51.080
mandelbrot,mandelbrot-noopt,mandelbrot-opt,noopt,opt,178629000,170036000,-8593000,-4.811
towers,towers-noopt,towers-opt,noopt,opt,342386000,737055000,394669000,115.270
bounce,bounce-noopt,bounce-opt,noopt,opt,319941000,360026000,40085000,12.529
storage,storage-noopt,storage-opt,noopt,opt,789003000,1799013000,1010010000,128.011
list,list-noopt,list-opt,noopt,opt,213703000,223507000,9804000,4.588
richards,richards-noopt,richards-opt,noopt,opt,49692000,594088000,544396000,1095.541
json,json-noopt,json-opt,noopt,opt,323118000,309916000,-13202000,-4.086
base64,base64-noopt,base64-opt,noopt,opt,492686000,313471000,-179215000,-36.375
rexxcps,rexxcps-noopt,rexxcps-opt,noopt,opt,742362000,1011787000,269425000,36.293
