section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,profile_mode,timing,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,720,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,6825375,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,branch_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
status,"instructions","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"procedures","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"allocations","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"call_census","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"frame_entry","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"value_operations","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"branch_sites","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
instruction,IGT_REG_REG_REG,,104,1087001,13691120,12,0,10083,15.362811,,,,,,,,,,,,,,
instruction,SETLINKILOAD_REG_REG_INT_REG_REG_INT,,415,803450,12365223,15,0,37208,13.875021,,,,,,,,,,,,,,
instruction,ISETUNLINK_REG_REG,,284,803450,10031760,12,0,3750,11.256641,,,,,,,,,,,,,,
instruction,IADD_REG_REG_REG,,15,586900,7404076,12,0,4625,8.308116,,,,,,,,,,,,,,
instruction,BLT_ID_REG_INT,,357,586900,7397375,12,0,2583,8.300597,,,,,,,,,,,,,,
instruction,BRTF_ID_ID_REG,,39,586900,7209897,12,0,2458,8.090228,,,,,,,,,,,,,,
instruction,BR_ID,,36,553451,6651287,12,0,11167,7.463411,,,,,,,,,,,,,,
instruction,BRT_ID_REG,,37,500101,6294292,12,0,2583,7.062827,,,,,,,,,,,,,,
instruction,BCTP_ID_REG,,349,500000,6165596,12,0,12500,6.918417,,,,,,,,,,,,,,
instruction,SETLINKATTR1_REG_REG_INT_REG,,291,249950,3369233,13,0,583,3.780618,,,,,,,,,,,,,,
instruction,BRF_ID_REG,,38,250002,3107848,12,0,2834,3.487317,,,,,,,,,,,,,,
instruction,UNLINK_REG,,213,249950,3026096,12,0,1500,3.395583,,,,,,,,,,,,,,
instruction,NULL_REG,,14,50,1491584,29831,792,31625,1.673707,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,33450,434505,12,0,542,0.487558,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,33703,426903,12,0,2584,0.479028,,,,,,,,,,,,,,
