entry,rank,name,metric,module,kind,count,total_ns,average_ns,completed,unwound,return_type,args,status
sieve-noopt,1,awfy_sieve.main,elapsed,benchmark_awfy_sieve_noopt,procedure,1,194990666,194990666,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,inclusive_body,benchmark_awfy_sieve_noopt,procedure,1,194987667,194987667,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,self,benchmark_awfy_sieve_noopt,procedure,1,79088,79088,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,native_child,benchmark_awfy_sieve_noopt,procedure,1,0,0,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,entry_overhead,benchmark_awfy_sieve_noopt,procedure,1,2208,2208,1,0,.int,,complete
sieve-noopt,1,awfy_sieve.main,exit_overhead,benchmark_awfy_sieve_noopt,procedure,1,791,791,1,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,elapsed,benchmark_awfy_sieve_noopt,procedure,50,194908579,3898171,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,inclusive_body,benchmark_awfy_sieve_noopt,procedure,50,194880334,3897606,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,self,benchmark_awfy_sieve_noopt,procedure,50,194880334,3897606,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,native_child,benchmark_awfy_sieve_noopt,procedure,50,0,0,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,entry_overhead,benchmark_awfy_sieve_noopt,procedure,50,14453,289,50,0,.int,,complete
sieve-noopt,2,awfy_sieve.sieve_once,exit_overhead,benchmark_awfy_sieve_noopt,procedure,50,13792,275,50,0,.int,,complete
sieve-opt,1,awfy_sieve.main,elapsed,benchmark_awfy_sieve_opt,procedure,1,171897125,171897125,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,inclusive_body,benchmark_awfy_sieve_opt,procedure,1,171893292,171893292,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,self,benchmark_awfy_sieve_opt,procedure,1,171893292,171893292,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,native_child,benchmark_awfy_sieve_opt,procedure,1,0,0,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,entry_overhead,benchmark_awfy_sieve_opt,procedure,1,3125,3125,1,0,.int,,complete
sieve-opt,1,awfy_sieve.main,exit_overhead,benchmark_awfy_sieve_opt,procedure,1,708,708,1,0,.int,,complete
bounce-noopt,1,awfy_bounce.main,elapsed,benchmark_awfy_bounce_noopt,procedure,1,1002368083,1002368083,1,0,.int,,complete
bounce-noopt,1,awfy_bounce.main,inclusive_body,benchmark_awfy_bounce_noopt,procedure,1,1002365334,1002365334,1,0,.int,,complete
bounce-noopt,1,awfy_bounce.main,self,benchmark_awfy_bounce_noopt,procedure,1,108171,108171,1,0,.int,,complete
bounce-noopt,1,awfy_bounce.main,native_child,benchmark_awfy_bounce_noopt,procedure,1,0,0,1,0,.int,,complete
bounce-noopt,1,awfy_bounce.main,entry_overhead,benchmark_awfy_bounce_noopt,procedure,1,2083,2083,1,0,.int,,complete
bounce-noopt,1,awfy_bounce.main,exit_overhead,benchmark_awfy_bounce_noopt,procedure,1,666,666,1,0,.int,,complete
bounce-noopt,2,awfy_bounce.bouncebenchmark.run,elapsed,benchmark_awfy_bounce_noopt,method,100,1002193164,10021931,100,0,.int,,complete
bounce-noopt,2,awfy_bounce.bouncebenchmark.run,inclusive_body,benchmark_awfy_bounce_noopt,method,100,1001985586,10019855,100,0,.int,,complete
bounce-noopt,2,awfy_bounce.bouncebenchmark.run,self,benchmark_awfy_bounce_noopt,method,100,406581032,4065810,100,0,.int,,complete
bounce-noopt,2,awfy_bounce.bouncebenchmark.run,native_child,benchmark_awfy_bounce_noopt,method,100,0,0,100,0,.int,,complete
bounce-noopt,2,awfy_bounce.bouncebenchmark.run,entry_overhead,benchmark_awfy_bounce_noopt,method,100,14999,149,100,0,.int,,complete
bounce-noopt,2,awfy_bounce.bouncebenchmark.run,exit_overhead,benchmark_awfy_bounce_noopt,method,100,192579,1925,100,0,.int,,complete
bounce-noopt,3,awfy_bounce.bounceball.bounce,elapsed,benchmark_awfy_bounce_noopt,method,500000,570109124,1140,500000,0,.boolean,,complete
bounce-noopt,3,awfy_bounce.bounceball.bounce,inclusive_body,benchmark_awfy_bounce_noopt,method,500000,478934765,957,500000,0,.boolean,,complete
bounce-noopt,3,awfy_bounce.bounceball.bounce,self,benchmark_awfy_bounce_noopt,method,500000,409521239,819,500000,0,.boolean,,complete
bounce-noopt,3,awfy_bounce.bounceball.bounce,native_child,benchmark_awfy_bounce_noopt,method,500000,0,0,500000,0,.boolean,,complete
bounce-noopt,3,awfy_bounce.bounceball.bounce,entry_overhead,benchmark_awfy_bounce_noopt,method,500000,62857421,125,500000,0,.boolean,,complete
bounce-noopt,3,awfy_bounce.bounceball.bounce,exit_overhead,benchmark_awfy_bounce_noopt,method,500000,28316938,56,500000,0,.boolean,,complete
bounce-noopt,4,rxfnsb.intabs,elapsed,intabs,procedure,142600,69413526,486,142600,0,.int,number=.int,complete
bounce-noopt,4,rxfnsb.intabs,inclusive_body,intabs,procedure,142600,29230692,204,142600,0,.int,number=.int,complete
bounce-noopt,4,rxfnsb.intabs,self,intabs,procedure,142600,29230692,204,142600,0,.int,number=.int,complete
bounce-noopt,4,rxfnsb.intabs,native_child,intabs,procedure,142600,0,0,142600,0,.int,number=.int,complete
bounce-noopt,4,rxfnsb.intabs,entry_overhead,intabs,procedure,142600,32420349,227,142600,0,.int,number=.int,complete
bounce-noopt,4,rxfnsb.intabs,exit_overhead,intabs,procedure,142600,7762485,54,142600,0,.int,number=.int,complete
bounce-noopt,5,awfy_bounce.bounceball.§factory,elapsed,benchmark_awfy_bounce_noopt,factory,10000,25227136,2522,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-noopt,5,awfy_bounce.bounceball.§factory,inclusive_body,benchmark_awfy_bounce_noopt,factory,10000,22231300,2223,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-noopt,5,awfy_bounce.bounceball.§factory,self,benchmark_awfy_bounce_noopt,factory,10000,5778038,577,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-noopt,5,awfy_bounce.bounceball.§factory,native_child,benchmark_awfy_bounce_noopt,factory,10000,0,0,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-noopt,5,awfy_bounce.bounceball.§factory,entry_overhead,benchmark_awfy_bounce_noopt,factory,10000,1317945,131,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-noopt,5,awfy_bounce.bounceball.§factory,exit_overhead,benchmark_awfy_bounce_noopt,factory,10000,1677891,167,10000,0,.awfy_bounce..bounceball,random_ref=reference .awfyrandom,complete
bounce-noopt,6,awfy_bounce.awfyrandom.next,elapsed,benchmark_awfy_bounce_noopt,method,40000,16453262,411,40000,0,.int,,complete
bounce-noopt,6,awfy_bounce.awfyrandom.next,inclusive_body,benchmark_awfy_bounce_noopt,method,40000,9522157,238,40000,0,.int,,complete
bounce-noopt,6,awfy_bounce.awfyrandom.next,self,benchmark_awfy_bounce_noopt,method,40000,9522157,238,40000,0,.int,,complete
bounce-noopt,6,awfy_bounce.awfyrandom.next,native_child,benchmark_awfy_bounce_noopt,method,40000,0,0,40000,0,.int,,complete
bounce-noopt,6,awfy_bounce.awfyrandom.next,entry_overhead,benchmark_awfy_bounce_noopt,method,40000,5088512,127,40000,0,.int,,complete
bounce-noopt,6,awfy_bounce.awfyrandom.next,exit_overhead,benchmark_awfy_bounce_noopt,method,40000,1842593,46,40000,0,.int,,complete
bounce-noopt,7,awfy_bounce.awfyrandom.§factory,elapsed,benchmark_awfy_bounce_noopt,factory,100,68294,682,100,0,.awfy_bounce..awfyrandom,,complete
bounce-noopt,7,awfy_bounce.awfyrandom.§factory,inclusive_body,benchmark_awfy_bounce_noopt,factory,100,28299,282,100,0,.awfy_bounce..awfyrandom,,complete
bounce-noopt,7,awfy_bounce.awfyrandom.§factory,self,benchmark_awfy_bounce_noopt,factory,100,28299,282,100,0,.awfy_bounce..awfyrandom,,complete
bounce-noopt,7,awfy_bounce.awfyrandom.§factory,native_child,benchmark_awfy_bounce_noopt,factory,100,0,0,100,0,.awfy_bounce..awfyrandom,,complete
bounce-noopt,7,awfy_bounce.awfyrandom.§factory,entry_overhead,benchmark_awfy_bounce_noopt,factory,100,18332,183,100,0,.awfy_bounce..awfyrandom,,complete
bounce-noopt,7,awfy_bounce.awfyrandom.§factory,exit_overhead,benchmark_awfy_bounce_noopt,factory,100,21663,216,100,0,.awfy_bounce..awfyrandom,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,elapsed,benchmark_awfy_bounce_noopt,factory,100,63999,639,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,inclusive_body,benchmark_awfy_bounce_noopt,factory,100,24206,242,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,self,benchmark_awfy_bounce_noopt,factory,100,24206,242,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,native_child,benchmark_awfy_bounce_noopt,factory,100,0,0,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,entry_overhead,benchmark_awfy_bounce_noopt,factory,100,28121,281,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-noopt,8,awfy_bounce.bouncebenchmark.§factory,exit_overhead,benchmark_awfy_bounce_noopt,factory,100,11672,116,100,0,.awfy_bounce..bouncebenchmark,,complete
bounce-opt,1,awfy_bounce.main,elapsed,benchmark_awfy_bounce_opt,procedure,1,886546375,886546375,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,inclusive_body,benchmark_awfy_bounce_opt,procedure,1,886543250,886543250,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,self,benchmark_awfy_bounce_opt,procedure,1,123130,123130,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,native_child,benchmark_awfy_bounce_opt,procedure,1,0,0,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,entry_overhead,benchmark_awfy_bounce_opt,procedure,1,2708,2708,1,0,.int,,complete
bounce-opt,1,awfy_bounce.main,exit_overhead,benchmark_awfy_bounce_opt,procedure,1,417,417,1,0,.int,,complete
