rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,685000,6,1,7,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c3,r3)","r1=R21;r2=R10;c1=int:0;c2=label@834;r3=R22;r4=R18;c3=label@805","benchmark_base64_roundtrip_opt",787
2,685000,6,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R13;c1=int:0;r2=R16;c2=string@256;r3=R21;r4=R17;c3=int:1;c4=label@746","benchmark_base64_roundtrip_opt",730
3,685000,6,1,9,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3) | ILT_REG_REG_INT(r4,r5,c4)","r1=R11;c1=string@48912;r2=R13;c2=int:0;r3=R16;c3=string@256;r4=R21;r5=R17;c4=int:1","benchmark_base64_roundtrip_opt",727
4,685000,6,1,8,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4) | BLE_ID_REG_INT(c2,r5,c3)","r1=R19;r2=R18;r3=R16;r4=R10;r5=R15;c1=int:1;c2=label@850;c3=int:0","benchmark_base64_roundtrip_opt",827
5,685000,6,1,8,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3) | BGE_ID_REG_INT(c2,r5,c3)","r1=R20;r2=R19;r3=R18;r4=R17;c1=int:1;r5=R9;c2=label@777;c3=int:0","benchmark_base64_roundtrip_opt",759
6,683000,4,1,6,candidate,"LOAD_REG_INT(r1,c1) | STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | BR_ID(c2)","r1=R38;c1=int:1;r2=R35;r3=R36;r4=R34;c2=label@1246","benchmark_base64_roundtrip_opt",1234
7,683000,4,1,6,candidate,"LOAD_REG_STRING(r1,c1) | SEQ_REG_REG_STRING(r2,r3,c2) | BRT_ID_REG(c3,r2) | SEQ_REG_REG_STRING(r2,r1,c2)","r1=R36;c1=string@45544;r2=R34;r3=R35;c2=string@256;c3=label@1223","benchmark_base64_roundtrip_opt",1209
8,683000,4,1,7,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_STRING(r4,c1) | SEQ_REG_REG_STRING(r5,r2,c2)","r1=R38;r2=R35;r3=R16;r4=R36;c1=string@45544;r5=R34;c2=string@256","benchmark_base64_roundtrip_opt",1204
9,683000,4,1,7,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SEQ_REG_REG_STRING(r4,r1,c2) | BRT_ID_REG(c3,r4)","r1=R35;r2=R16;r3=R36;c1=string@45544;r4=R34;c2=string@256;c3=label@1223","benchmark_base64_roundtrip_opt",1206
10,683000,4,1,6,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | SEQ_REG_REG_STRING(r1,r3,c1) | BRF_ID_REG(c3,r1)","r1=R34;r2=R35;c1=string@256;c2=label@1223;r3=R36;c3=label@1234","benchmark_base64_roundtrip_opt",1212
11,513000,3,1,9,candidate,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_STRING(r3,c2) | LOAD_REG_INT(r4,c3) | LOAD_REG_STRING(r5,c4)","r1=R15;r2=R2;c1=int:1;r3=R33;c2=string@48912;r4=R31;c3=int:0;r5=R16;c4=string@256","benchmark_base64_roundtrip_opt",1282
12,513000,3,1,10,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5) | IADD_REG_REG_INT(r6,r7,c1) | LOAD_REG_STRING(r8,c2)","r1=R29;r2=R14;r3=R12;r4=R13;r5=R41;r6=R15;r7=R2;c1=int:1;r8=R33;c2=string@48912","benchmark_base64_roundtrip_opt",1275
13,513000,3,1,12,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG(r5,r6,r7) | SCOPY_REG_REG(r8,r9) | IADD_REG_REG_INT(r10,r11,c1)","r1=R35;r2=R34;r3=R32;r4=R30;r5=R29;r6=R14;r7=R12;r8=R13;r9=R41;r10=R15;r11=R2;c1=int:1","benchmark_base64_roundtrip_opt",1270
14,513000,3,1,9,candidate,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1) | LOAD_REG_STRING(r5,c2) | LOAD_REG_INT(r6,c3)","r1=R13;r2=R41;r3=R15;r4=R2;c1=int:1;r5=R33;c2=string@48912;r6=R31;c3=int:0","benchmark_base64_roundtrip_opt",1279
15,342000,2,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c2,r1) | RNE_REG_REG_STRING(r1,r4,c3)","r1=R39;r2=R3;c1=int:1;r3=R4;c2=label@1970;r4=R24;c3=string@57120","benchmark_base64_roundtrip_opt",1955
16,342000,2,1,6,candidate,"ILT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r3,c2) | BRF_ID_REG(c3,r1)","r1=R39;r2=R4;c1=label@1970;r3=R24;c2=string@57120;c3=label@1997","benchmark_base64_roundtrip_opt",1959
