rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6315000,15,1,6,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r4,r5,r2)","r1=R7;r2=R27;r3=R43;c1=label@1289;r4=R8;r5=R42","rxjson",1226
2,6110000,14,1,7,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r2,r3,r4) | IEQ_REG_REG_INT(r5,r2,c2)","c1=label@1289;r1=R7;r2=R8;r3=R42;r4=R27;r5=R6;c2=int:32","rxjson",1230
3,4640000,4,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRF_ID_REG(c2,r4)","r1=R15;r2=R101;r3=R103;r4=R14;c1=int:34;c2=label@10198","rxjson",9452
4,2230000,12,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r4,r1,c1) | BRT_ID_REG(c2,r4)","r1=R8;r2=R42;r3=R27;r4=R6;c1=int:32;c2=label@1248","rxjson",1233
5,2230000,12,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r1,r2,c3)","r1=R6;r2=R8;c1=int:32;c2=label@1248;c3=int:9","rxjson",1237
6,2125000,11,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r1,r2,c2) | BRT_ID_REG(c3,r1)","c1=label@1248;r1=R6;r2=R8;c2=int:9;c3=label@1259","rxjson",1241
7,2125000,11,1,7,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRTF_ID_ID_REG(c3,c4,r2)","c1=label@1259;r1=R6;r2=R5;r3=R8;c2=int:10;c3=label@1273;c4=label@1265","rxjson",1248
8,2125000,11,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r2,c3)","r1=R6;r2=R8;c1=int:9;c2=label@1259;r3=R5;c3=int:10","rxjson",1244
9,1315000,10,1,5,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R8;r2=R33;r3=R27;c1=int:93;c2=label@1318","rxjson",1299
10,1315000,10,1,5,candidate,"BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | IEQ_REG_REG_INT(r1,r1,c2)","c1=label@1307;r1=R8;r2=R33;r3=R27;c2=int:93","rxjson",1296
11,1315000,10,1,5,candidate,"ILT_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2)","r1=R8;r2=R27;r3=R37;c1=label@1307;r4=R33","rxjson",1292
12,1165000,5,1,6,candidate,"COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5) | BRF_ID_REG(c1,r3)","r1=R21;r2=R101;r3=R13;r4=R103;r5=R102;c1=label@9440","rxjson",9374
13,1070000,8,1,6,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ILT_REG_REG_REG(r5,r6,r3)","r1=R39;r2=R1;r3=R40;r4=R2;r5=R37;r6=R8","rxjson",1074
14,1070000,8,1,5,candidate,"ICOPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c1,r3)","r1=R40;r2=R2;r3=R37;r4=R8;c1=label@1143","rxjson",1077
15,955000,5,1,6,candidate,"IADD_REG_REG_INT(r1,r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R34;c1=int:1;r2=R59;r3=R33;r4=R60;r5=R28","rxjson",1419
16,695000,4,1,24,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r17,r18,r19,r20,r21,r22,r23,r24)","r1=R1;r2=R25;r3=R2;r4=R26;r5=R8;r6=R27;r7=R5;r8=R29;r9=R3;r10=R30;r11=R0;r12=R31;r13=R4;r14=R32;r15=R6;r16=R33;r17=R10;r18=R34;r19=R11;r20=R35;r21=R12;r22=R36;r23=R13;r24=R37","rxjson",1035
17,655000,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | BGETU8_REG_REG_REG(r3,r4,r2) | IEQ_REG_REG_INT(r5,r3,c1)","r1=R4;r2=R103;r3=R15;r4=R101;r5=R14;c1=int:34","rxjson",9449
18,655000,6,1,5,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3)","r1=R58;c1=int:44;c2=label@1589;r2=R27;c3=int:1","rxjson",1503
19,655000,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | COPY_REG_REG(r1,r2) | ILT_REG_REG_REG(r3,r4,r5)","c1=int:18;c2=int:1;r1=R21;r2=R101;r3=R13;r4=R103;r5=R102","rxjson",9370
20,655000,4,1,15,candidate,"SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r1,c1,r2,r3,r4) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r5,c1,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14)","r1=R3;c1=int:256;r2=R30;r3=R0;r4=R31;r5=R4;r6=R32;r7=R6;r8=R33;r9=R34;r10=R10;r11=R35;r12=R11;r13=R36;r14=R12","rxjson",1010
21,655000,4,1,16,candidate,"SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r1,c1,r2,r3,r4) | SWAPN_REG_REG_REG_REG_REG_REG(r5,r6,r7,r8,r9,r10) | SWAPCALL_REG_FUNC_REG_REG_REG(r11,c2,r12,r13,r14)","r1=R4;c1=int:256;r2=R32;r3=R6;r4=R33;r5=R34;r6=R10;r7=R35;r8=R11;r9=R36;r10=R12;r11=R38;c2=func@2271296;r12=R24;r13=R13;r14=R37","rxjson",1016
22,630000,3,1,5,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R26;r2=R3;r3=R103;c1=int:34;c2=label@9498","rxjson",9479
23,630000,3,1,5,candidate,"BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r2,r3) | INE_REG_REG_INT(r1,r1,c2)","c1=label@9487;r1=R26;r2=R3;r3=R103;c2=int:34","rxjson",9476
24,630000,3,1,5,candidate,"IGTE_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | BGETU8_REG_REG_REG(r1,r4,r2)","r1=R26;r2=R103;r3=R0;c1=label@9487;r4=R3","rxjson",9472
25,615000,5,1,6,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R34;c1=int:0;r2=R8;r3=R27;r4=R37;c2=label@1307","rxjson",1289
26,610000,2,1,17,candidate,"LOADSETTPSWAP_REG_INT_REG_INT_REG(r1,c1,r2,c2,r3) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r4,r5,r6,r7,r8,r9,r10,r11) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r12,c2,r13,r14,r15)","r1=R70;c1=int:13;r2=R58;c2=int:256;r3=R71;r4=R72;r5=R57;r6=R73;r7=R103;r8=R74;r9=R50;r10=R75;r11=R55;r12=R53;r13=R76;r14=R52;r15=R77","rxjson",10542
27,610000,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | IGTE_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R50;c1=int:-1;r2=R46;r3=R60;c2=int:0;c3=label@10470","rxjson",10456
28,610000,2,1,17,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r9,c1,r10,r11,r12) | SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG(r13,c1,r14,r15,r16)","r1=R72;r2=R57;r3=R73;r4=R103;r5=R74;r6=R50;r7=R75;r8=R55;r9=R53;c1=int:256;r10=R76;r11=R52;r12=R77;r13=R54;r14=R78;r15=R56;r16=R79","rxjson",10548
29,610000,2,1,18,candidate,"SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r1,r2,r3,r4,r5,r6,r7,r8) | SWAPN_REG_REG_REG_REG_REG_REG_REG_REG(r9,r10,r11,r12,r13,r14,r15,r16) | SWAP_REG_REG(r17,r18)","r1=R55;r2=R75;r3=R53;r4=R76;r5=R52;r6=R77;r7=R54;r8=R78;r9=R56;r10=R79;r11=R110;r12=R80;r13=R111;r14=R81;r15=R112;r16=R82;r17=R113;r18=R83","rxjson",10591
