rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,8294876,1,1,5,candidate,"BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c1,r2)","c1=label@190;r1=R23;r2=R24;r3=R12;c2=int:0","benchmark_awfy_mandelbrot_opt",135
2,8294876,1,1,7,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | IEQ_REG_REG_INT(r4,r5,c2)","r1=R23;r2=R21;r3=R22;c1=label@190;r4=R24;r5=R12;c2=int:0","benchmark_awfy_mandelbrot_opt",131
3,8195047,1,1,7,candidate,"BRF_ID_REG(c1,r1) | FSUB_REG_REG_REG(r2,r3,r4) | FADD_REG_REG_REG(r5,r2,r6)","c1=label@190;r1=R24;r2=R25;r3=R17;r4=R16;r5=R20;r6=R13","benchmark_awfy_mandelbrot_opt",142
4,8195047,1,1,5,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FGT_REG_REG_FLOAT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R25;r2=R17;r3=R16;c1=float@11888;c2=label@187","benchmark_awfy_mandelbrot_opt",173
5,8195047,1,1,5,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_FLOAT(r2,r1,c1) | FMULT_REG_REG_REG(r2,r2,r4)","r1=R20;r2=R25;r3=R13;c1=float@5104;r4=R15","benchmark_awfy_mandelbrot_opt",149
6,8195047,1,1,6,candidate,"FADD_REG_REG_REG(r1,r2,r3) | FMULT_REG_REG_REG(r4,r5,r5) | FMULT_REG_REG_REG(r6,r1,r1)","r1=R15;r2=R25;r3=R6;r4=R17;r5=R20;r6=R16","benchmark_awfy_mandelbrot_opt",161
7,8195047,1,1,5,candidate,"FMULT_REG_REG_FLOAT(r1,r2,c1) | FMULT_REG_REG_REG(r1,r1,r3) | FADD_REG_REG_REG(r3,r1,r4)","r1=R25;r2=R20;c1=float@5104;r3=R15;r4=R6","benchmark_awfy_mandelbrot_opt",153
8,8195047,1,1,5,candidate,"FMULT_REG_REG_REG(r1,r1,r2) | FADD_REG_REG_REG(r2,r1,r3) | FMULT_REG_REG_REG(r4,r5,r5)","r1=R25;r2=R15;r3=R6;r4=R17;r5=R20","benchmark_awfy_mandelbrot_opt",157
9,8195047,1,1,5,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FADD_REG_REG_REG(r3,r4,r1) | FGT_REG_REG_FLOAT(r3,r3,c1)","r1=R16;r2=R15;r3=R25;r4=R17;c1=float@11888","benchmark_awfy_mandelbrot_opt",169
10,8195047,1,1,5,candidate,"FMULT_REG_REG_REG(r1,r2,r2) | FMULT_REG_REG_REG(r3,r4,r4) | FADD_REG_REG_REG(r5,r1,r3)","r1=R17;r2=R20;r3=R16;r4=R15;r5=R25","benchmark_awfy_mandelbrot_opt",165
11,8195047,1,1,6,candidate,"FSUB_REG_REG_REG(r1,r2,r3) | FADD_REG_REG_REG(r4,r1,r5) | FMULT_REG_REG_FLOAT(r1,r4,c1)","r1=R25;r2=R17;r3=R16;r4=R20;r5=R13;c1=float@5104","benchmark_awfy_mandelbrot_opt",145
12,8195047,1,1,7,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | FSUB_REG_REG_REG(r3,r4,r5)","r1=R24;r2=R12;c1=int:0;c2=label@190;r3=R25;r4=R17;r5=R16","benchmark_awfy_mandelbrot_opt",138
13,250500,2,1,6,candidate,"FMULT_REG_REG_FLOAT(r1,r1,c1) | ITOF_REG_REG(r2,r3) | FDIVSUB_REG_REG_REG_FLOAT(r4,r1,r2,c2)","r1=R12;c1=float@5104;r2=R13;r3=R3;r4=R6;c2=float@5288","benchmark_awfy_mandelbrot_opt",72
14,250500,2,1,7,candidate,"ITOF_REG_REG(r1,r2) | FDIVSUB_REG_REG_REG_FLOAT(r3,r4,r1,c1) | LOAD_REG_INT(r5,c2)","r1=R13;r2=R3;r3=R6;r4=R12;c1=float@5288;r5=R14;c2=int:0","benchmark_awfy_mandelbrot_opt",76
15,250500,2,1,5,candidate,"ITOF_REG_REG(r1,r2) | FMULT_REG_REG_FLOAT(r1,r1,c1) | ITOF_REG_REG(r3,r4)","r1=R12;r2=R5;c1=float@5104;r3=R13;r4=R3","benchmark_awfy_mandelbrot_opt",69
16,250000,1,1,5,candidate,"BRT_ID_REG(c1,r1) | LOAD_REG_FLOAT(r2,c2) | LOAD_REG_FLOAT(r3,c2)","c1=label@253;r1=R19;r2=R17;c2=float@6440;r3=R15","benchmark_awfy_mandelbrot_opt",95
17,250000,1,1,6,candidate,"FDIVSUB_REG_REG_REG_FLOAT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_INT(r3,c2)","r1=R13;r2=R20;r3=R21;c1=float@7744;r4=R12;c2=int:0","benchmark_awfy_mandelbrot_opt",117
18,250000,1,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IEQ_REG_REG_INT(r2,r1,c2) | BRF_ID_REG(c3,r2)","r1=R7;c1=int:1;r2=R25;c2=int:8;c3=label@221","benchmark_awfy_mandelbrot_opt",198
19,250000,1,1,6,candidate,"IADD_REG_REG_REG(r1,r2,r3) | IADD_REG_REG_INT(r4,r4,c1) | IEQ_REG_REG_INT(r2,r4,c2)","r1=R8;r2=R25;r3=R12;r4=R7;c1=int:1;c2=int:8","benchmark_awfy_mandelbrot_opt",194
20,250000,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_FLOAT(r4,c2)","r1=R19;r2=R14;r3=R18;c1=label@253;r4=R17;c2=float@6440","benchmark_awfy_mandelbrot_opt",91
21,250000,1,1,5,candidate,"ISHL_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r2,r1,r3) | IADD_REG_REG_INT(r4,r4,c1)","r1=R25;r2=R8;c1=int:1;r3=R12;r4=R7","benchmark_awfy_mandelbrot_opt",190
22,250000,1,1,5,candidate,"LOAD_REG_FLOAT(r1,c1) | ITOF_REG_REG(r2,r3) | FMULT_REG_REG_FLOAT(r2,r2,c2)","r1=R16;c1=float@6440;r2=R20;r3=R14;c2=float@5104","benchmark_awfy_mandelbrot_opt",104
23,250000,1,1,5,candidate,"LOAD_REG_FLOAT(r1,c1) | LOAD_REG_FLOAT(r2,c1) | ITOF_REG_REG(r3,r4)","r1=R15;c1=float@6440;r2=R16;r3=R20;r4=R14","benchmark_awfy_mandelbrot_opt",101
24,250000,1,1,4,candidate,"LOAD_REG_FLOAT(r1,c1) | LOAD_REG_FLOAT(r2,c1) | LOAD_REG_FLOAT(r3,c1)","r1=R17;c1=float@6440;r2=R15;r3=R16","benchmark_awfy_mandelbrot_opt",98
25,250000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R22;c1=int:49;r2=R23;r3=R21;c2=label@190","benchmark_awfy_mandelbrot_opt",128
26,250000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R12;c1=int:0;r2=R21;r3=R22;c2=int:49","benchmark_awfy_mandelbrot_opt",122
27,250000,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R21;c1=int:0;r2=R22;c2=int:49;r3=R23","benchmark_awfy_mandelbrot_opt",125
28,219000,1,1,5,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | IEQ_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c2,r1)","r1=R24;r2=R3;c1=int:1;r3=R14;c2=label@250","benchmark_awfy_mandelbrot_opt",221
29,99855,1,1,6,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | BCTP_ID_REG(c3,r3)","c1=label@187;r1=R25;r2=R12;c2=int:1;c3=label@131;r3=R21","benchmark_awfy_mandelbrot_opt",181
30,99855,1,1,5,candidate,"FGT_REG_REG_FLOAT(r1,r1,c1) | BRF_ID_REG(c2,r1) | LOAD_REG_INT(r2,c3)","r1=R25;c1=float@11888;c2=label@187;r2=R12;c3=int:1","benchmark_awfy_mandelbrot_opt",177
31,31500,2,1,4,candidate,"IXOR_REG_REG_REG(r1,r1,r2) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1)","r1=R9;r2=R8;c1=int:0;r3=R7","benchmark_awfy_mandelbrot_opt",209
32,31000,1,1,5,candidate,"BRF_ID_REG(c1,r1) | IXOR_REG_REG_REG(r2,r2,r3) | LOAD_REG_INT(r3,c2)","c1=label@221;r1=R25;r2=R9;r3=R8;c2=int:0","benchmark_awfy_mandelbrot_opt",206
33,31000,1,1,6,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IXOR_REG_REG_REG(r3,r3,r4)","r1=R25;r2=R7;c1=int:8;c2=label@221;r3=R9;r4=R8","benchmark_awfy_mandelbrot_opt",202
34,31000,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | BR_ID(c2)","r1=R8;c1=int:0;r2=R7;c2=label@250","benchmark_awfy_mandelbrot_opt",213
35,501,2,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3)","r1=R4;r2=R3;c1=int:1;r3=R11;r4=R5;c2=label@256","benchmark_awfy_mandelbrot_opt",58
36,501,2,1,6,candidate,"LOAD_REG_INT(r1,c1) | ISUB_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2)","r1=R5;c1=int:0;r2=R4;r3=R3;c2=int:1;r4=R11","benchmark_awfy_mandelbrot_opt",55
37,500,1,1,6,candidate,"BRF_ID_REG(c1,r1) | ISUB_REG_INT_REG(r2,c2,r3) | ISHL_REG_REG_REG(r4,r4,r2)","c1=label@250;r1=R24;r2=R23;c2=int:8;r3=R7;r4=R8","benchmark_awfy_mandelbrot_opt",229
38,500,1,1,5,candidate,"BRT_ID_REG(c1,r1) | ITOF_REG_REG(r2,r3) | FMULT_REG_REG_FLOAT(r2,r2,c2)","c1=label@256;r1=R11;r2=R12;r3=R5;c2=float@5104","benchmark_awfy_mandelbrot_opt",66
39,500,1,1,9,candidate,"FDIVSUB_REG_REG_REG_FLOAT(r1,r2,r3,c1) | LOAD_REG_INT(r4,c2) | ISUB_REG_REG_INT(r5,r6,c3)","r1=R6;r2=R12;r3=R13;c1=float@5288;r4=R14;c2=int:0;r5=R18;r6=R3;c3=int:1","benchmark_awfy_mandelbrot_opt",79
40,500,1,1,6,candidate,"IEQ_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1) | ISUB_REG_INT_REG(r3,c2,r4)","r1=R24;r2=R14;c1=label@250;r3=R23;c2=int:8;r4=R7","benchmark_awfy_mandelbrot_opt",225
