rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,5853400,37,1,3,candidate,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3)","r1=R40;r2=R41;r3=R42","benchmark_rexxcps_levelb_noopt",545
2,1412500,7,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1) | STEMGET_REG_REG_REG(r3,r4,r2)","r1=R60;r2=R82;r3=R79;r4=R0","benchmark_rexxcps_levelb_noopt",654
3,1265600,5,1,5,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | ITOS_REG(r3) | CONCAT_REG_REG_REG(r4,r1,r3)","r1=R78;r2=R59;c1=string@38320;r3=R60;r4=R76","benchmark_rexxcps_levelb_noopt",606
4,1084800,7,1,4,candidate,"LOAD_REG_INT(r1,c1) | ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r3,r1)","r1=R80;c1=int:2;r2=R86;r3=R81","benchmark_rexxcps_levelb_noopt",920
5,949207,5,2,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | LOAD_REG_INT(r3,c1)","r1=R12;c1=int:0;r2=R31;r3=R39","_typedformat",190
6,949200,6,1,6,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6)","r1=R61;r2=R41;r3=R37;r4=R46;r5=R65;r6=R50","benchmark_rexxcps_levelb_noopt",1274
7,937900,4,1,4,candidate,"CONCAT_REG_REG_REG(r1,r2,r3) | STEMGET_REG_REG_REG(r2,r4,r1) | SCOPY_REG_REG(r1,r2)","r1=R81;r2=R78;r3=R60;r4=R0","benchmark_rexxcps_levelb_noopt",704
8,937900,4,1,3,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1) | STOD_REG(r3)","r1=R78;r2=R0;r3=R81","benchmark_rexxcps_levelb_noopt",708
9,791002,5,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R33;c1=int:1;r2=R31;c2=int:2;r3=R24;c3=int:256","benchmark_rexxcps_levelb_noopt",184
10,791000,5,1,6,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2)","r1=R41;r2=R46;r3=R50;r4=R55;r5=R61;r6=R37","benchmark_rexxcps_levelb_noopt",1269
11,791000,5,1,6,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1) | SCOPY_REG_REG(r6,r3)","r1=R55;r2=R69;r3=R41;r4=R46;r5=R50;r6=R61","benchmark_rexxcps_levelb_noopt",1266
12,768400,5,1,4,candidate,"CONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2) | ITOS_REG(r2)","r1=R76;c1=string@38320;r2=R74;c2=int:2","benchmark_rexxcps_levelb_noopt",976
13,632800,4,1,6,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r2)","r1=R69;c1=string@58352;r2=R55;r3=R41;r4=R46;r5=R50","benchmark_rexxcps_levelb_noopt",1263
14,632800,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | STRUPPER_REG_REG(r1,r2) | RET_REG(r1)","r1=R0;c1=string@28856;r2=R3","upper",4
15,632800,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_STRING(r1,c3) | STRUPPER_REG_REG(r1,r2)","c1=int:18;c2=int:1;r1=R0;c3=string@28856;r2=R3","upper",0
16,621500,3,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1)","r1=R80;r2=R76;r3=R0;r4=R79","benchmark_rexxcps_levelb_noopt",870
17,610200,4,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_STRING(r1,r1,c1) | LOAD_REG_INT(r2,c2)","r1=R76;c1=string@38320;r2=R74;c2=int:2","benchmark_rexxcps_levelb_noopt",974
18,610200,4,1,3,candidate,"LOAD_REG_INT(r1,c1) | ITOS_REG(r1) | CONCAT_REG_REG_STRING(r1,r1,c2)","r1=R76;c1=int:1;c2=string@38320","benchmark_rexxcps_levelb_noopt",971
19,475834,8,4,6,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R11;c1=string@7352;r2=R33;r3=R12;c2=int:1;c3=label@168","benchmark_rexxcps_levelb_noopt",146
20,475833,7,3,5,candidate,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R4;r2=R1;r3=R11;c1=int:1;c2=label@86","left",73
21,475434,5,4,6,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3) | SETTP_REG_INT(r2,c4)","c1=label@31;r1=R15;c2=int:256;r2=R1;c3=string@312872;c4=int:0","left",19
22,475434,5,4,4,candidate,"LOAD_REG_STRING(r1,c1) | SETTP_REG_INT(r1,c2) | BR_ID(c3)","r1=R1;c1=string@312872;c2=int:0;c3=label@46","left",23
23,475016,2,2,9,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG(r5,r6) | GETANDTP_REG_REG_INT(r7,r8,c1)","r1=R9;r2=R10;r3=R12;r4=R13;r5=R16;r6=R17;r7=R2;r8=R0;c1=int:256","strip",75
24,475000,2,2,6,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@12848;r1=R30;r2=R31;r3=R2;c2=int:0;c3=label@12819","trace",12805
25,475000,2,2,6,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1)","r1=R30;r2=R19;c1=int:0;c2=label@12848;r3=R31;r4=R2","trace",12801
26,475000,2,2,7,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1) | BGE_ID_REG_INT(c2,r3,c3)","r1=R2;r2=R3;c1=int:1;r3=R21;r4=R29;c2=label@12791;c3=int:0","trace",12776
