workload,vm,entry,rank,transition,count,total_ns
Sieve,rxvm,sieve-opt,1,sequential_same_frame,4968371,58091903
Sieve,rxvm,sieve-opt,2,branch_same_frame,1857003,24063704
Sieve,rxvm,sieve-opt,3,external_entry,1,2667
Sieve,rxvm,sieve-opt,4,terminal,1,0
Sieve,rxbvm,sieve-opt,1,sequential_same_frame,4968371,58451758
Sieve,rxbvm,sieve-opt,2,branch_same_frame,1857003,24323653
Sieve,rxbvm,sieve-opt,3,external_entry,1,3125
Sieve,rxbvm,sieve-opt,4,terminal,1,0
Bounce,rxvm,bounce-opt,1,sequential_same_frame,19617822,247711648
Bounce,rxvm,bounce-opt,2,branch_same_frame,3274303,49306310
Bounce,rxvm,bounce-opt,3,call_enter_frame,10100,118721
Bounce,rxvm,bounce-opt,4,return_leave_frame,10100,118440
Bounce,rxvm,bounce-opt,5,external_entry,1,3083
Bounce,rxbvm,bounce-opt,1,sequential_same_frame,19617822,248892586
Bounce,rxbvm,bounce-opt,2,branch_same_frame,3274303,48633846
Bounce,rxbvm,bounce-opt,3,call_enter_frame,10100,122434
Bounce,rxbvm,bounce-opt,4,return_leave_frame,10100,111613
Bounce,rxbvm,bounce-opt,5,external_entry,1,2708
Richards,rxvm,richards-opt,1,sequential_same_frame,7660294,106076499
Richards,rxvm,richards-opt,2,branch_same_frame,1220546,24648382
Richards,rxvm,richards-opt,3,call_enter_frame,119157,1465629
Richards,rxvm,richards-opt,4,return_leave_frame,119157,1437620
Richards,rxvm,richards-opt,5,external_entry,1,3250
Richards,rxbvm,richards-opt,1,sequential_same_frame,7660294,108713344
Richards,rxbvm,richards-opt,2,branch_same_frame,1220546,26712779
Richards,rxbvm,richards-opt,3,call_enter_frame,119157,1605080
Richards,rxbvm,richards-opt,4,return_leave_frame,119157,1507549
Richards,rxbvm,richards-opt,5,external_entry,1,4666
Base64,rxvm,base64-opt,1,sequential_same_frame,37137811,509743385
Base64,rxvm,base64-opt,2,branch_same_frame,9587060,269076712
Base64,rxvm,base64-opt,3,return_leave_frame,500,8127
Base64,rxvm,base64-opt,4,call_enter_frame,500,7045
Base64,rxvm,base64-opt,5,external_entry,1,3042
Base64,rxbvm,base64-opt,1,sequential_same_frame,37137811,536045748
Base64,rxbvm,base64-opt,2,branch_same_frame,9587060,282933765
Base64,rxbvm,base64-opt,3,return_leave_frame,500,11327
Base64,rxbvm,base64-opt,4,call_enter_frame,500,9707
Base64,rxbvm,base64-opt,5,external_entry,1,1709
RexxCPS,rxvm,rexxcps-opt,1,sequential_same_frame,17221693,275146627
RexxCPS,rxvm,rexxcps-opt,2,branch_same_frame,3306139,275016166
RexxCPS,rxvm,rexxcps-opt,3,call_enter_frame,285043,3260154
RexxCPS,rxvm,rexxcps-opt,4,return_leave_frame,285043,3173911
RexxCPS,rxvm,rexxcps-opt,5,external_entry,1,3708
RexxCPS,rxbvm,rexxcps-opt,1,branch_same_frame,3224842,283758083
RexxCPS,rxbvm,rexxcps-opt,2,sequential_same_frame,16796218,276116947
RexxCPS,rxbvm,rexxcps-opt,3,return_leave_frame,278043,3262880
RexxCPS,rxbvm,rexxcps-opt,4,call_enter_frame,278043,3238445
RexxCPS,rxbvm,rexxcps-opt,5,external_entry,1,2708
