sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-BIFs-bifs-rxvm-warmup-1,timing,BIFs,bifs-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,1,1,100000,33474000,,0,pass,,
timing-BIFs-bifs-rxbvm-warmup-1,timing,BIFs,bifs-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,1,2,100000,35411000,,0,pass,,
timing-BIFs-bifs-rxbvm-warmup-2,timing,BIFs,bifs-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,2,1,100000,35374000,,0,pass,,
timing-BIFs-bifs-rxvm-warmup-2,timing,BIFs,bifs-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,2,2,100000,33724000,,0,pass,,
timing-BIFs-bifs-rxvm-recorded-1,timing,BIFs,bifs-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,1,1,100000,34520000,,0,pass,,
timing-BIFs-bifs-rxbvm-recorded-1,timing,BIFs,bifs-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,1,2,100000,35816000,,0,pass,,
timing-BIFs-bifs-rxbvm-recorded-2,timing,BIFs,bifs-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,2,1,100000,35531000,,0,pass,,
timing-BIFs-bifs-rxvm-recorded-2,timing,BIFs,bifs-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,2,2,100000,33735000,,0,pass,,
timing-BIFs-bifs-rxvm-recorded-3,timing,BIFs,bifs-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,3,1,100000,33296000,,0,pass,,
timing-BIFs-bifs-rxbvm-recorded-3,timing,BIFs,bifs-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,3,2,100000,35737000,,0,pass,,
timing-BIFs-bifs-rxbvm-recorded-4,timing,BIFs,bifs-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,4,1,100000,35621000,,0,pass,,
timing-BIFs-bifs-rxvm-recorded-4,timing,BIFs,bifs-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,4,2,100000,32597000,,0,pass,,
timing-BIFs-bifs-rxvm-recorded-5,timing,BIFs,bifs-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,5,1,100000,32806000,,0,pass,,
timing-BIFs-bifs-rxbvm-recorded-5,timing,BIFs,bifs-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,5,2,100000,36249000,,0,pass,,
timing-Call-ARG-call-arg-rxvm-warmup-1,timing,Call-ARG,call-arg-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,1,1,100000,27148000,,0,pass,,
timing-Call-ARG-call-arg-rxbvm-warmup-1,timing,Call-ARG,call-arg-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,1,2,100000,30395000,,0,pass,,
timing-Call-ARG-call-arg-rxbvm-warmup-2,timing,Call-ARG,call-arg-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,2,1,100000,30835000,,0,pass,,
timing-Call-ARG-call-arg-rxvm-warmup-2,timing,Call-ARG,call-arg-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,2,2,100000,28157000,,0,pass,,
timing-Call-ARG-call-arg-rxvm-recorded-1,timing,Call-ARG,call-arg-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,1,1,100000,27094000,,0,pass,,
timing-Call-ARG-call-arg-rxbvm-recorded-1,timing,Call-ARG,call-arg-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,1,2,100000,30799000,,0,pass,,
timing-Call-ARG-call-arg-rxbvm-recorded-2,timing,Call-ARG,call-arg-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,2,1,100000,30215000,,0,pass,,
timing-Call-ARG-call-arg-rxvm-recorded-2,timing,Call-ARG,call-arg-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,2,2,100000,27477000,,0,pass,,
timing-Call-ARG-call-arg-rxvm-recorded-3,timing,Call-ARG,call-arg-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,3,1,100000,26782000,,0,pass,,
timing-Call-ARG-call-arg-rxbvm-recorded-3,timing,Call-ARG,call-arg-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,3,2,100000,29903000,,0,pass,,
timing-Call-ARG-call-arg-rxbvm-recorded-4,timing,Call-ARG,call-arg-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,4,1,100000,30238000,,0,pass,,
timing-Call-ARG-call-arg-rxvm-recorded-4,timing,Call-ARG,call-arg-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,4,2,100000,26839000,,0,pass,,
timing-Call-ARG-call-arg-rxvm-recorded-5,timing,Call-ARG,call-arg-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,5,1,100000,27147000,,0,pass,,
timing-Call-ARG-call-arg-rxbvm-recorded-5,timing,Call-ARG,call-arg-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,5,2,100000,30140000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxvm-warmup-1,timing,TRACE-ADDRESS,trace-address-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,1,1,100000,84486000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxbvm-warmup-1,timing,TRACE-ADDRESS,trace-address-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,1,2,100000,90741000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxbvm-warmup-2,timing,TRACE-ADDRESS,trace-address-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,2,1,100000,92682000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxvm-warmup-2,timing,TRACE-ADDRESS,trace-address-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,2,2,100000,84989000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxvm-recorded-1,timing,TRACE-ADDRESS,trace-address-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,1,1,100000,84473000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxbvm-recorded-1,timing,TRACE-ADDRESS,trace-address-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,1,2,100000,93302000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxbvm-recorded-2,timing,TRACE-ADDRESS,trace-address-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,2,1,100000,94994000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxvm-recorded-2,timing,TRACE-ADDRESS,trace-address-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,2,2,100000,98063000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxvm-recorded-3,timing,TRACE-ADDRESS,trace-address-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,3,1,100000,94461000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxbvm-recorded-3,timing,TRACE-ADDRESS,trace-address-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,3,2,100000,99437000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxbvm-recorded-4,timing,TRACE-ADDRESS,trace-address-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,4,1,100000,94226000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxvm-recorded-4,timing,TRACE-ADDRESS,trace-address-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,4,2,100000,85065000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxvm-recorded-5,timing,TRACE-ADDRESS,trace-address-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,5,1,100000,87441000,,0,pass,,
timing-TRACE-ADDRESS-trace-address-rxbvm-recorded-5,timing,TRACE-ADDRESS,trace-address-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,5,2,100000,94016000,,0,pass,,
timing-Stems-stems-rxvm-warmup-1,timing,Stems,stems-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,1,1,100000,101753000,,0,pass,,
timing-Stems-stems-rxbvm-warmup-1,timing,Stems,stems-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,1,2,100000,105532000,,0,pass,,
timing-Stems-stems-rxbvm-warmup-2,timing,Stems,stems-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,2,1,100000,104897000,,0,pass,,
timing-Stems-stems-rxvm-warmup-2,timing,Stems,stems-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,2,2,100000,99384000,,0,pass,,
timing-Stems-stems-rxvm-recorded-1,timing,Stems,stems-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,1,1,100000,101685000,,0,pass,,
timing-Stems-stems-rxbvm-recorded-1,timing,Stems,stems-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,1,2,100000,102337000,,0,pass,,
timing-Stems-stems-rxbvm-recorded-2,timing,Stems,stems-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,2,1,100000,101608000,,0,pass,,
timing-Stems-stems-rxvm-recorded-2,timing,Stems,stems-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,2,2,100000,99724000,,0,pass,,
timing-Stems-stems-rxvm-recorded-3,timing,Stems,stems-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,3,1,100000,100037000,,0,pass,,
timing-Stems-stems-rxbvm-recorded-3,timing,Stems,stems-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,3,2,100000,102327000,,0,pass,,
timing-Stems-stems-rxbvm-recorded-4,timing,Stems,stems-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,4,1,100000,105111000,,0,pass,,
timing-Stems-stems-rxvm-recorded-4,timing,Stems,stems-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,4,2,100000,108196000,,0,pass,,
timing-Stems-stems-rxvm-recorded-5,timing,Stems,stems-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,5,1,100000,114135000,,0,pass,,
timing-Stems-stems-rxbvm-recorded-5,timing,Stems,stems-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,5,2,100000,111038000,,0,pass,,
timing-Decimal-String-decimal-string-rxvm-warmup-1,timing,Decimal-String,decimal-string-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,1,1,100000,36765000,,0,pass,,
timing-Decimal-String-decimal-string-rxbvm-warmup-1,timing,Decimal-String,decimal-string-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,1,2,100000,36146000,,0,pass,,
timing-Decimal-String-decimal-string-rxbvm-warmup-2,timing,Decimal-String,decimal-string-rxbvm,crexx,rxbvm,attribution-only,control,no,no,warmup,2,1,100000,34187000,,0,pass,,
timing-Decimal-String-decimal-string-rxvm-warmup-2,timing,Decimal-String,decimal-string-rxvm,crexx,rxvm,attribution-only,control,no,no,warmup,2,2,100000,33626000,,0,pass,,
timing-Decimal-String-decimal-string-rxvm-recorded-1,timing,Decimal-String,decimal-string-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,1,1,100000,33037000,,0,pass,,
timing-Decimal-String-decimal-string-rxbvm-recorded-1,timing,Decimal-String,decimal-string-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,1,2,100000,35792000,,0,pass,,
timing-Decimal-String-decimal-string-rxbvm-recorded-2,timing,Decimal-String,decimal-string-rxbvm,crexx,rxbvm,attribution-only,control,no,no,recorded,2,1,100000,33354000,,0,pass,,
timing-Decimal-String-decimal-string-rxvm-recorded-2,timing,Decimal-String,decimal-string-rxvm,crexx,rxvm,attribution-only,control,no,no,recorded,2,2,100000,36150000,,0,pass,,
