section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,4,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxbvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,685,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,35,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
instruction,SETATTRS_REG_INT,,217,2,70083,35041,10083,60000,16.916411,,,,,,,,,,,,,,
instruction,SAY_STRING,,455,1,68917,68917,68917,68917,16.634966,,,,,,,,,,,,,,
instruction,MINLINKATTR1_REG_REG_REG_INT,,294,2,59541,29770,83,59458,14.371817,,,,,,,,,,,,,,
instruction,LOAD_REG_INT,,1,1,31958,31958,31958,31958,7.713920,,,,,,,,,,,,,,
instruction,LOAD_REG_STRING,,3,4,31167,7791,42,31000,7.522991,,,,,,,,,,,,,,
instruction,ENDLIFE_REG,,514,4,22541,5635,42,22291,5.440875,,,,,,,,,,,,,,
instruction,IEQ_REG_REG_INT,,101,3,22500,7500,0,22417,5.430978,,,,,,,,,,,,,,
instruction,RET_INT,,50,1,21625,21625,21625,21625,5.219774,,,,,,,,,,,,,,
instruction,LINKTOATTR1_INT_REG_REG,,207,1,20750,20750,20750,20750,5.008569,,,,,,,,,,,,,,
