sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
rss-Bounce-q0-rxvm-recorded-1,rss,Bounce,q0-rxvm,crexx-q0,rxvm,canonical,A,no,steady-rss,recorded,1,1,2200,6801771000,17776640,0,pass,,
rss-Bounce-q0-rxbvm-recorded-1,rss,Bounce,q0-rxbvm,crexx-q0,rxbvm,canonical,A,no,steady-rss,recorded,1,2,2200,7087629000,18038784,0,pass,,
rss-Bounce-q3-rxvm-recorded-1,rss,Bounce,q3-rxvm,crexx-q3,rxvm,direct-one-level,A,no,steady-rss,recorded,1,3,2200,1585224000,17793024,0,pass,,
rss-Bounce-q3-rxbvm-recorded-1,rss,Bounce,q3-rxbvm,crexx-q3,rxbvm,direct-one-level,A,no,steady-rss,recorded,1,4,2200,1726746000,17842176,0,pass,,
rss-Bounce-q4-rxvm-recorded-1,rss,Bounce,q4-rxvm,crexx-q4,rxvm,eager-private-handler,A,no,steady-rss,recorded,1,5,2200,1424744000,17809408,0,pass,,
rss-Bounce-q4-rxbvm-recorded-1,rss,Bounce,q4-rxbvm,crexx-q4,rxbvm,eager-private-handler,A,no,steady-rss,recorded,1,6,2200,1527175000,17956864,0,pass,,
rss-Bounce-q7-rxvm-recorded-1,rss,Bounce,q7-rxvm,crexx-q7,rxvm,shared-record-core,A,no,steady-rss,recorded,1,7,2200,1436084000,17940480,0,pass,,
rss-Bounce-q7-rxbvm-recorded-1,rss,Bounce,q7-rxbvm,crexx-q7,rxbvm,shared-record-core,A,no,steady-rss,recorded,1,8,2200,1504069000,17842176,0,pass,,
rss-Bounce-q0-rxbvm-recorded-2,rss,Bounce,q0-rxbvm,crexx-q0,rxbvm,canonical,A,no,steady-rss,recorded,2,1,2200,7092663000,17825792,0,pass,,
rss-Bounce-q3-rxvm-recorded-2,rss,Bounce,q3-rxvm,crexx-q3,rxvm,direct-one-level,A,no,steady-rss,recorded,2,2,2200,1513911000,18579456,0,pass,,
rss-Bounce-q3-rxbvm-recorded-2,rss,Bounce,q3-rxbvm,crexx-q3,rxbvm,direct-one-level,A,no,steady-rss,recorded,2,3,2200,1733538000,17874944,0,pass,,
rss-Bounce-q4-rxvm-recorded-2,rss,Bounce,q4-rxvm,crexx-q4,rxvm,eager-private-handler,A,no,steady-rss,recorded,2,4,2200,1428450000,17858560,0,pass,,
rss-Bounce-q4-rxbvm-recorded-2,rss,Bounce,q4-rxbvm,crexx-q4,rxbvm,eager-private-handler,A,no,steady-rss,recorded,2,5,2200,1513195000,17924096,0,pass,,
rss-Bounce-q7-rxvm-recorded-2,rss,Bounce,q7-rxvm,crexx-q7,rxvm,shared-record-core,A,no,steady-rss,recorded,2,6,2200,1419580000,17973248,0,pass,,
rss-Bounce-q7-rxbvm-recorded-2,rss,Bounce,q7-rxbvm,crexx-q7,rxbvm,shared-record-core,A,no,steady-rss,recorded,2,7,2200,1510701000,17973248,0,pass,,
rss-Bounce-q0-rxvm-recorded-2,rss,Bounce,q0-rxvm,crexx-q0,rxvm,canonical,A,no,steady-rss,recorded,2,8,2200,6835356000,17776640,0,pass,,
rss-Bounce-q3-rxvm-recorded-3,rss,Bounce,q3-rxvm,crexx-q3,rxvm,direct-one-level,A,no,steady-rss,recorded,3,1,2200,1486374000,17776640,0,pass,,
rss-Bounce-q3-rxbvm-recorded-3,rss,Bounce,q3-rxbvm,crexx-q3,rxbvm,direct-one-level,A,no,steady-rss,recorded,3,2,2200,1755943000,17809408,0,pass,,
rss-Bounce-q4-rxvm-recorded-3,rss,Bounce,q4-rxvm,crexx-q4,rxvm,eager-private-handler,A,no,steady-rss,recorded,3,3,2200,1435779000,17874944,0,pass,,
rss-Bounce-q4-rxbvm-recorded-3,rss,Bounce,q4-rxbvm,crexx-q4,rxbvm,eager-private-handler,A,no,steady-rss,recorded,3,4,2200,1528436000,18022400,0,pass,,
rss-Bounce-q7-rxvm-recorded-3,rss,Bounce,q7-rxvm,crexx-q7,rxvm,shared-record-core,A,no,steady-rss,recorded,3,5,2200,1417341000,17907712,0,pass,,
rss-Bounce-q7-rxbvm-recorded-3,rss,Bounce,q7-rxbvm,crexx-q7,rxbvm,shared-record-core,A,no,steady-rss,recorded,3,6,2200,1514479000,17907712,0,pass,,
rss-Bounce-q0-rxvm-recorded-3,rss,Bounce,q0-rxvm,crexx-q0,rxvm,canonical,A,no,steady-rss,recorded,3,7,2200,6715490000,17793024,0,pass,,
rss-Bounce-q0-rxbvm-recorded-3,rss,Bounce,q0-rxbvm,crexx-q0,rxbvm,canonical,A,no,steady-rss,recorded,3,8,2200,7079436000,17858560,0,pass,,
