sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Bounce-first-result-rxvm-q0-rxvm-warmup-1,timing,Bounce-first-result-rxvm,q0-rxvm,crexx-q0,rxvm,canonical,A,no,process-load-first-result-teardown,warmup,1,1,1,17273000,,0,pass,,
timing-Bounce-first-result-rxvm-q3b-rxvm-warmup-1,timing,Bounce-first-result-rxvm,q3b-rxvm,crexx-q3b,rxvm,same-guard-canonical-handler,A,no,process-load-first-result-teardown,warmup,1,2,1,14592000,,0,pass,,
timing-Bounce-first-result-rxvm-q4-rxvm-warmup-1,timing,Bounce-first-result-rxvm,q4-rxvm,crexx-q4,rxvm,eager-private-handler,A,no,process-load-first-result-teardown,warmup,1,3,1,14315000,,0,pass,,
timing-Bounce-first-result-rxvm-q7-rxvm-warmup-1,timing,Bounce-first-result-rxvm,q7-rxvm,crexx-q7,rxvm,shared-record-core,A,no,process-load-first-result-teardown,warmup,1,4,1,14689000,,0,pass,,
timing-Bounce-first-result-rxvm-q0-rxvm-recorded-1,timing,Bounce-first-result-rxvm,q0-rxvm,crexx-q0,rxvm,canonical,A,no,process-load-first-result-teardown,recorded,1,1,1,16449000,,0,pass,,
timing-Bounce-first-result-rxvm-q3b-rxvm-recorded-1,timing,Bounce-first-result-rxvm,q3b-rxvm,crexx-q3b,rxvm,same-guard-canonical-handler,A,no,process-load-first-result-teardown,recorded,1,2,1,14189000,,0,pass,,
timing-Bounce-first-result-rxvm-q4-rxvm-recorded-1,timing,Bounce-first-result-rxvm,q4-rxvm,crexx-q4,rxvm,eager-private-handler,A,no,process-load-first-result-teardown,recorded,1,3,1,14452000,,0,pass,,
timing-Bounce-first-result-rxvm-q7-rxvm-recorded-1,timing,Bounce-first-result-rxvm,q7-rxvm,crexx-q7,rxvm,shared-record-core,A,no,process-load-first-result-teardown,recorded,1,4,1,14314000,,0,pass,,
timing-Bounce-first-result-rxvm-q3b-rxvm-recorded-2,timing,Bounce-first-result-rxvm,q3b-rxvm,crexx-q3b,rxvm,same-guard-canonical-handler,A,no,process-load-first-result-teardown,recorded,2,1,1,14110000,,0,pass,,
timing-Bounce-first-result-rxvm-q4-rxvm-recorded-2,timing,Bounce-first-result-rxvm,q4-rxvm,crexx-q4,rxvm,eager-private-handler,A,no,process-load-first-result-teardown,recorded,2,2,1,14397000,,0,pass,,
timing-Bounce-first-result-rxvm-q7-rxvm-recorded-2,timing,Bounce-first-result-rxvm,q7-rxvm,crexx-q7,rxvm,shared-record-core,A,no,process-load-first-result-teardown,recorded,2,3,1,14286000,,0,pass,,
