module	source_lines	source_bytes	static_instructions	max_locals	rxas_bytes	rxbin_bytes
_address	1711	53294	4976	69	947212	299909
_rxsystem	150	4980	155	20	26300	11004
_jdn	193	7302	945	20	179875	53978
_datei	368	13511	2625	76	493845	138696
_dateo	234	8330	934	88	167750	52956
_ftrunc	56	2081	18	7	13090	4928
_itrunc	56	1973	16	6	11098	4504
_typedformat	361	11256	412	61	87592	33252
abbrev	64	2384	34	11	19314	6432
abs	44	1658	6	3	3087	2048
intabs	52	1881	11	4	6648	3454
floatabs	44	1635	9	3	4486	2360
b2x	93	3292	70	18	13699	6768
b2d	87	3195	69	16	12664	6296
binary	484	14085	466	19	285901	82709
c2x	52	1803	17	7	7757	3744
c2d	49	1780	13	5	6548	3376
center	82	2771	49	13	30089	9688
centre	82	2771	49	13	30089	9680
changestr	81	2750	46	13	9011	4784
compare	78	2809	71	18	39055	10792
copies	65	2186	32	9	19333	6704
countstr	60	2029	28	8	4753	3072
d2b	63	2079	29	10	16018	6207
d2c	58	2167	28	7	14316	5232
d2x	87	2860	58	17	35168	11312
date	93	3820	79	22	47823	13411
delstr	82	2882	57	14	33944	10360
delword	110	3533	85	16	15897	7632
fileio	398	12601	635	23	105836	40341
filter	46	1729	12	3	4158	2424
format	372	11628	434	62	85604	33936
intformat	53	2325	28	21	4435	3077
floatformat	57	2582	49	25	6326	3853
fnv	48	1698	12	4	5099	2928
getenv	43	1670	8	2	2750	2080
insert	116	4103	99	20	54237	15304
length	44	1570	8	2	2663	2040
linesize	39	1551	2	0	802	1288
loadmodule	46	1691	8	2	2901	2080
lower	44	1563	8	2	2683	2008
max	48	1767	22	7	1945	1807
intmax	41	1665	21	7	1970	1784
floatmax	44	1903	37	7	3509	2232
min	48	1761	22	7	1945	1816
intmin	41	1659	21	7	1970	1776
floatmin	44	1897	37	7	3509	2224
numeric	97	2956	47	2	5572	3594
overlay	120	4217	98	22	57661	16288
pos	52	1930	23	5	9788	4000
qscan	436	13510	541	31	100979	38743
qpos	43	1876	15	9	7172	3461
qsplit	50	2067	107	26	23601	8890
qsplitsafe	53	2326	113	28	24738	9178
qextractall	61	2600	202	34	35393	13762
qextractpair	54	2432	187	24	31768	12381
qstripcomment	69	2582	186	32	39495	13800
qremoveall	70	2671	173	31	35818	13365
fsayfmt	320	10923	1893	58	352343	103380
lastpos	71	2548	52	10	8452	4384
left	74	2528	43	12	23657	8064
right	75	2570	44	12	24714	8288
raise	55	1966	20	8	13455	4688
reverse	54	1825	16	6	8980	3976
signal	294	7658	627	36	94670	35120
trace	1368	42893	6311	42	1195345	357469
sign	46	1657	8	2	3653	2216
intsign	39	1560	6	2	3665	2136
floatsign	41	1719	11	2	6472	2904
space	88	2969	67	19	11327	6080
strip	111	3989	112	23	19701	8440
substr	92	3247	72	17	43165	12496
substro	92	3254	72	17	43294	12536
symbol	115	4674	129	36	24020	11257
time	161	5376	199	23	34041	13729
translate	93	3488	80	20	38415	11560
trunc	152	4985	107	30	25638	11520
floattrunc	159	5379	132	34	28485	12416
upper	44	1570	4	2	2663	2048
value	133	4208	100	31	17608	8801
verify	79	2998	65	18	39585	11312
version	43	1575	4	1	1754	1712
word	73	2478	42	12	24018	8152
words	56	1812	24	6	3825	2664
wordindex	63	2228	32	9	17648	6216
subword	92	3216	79	16	13813	6640
wordlength	68	2347	37	10	20637	7056
wordpos	135	4490	115	27	24046	10520
qword	49	2035	76	25	13378	6676
qwordlength	45	1884	22	10	12277	5061
qwords	39	1542	8	6	1624	1925
qwordindex	45	1857	24	11	12538	5173
qwordpos	62	2540	158	37	29098	11741
qsubword	59	2566	104	28	17745	8293
regex	857	27484	8702	115	1718449	470905
x2b	92	3495	83	19	14959	6776
x2c	94	3510	87	18	15180	6800
x2d	170	6366	193	30	35592	13656
random	126	4407	255	23	57663	20524
reradix	125	4550	148	21	27148	11136
sequence	65	2443	37	11	21479	7472
find	41	1685	9	8	4608	2649
index	48	1877	23	5	9877	4032
xrange	68	2576	39	11	21437	7448
parsecompile	325	11514	1262	95	229542	68517
parsestring	352	12399	714	61	125289	41941
parse	97	3599	88	26	16904	7837
datatype	236	8427	620	49	88308	30271
arrayfind	74	2790	63	12	31883	9828
splice	88	3188	60	14	41139	11856
arrayinsert	62	2292	31	8	5487	3452
arraydelete	57	2176	27	8	4821	3068
arrayappend	59	2061	27	8	4339	3076
arrayprepend	59	2060	27	8	4311	3060
objectarrayinsert	62	2323	28	8	5668	3420
objectarraydelete	57	2213	27	8	5061	3108
objectarrayappend	59	2098	27	8	4584	3092
objectarrayprepend	59	2097	27	8	4556	3076
objectarraydrop	43	1599	3	1	731	1372
objectarraymove	73	2776	56	15	11317	5292
arraypop	45	1639	14	6	2249	2180
arrayshift	44	1632	13	5	1902	1956
arrayget	48	1863	13	5	6757	3188
arrayset	67	2271	30	13	5727	3748
arraycontains	65	2349	44	11	20708	7124
arrayindexof	67	2488	52	12	23595	7883
arrayreverse	49	1652	21	8	9524	4284
arrayjoin	47	1670	25	8	8935	4124
arraysort	149	4768	201	32	31963	12940
arraycopy	71	2610	50	12	8262	4548
arraydrop	44	1613	3	1	652	1372
arrayhi	66	2478	43	9	6028	3748
arraymove	81	2972	59	14	11616	5716
fmtmask	539	19638	1199	56	218723	72289
compilemask	197	6504	877	80	141441	48800
runmask	111	3645	545	62	89731	32754
parseExec	543	18206	1869	115	357644	108982
stem	348	9048	309	10	44377	20339
rxjson	676	21315	5228	96	835619	248187
rxsocket	154	4265	138	4	71571	22201
rxhttp	493	14053	5029	75	1019345	285699
wordrep	77	3440	350	35	73611	24312
