rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,3021600,14,2,4,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R61;r2=R13;r3=R62;r4=R6","benchmark_rexxcps_levelb_opt",1257
2,2091600,6,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1)","r1=R51;r2=R67;c1=string@34184","benchmark_rexxcps_levelb_opt",488
3,1867249,27,3,4,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R38;r2=R35;c1=string@23592;c2=label@400","benchmark_rexxcps_levelb_opt",390
4,1860028,16,5,3,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1)","r1=R18;c1=int:0;r2=R32","benchmark_rexxcps_levelb_opt",162
5,1842600,5,1,2,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1)","r1=R78;r2=R25","benchmark_rexxcps_levelb_opt",686
6,1647257,28,7,4,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R30;c1=string@5256;r2=R28;c2=int:4","benchmark_rexxcps_levelb_opt",87
7,1630070,17,6,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R81;r2=R77;c1=int:0;c2=label@573","benchmark_rexxcps_levelb_opt",562
8,1396069,15,6,3,candidate,"SCOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R82;r2=R76;c1=label@623","benchmark_rexxcps_levelb_opt",618
9,1377800,4,1,2,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1)","r1=R79;r2=R76","benchmark_rexxcps_levelb_opt",672
10,1377800,4,1,3,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1)","r1=R76;r2=R4;r3=R79","benchmark_rexxcps_levelb_opt",668
11,1164485,17,6,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R20;c1=int:100;r2=R19;c2=string@2432","benchmark_rexxcps_levelb_opt",18
12,1163246,18,6,4,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4)","r1=R78;r2=R77;r3=R76;r4=R70","benchmark_rexxcps_levelb_opt",595
13,1162000,3,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1)","r1=R84;c1=string@34184;r2=R51;r3=R79;r4=R4","benchmark_rexxcps_levelb_opt",629
14,1162000,5,1,5,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52","benchmark_rexxcps_levelb_opt",1328
15,1162000,5,1,5,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1)","r1=R47;r2=R60;r3=R11;r4=R5;r5=R42","benchmark_rexxcps_levelb_opt",1325
16,937661,35,9,4,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R32;r2=R20;c1=int:1;c2=label@159","benchmark_rexxcps_levelb_opt",140
17,936003,22,3,4,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R62;r2=R6;r3=R89;c1=string@76408","benchmark_rexxcps_levelb_opt",1260
18,930603,10,2,4,candidate,"LOAD_REG_INT(r1,c1) | CALL_REG_FUNC_REG(r2,c2,r1)","r1=R32;c1=int:0;r2=R1;c2=func@9064","benchmark_rexxcps_levelb_opt",165
19,930003,6,4,7,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG(r5,r6,r7)","r1=R44;r2=R45;r3=R46;r4=R47;r5=R48;r6=R49;r7=R50","benchmark_rexxcps_levelb_opt",479
20,929600,4,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1)","r1=R60;c1=string@77664;r2=R47","benchmark_rexxcps_levelb_opt",1322
21,929600,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | STRUPPER_REG_REG(r1,r2)","r1=R0;c1=string@28856;r2=R3","upper",4
22,929600,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_STRING(r1,c3)","c1=int:18;c2=int:1;r1=R0;c3=string@28856","upper",0
23,929600,1,1,2,candidate,"STRUPPER_REG_REG(r1,r2) | RET_REG(r1)","r1=R0;r2=R3","upper",7
24,913000,3,1,3,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1)","r1=R78;r2=R4;r3=R77","benchmark_rexxcps_levelb_opt",1041
25,713802,5,2,4,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_STRING(r2,c2)","r1=R41;c1=string@1272;r2=R40;c2=string@384","benchmark_rexxcps_levelb_opt",445
26,704286,27,5,4,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R32;r2=R13;c1=int:0;c2=label@128","benchmark_rexxcps_levelb_opt",109
