rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,278800,1,1,7,candidate,"BCF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c2) | COPY_REG_REG(r2,r5)","c1=label@81;r1=R7;r2=R6;r3=R9;r4=R4;c2=int:0;r5=R10","objectarrayappend",62
2,278800,1,1,4,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | IADD_REG_REG_INT(r3,r3,c1)","r1=R6;r2=R10;r3=R4;c1=int:1","objectarrayappend",70
3,278800,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | COPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R6;r2=R9;r3=R4;c1=int:0;r4=R10","objectarrayappend",65
4,278800,1,1,4,candidate,"UNLINK_REG(r1) | IADD_REG_REG_INT(r2,r2,c1) | BR_ID(c2)","r1=R6;r2=R4;c1=int:1;c2=label@62","objectarrayappend",73
5,95580,3,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c2)","r1=R5;c1=int:18;c2=int:1;r2=R2","benchmark_awfy_storage_noopt",162
6,95560,2,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c3)","r1=R11;c1=int:18;c2=int:1;r2=R8;c3=int:2","benchmark_awfy_storage_noopt",397
7,95560,1,1,5,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r3,r1) | ILT_REG_REG_INT(r1,r4,c1)","r1=R7;r2=R9;c1=int:0;r3=R3;r4=R1","objectarrayappend",22
8,95560,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | INSATTRS1_REG_REG_REG(r3,r1,r4) | ICOPY_REG_REG(r5,r1)","r1=R2;r2=R3;c1=int:1;r3=R9;r4=R1;r5=R4","objectarrayappend",48
9,95560,1,1,7,candidate,"ICOPY_REG_REG(r1,r2) | BCF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r5,c2)","r1=R7;r2=R1;c1=label@81;r3=R6;r4=R9;r5=R4;c2=int:0","objectarrayappend",59
10,95560,1,1,5,candidate,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BCF_ID_REG(c1,r3)","r1=R4;r2=R2;r3=R7;r4=R1;c1=label@81","objectarrayappend",56
