sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-1,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,1,1,1000,1525809000,,0,pass,39663747,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-1,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,1,2,1000,1297541000,,0,pass,39198623,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-2,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,2,1,1000,1291894000,,0,pass,39518936,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-2,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,2,2,1000,1267204000,,0,pass,40216121,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-3,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,3,1,1000,1286763000,,0,pass,39564279,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-3,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,3,2,1000,1291045000,,0,pass,39431943,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-4,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,4,1,1000,1307523000,,0,pass,38965733,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-4,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,4,2,1000,1270266000,,0,pass,39987084,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-5,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,5,1,1000,1289794000,,0,pass,39466804,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-5,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,5,2,1000,1299730000,,0,pass,39166229,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-6,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,6,1,1000,1299448000,,0,pass,39172251,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-6,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,6,2,1000,1293919000,,0,pass,39373102,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-7,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,7,1,1000,1295677000,,0,pass,39211611,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-7,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,7,2,1000,1299476000,,0,pass,39265769,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-8,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,8,1,1000,1281294000,,0,pass,40021371,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-8,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,8,2,1000,1292659000,,0,pass,39434548,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-9,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,9,1,1000,1298681000,,0,pass,39194706,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-9,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,9,2,1000,1284473000,,0,pass,39619808,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-10,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,10,1,1000,1289406000,,0,pass,39550782,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-10,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,10,2,1000,1413563000,,0,pass,35937612,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-11,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,11,1,1000,1286865000,,0,pass,39632292,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-11,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,11,2,1000,1311290000,,0,pass,38817879,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-candidate-rxvm-recorded-12,timing,RexxCPS-guard-rxvm,p05-guard-candidate-rxvm,crexx-p05-cf1,rxvm,direct-canonical-mkref-guards,A,no,steady,recorded,12,1,1000,1317904000,,0,pass,38601394,cREXX clauses per second
timing-RexxCPS-guard-rxvm-p05-guard-baseline-rxvm-recorded-12,timing,RexxCPS-guard-rxvm,p05-guard-baseline-rxvm,crexx-accepted,rxvm,canonical,A,no,steady,recorded,12,2,1000,1303492000,,0,pass,39088992,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-baseline-rxbvm-recorded-1,timing,RexxCPS-guard-rxbvm,p05-guard-baseline-rxbvm,crexx-accepted,rxbvm,canonical,A,no,steady,recorded,1,1,1000,1405947000,,0,pass,36183934,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-candidate-rxbvm-recorded-1,timing,RexxCPS-guard-rxbvm,p05-guard-candidate-rxbvm,crexx-p05-cf1,rxbvm,direct-canonical-mkref-guards,A,no,steady,recorded,1,2,1000,1363739000,,0,pass,37330810,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-candidate-rxbvm-recorded-2,timing,RexxCPS-guard-rxbvm,p05-guard-candidate-rxbvm,crexx-p05-cf1,rxbvm,direct-canonical-mkref-guards,A,no,steady,recorded,2,1,1000,1361750000,,0,pass,37441019,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-baseline-rxbvm-recorded-2,timing,RexxCPS-guard-rxbvm,p05-guard-baseline-rxbvm,crexx-accepted,rxbvm,canonical,A,no,steady,recorded,2,2,1000,1380654000,,0,pass,36863947,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-baseline-rxbvm-recorded-3,timing,RexxCPS-guard-rxbvm,p05-guard-baseline-rxbvm,crexx-accepted,rxbvm,canonical,A,no,steady,recorded,3,1,1000,1392560000,,0,pass,36493454,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-candidate-rxbvm-recorded-3,timing,RexxCPS-guard-rxbvm,p05-guard-candidate-rxbvm,crexx-p05-cf1,rxbvm,direct-canonical-mkref-guards,A,no,steady,recorded,3,2,1000,1552068000,,0,pass,33285652,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-candidate-rxbvm-recorded-4,timing,RexxCPS-guard-rxbvm,p05-guard-candidate-rxbvm,crexx-p05-cf1,rxbvm,direct-canonical-mkref-guards,A,no,steady,recorded,4,1,1000,1365266000,,0,pass,37263864,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-baseline-rxbvm-recorded-4,timing,RexxCPS-guard-rxbvm,p05-guard-baseline-rxbvm,crexx-accepted,rxbvm,canonical,A,no,steady,recorded,4,2,1000,1409078000,,0,pass,36141498,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-baseline-rxbvm-recorded-5,timing,RexxCPS-guard-rxbvm,p05-guard-baseline-rxbvm,crexx-accepted,rxbvm,canonical,A,no,steady,recorded,5,1,1000,1388791000,,0,pass,36602652,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-candidate-rxbvm-recorded-5,timing,RexxCPS-guard-rxbvm,p05-guard-candidate-rxbvm,crexx-p05-cf1,rxbvm,direct-canonical-mkref-guards,A,no,steady,recorded,5,2,1000,1374298000,,0,pass,37070366,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-candidate-rxbvm-recorded-6,timing,RexxCPS-guard-rxbvm,p05-guard-candidate-rxbvm,crexx-p05-cf1,rxbvm,direct-canonical-mkref-guards,A,no,steady,recorded,6,1,1000,1388175000,,0,pass,36629131,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-baseline-rxbvm-recorded-6,timing,RexxCPS-guard-rxbvm,p05-guard-baseline-rxbvm,crexx-accepted,rxbvm,canonical,A,no,steady,recorded,6,2,1000,1385008000,,0,pass,36767443,cREXX clauses per second
timing-RexxCPS-guard-rxbvm-p05-guard-baseline-rxbvm-recorded-7,timing,RexxCPS-guard-rxbvm,p05-guard-baseline-rxbvm,crexx-accepted,rxbvm,canonical,A,no,steady,recorded,7,1,1000,1384251000,,0,pass,36755078,cREXX clauses per second
