sample_id,stream,line_number,text
timing-List-rxvm-r2a-rxvm-warmup-1,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-warmup-1,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-warmup-1,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-warmup-1,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-1,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-1,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-1,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-1,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-2,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-2,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-2,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-2,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-3,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-3,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-3,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-3,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-4,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-4,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-4,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-4,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-5,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-5,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-5,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-5,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-6,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-6,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-6,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-6,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-7,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-7,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-7,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-7,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-8,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-8,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-8,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-8,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-9,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-9,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-9,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-9,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-10,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-10,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-10,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-10,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-11,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-11,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-11,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-11,stdout,2,PASS: AWFY List
timing-List-rxvm-r1a-rxvm-recorded-12,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r1a-rxvm-recorded-12,stdout,2,PASS: AWFY List
timing-List-rxvm-r2a-rxvm-recorded-12,stdout,1,benchmark=awfy_list repetitions=100 result=10
timing-List-rxvm-r2a-rxvm-recorded-12,stdout,2,PASS: AWFY List
