rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,685000,6,1,6,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@816;r1=R20;r2=R21;r3=R17;c2=int:0;c3=label@787","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",773
2,685000,6,1,6,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1)","r1=R20;r2=R10;c1=int:0;c2=label@816;r3=R21;r4=R17","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",769
3,685000,6,1,7,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1) | BGE_ID_REG_INT(c2,r3,c3)","r1=R17;r2=R1;c1=int:1;r3=R9;r4=R19;c2=label@759;c3=int:0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",744
4,685000,6,1,7,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3)","r1=R13;c1=int:0;r2=R16;c2=string@256;r3=R20;r4=R1;c3=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",712
5,685000,6,1,6,candidate,"LOAD_REG_STRING(r1,c1) | ILT_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R16;c1=string@256;r2=R20;r3=R1;c2=int:1;c3=label@728","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",715
6,685000,6,1,6,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3)","r1=R11;c1=string@48912;r2=R13;c2=int:0;r3=R16;c3=string@256","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",709
7,685000,6,1,9,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG_REG(r5,r6,r7) | SCOPY_REG_REG(r8,r9)","r1=R9;r2=R10;r3=R12;r4=R14;r5=R15;r6=R17;r7=R19;r8=R18;r9=R40","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",697
8,685000,6,1,6,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4)","r1=R18;r2=R17;r3=R16;r4=R10;r5=R15;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",809
9,685000,6,1,5,candidate,"STRLEN_REG_REG(r1,r2) | INE_REG_REG_INT(r3,r1,c1) | BRF_ID_REG(c2,r3)","r1=R14;r2=R11;r3=R20;c1=int:1;c2=label@741","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",728
10,685000,6,1,6,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3)","r1=R19;r2=R18;r3=R17;r4=R1;c1=int:1;r5=R9","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",741
11,683000,4,1,5,candidate,"BRT_ID_REG(c1,r1) | SEQ_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@1202;r1=R33;r2=R35;c2=string@256;c3=label@1213","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1195
12,683000,4,1,5,candidate,"LOAD_REG_INT(r1,c1) | STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1)","r1=R37;c1=int:1;r2=R34;r3=R35;r4=R33","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1213
13,683000,4,1,6,candidate,"LOAD_REG_STRING(r1,c1) | SEQ_REG_REG_STRING(r2,r3,c2) | BRT_ID_REG(c3,r2)","r1=R35;c1=string@45544;r2=R33;r3=R34;c2=string@256;c3=label@1202","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1188
14,683000,4,1,5,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_STRING(r4,c1)","r1=R37;r2=R34;r3=R15;r4=R35;c1=string@45544","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1183
15,683000,4,1,6,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SEQ_REG_REG_STRING(r4,r1,c2)","r1=R34;r2=R15;r3=R35;c1=string@45544;r4=R33;c2=string@256","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1185
16,683000,4,1,5,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | SEQ_REG_REG_STRING(r1,r3,c1)","r1=R33;r2=R34;c1=string@256;c2=label@1202;r3=R35","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1191
17,683000,4,1,5,candidate,"STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | BR_ID(c1)","r1=R37;r2=R34;r3=R35;r4=R33;c1=label@1225","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1216
18,514000,5,1,7,candidate,"SUBSTRING_REG_REG_REG(r1,r2,r3) | ISUB_REG_INT_REG(r4,c1,r3) | BLE_ID_REG_INT(c2,r4,c3)","r1=R16;r2=R18;r3=R10;r4=R15;c1=int:1;c2=label@832;c3=int:0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",812
19,513000,3,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_STRING(r3,c2) | LOAD_REG_INT(r4,c3)","r1=R14;r2=R2;c1=int:1;r3=R32;c2=string@48912;r4=R30;c3=int:0","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1261
20,513000,3,1,8,candidate,"NULLN_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r4,r5) | IADD_REG_REG_INT(r6,r7,c1)","r1=R28;r2=R13;r3=R11;r4=R12;r5=R40;r6=R14;r7=R2;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1254
21,513000,3,1,7,candidate,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1) | LOAD_REG_STRING(r5,c2)","r1=R12;r2=R40;r3=R14;r4=R2;c1=int:1;r5=R32;c2=string@48912","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1258
22,512000,3,1,7,candidate,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5) | BSETU8_REG_REG_REG(r6,r1,r3)","r1=R35;r2=R20;c1=int:1;r3=R34;r4=R15;r5=R29;r6=R21","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",250
23,512000,3,1,5,candidate,"IADD_REG_REG_REG(r1,r1,r2) | BSETU8_REG_REG_REG(r3,r4,r1) | IADD_REG_REG_INT(r4,r4,c1)","r1=R38;r2=R37;r3=R6;r4=R4;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1922
24,342000,2,1,5,candidate,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","c1=label@1949;r1=R38;r2=R24;c2=string@57120;c3=label@1976","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1942
25,342000,2,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c2,r1)","r1=R38;r2=R3;c1=int:1;r3=R4;c2=label@1949","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1934
26,342000,2,1,5,candidate,"ILT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r3,c2)","r1=R38;r2=R4;c1=label@1949;r3=R24;c2=string@57120","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1938
27,341500,2,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r2,c2) | BR_ID(c3)","r1=R19;c1=int:3;r2=R20;c2=int:4;c3=label@154","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",326
28,341500,2,1,4,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r3,c1) | ILT_REG_REG_REG(r2,r1,r2)","r1=R4;c1=int:1;r2=R38;r3=R3","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1930
29,341500,2,1,6,candidate,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r3,r1) | BSETU8_REG_REG_REG(r4,r5,r3)","r1=R37;r2=R19;c1=int:16;r3=R38;r4=R6;r5=R4","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1918
30,341000,2,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1) | BR_ID(c1)","r1=R36;r2=R15;r3=R30;r4=R21;r5=R34;c1=label@294","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",273
31,341000,2,1,8,candidate,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2) | BGETU8_REG_REG_REG(r4,r5,r6)","c1=label@283;r1=R35;r2=R34;r3=R20;c2=int:2;r4=R36;r5=R15;r6=R30","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",266
32,341000,2,1,5,candidate,"BRF_ID_REG(c1,r1) | SCOPY_REG_REG(r2,r3) | NULL_REG(r4)","c1=label@1838;r1=R38;r2=R37;r3=R24;r4=R34","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1766
33,341000,2,1,7,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r4,c3)","r1=R35;r2=R32;c1=int:1;c2=label@283;r3=R34;r4=R20;c3=int:2","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",262
34,341000,2,1,7,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | IMOD_REG_REG_INT(r3,r4,c3)","r1=R38;r2=R24;c1=string@57120;c2=label@1976;r3=R37;r4=R19;c3=int:16","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1945
35,341000,2,1,5,candidate,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | SCOPY_REG_REG(r3,r2)","r1=R38;r2=R24;c1=string@57120;c2=label@1838;r3=R37","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1762
36,341000,2,1,4,candidate,"SCOPY_REG_REG(r1,r2) | NULL_REG(r3) | SCOPY_REG_REG(r4,r1)","r1=R37;r2=R24;r3=R34;r4=R32","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1769
37,171000,1,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1) | IADD_REG_REG_INT(r1,r5,c1)","r1=R35;r2=R15;r3=R28;r4=R21;r5=R20;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",242
38,171000,1,1,7,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | BSETU8_REG_REG_REG(r4,r5,r1) | IGT_REG_REG_INT(r5,r6,c1)","r1=R34;r2=R15;r3=R29;r4=R21;r5=R35;r6=R32;c1=int:1","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",254
39,171000,1,1,6,candidate,"BGETU8_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | LOAD_REG_INT(r5,c1)","r1=R7;r2=R16;r3=R19;r4=R0;c1=int:0;r5=R27","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",165
40,171000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4) | BGETU8_REG_REG_REG(r5,r6,r4)","c1=label@336;r1=R33;r2=R32;r3=R23;r4=R19;r5=R7;r6=R16","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",158
41,171000,1,1,9,candidate,"BRF_ID_REG(c1,r1) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5) | NULLN_REG_REG_REG(r6,r7,r8)","c1=label@2020;r1=R16;r2=R13;r3=R12;r4=R10;r5=R28;r6=R29;r7=R32;r8=R34","/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/base64.rxas",1034
