entry,name,count,bytes,max_bytes,high_water,status
list-r1-control,frame_blocks,44,310464,10992,0,complete
list-r1-control,standalone_values,39,9672,248,0,complete
list-r1-control,attribute_value_blocks,6207,12316672,3968,0,complete
list-r1-control,attribute_pointer_storage,18619,1192128,256,0,complete
list-r1-control,string_buffers,2,128,64,0,complete
list-r1-control,binary_buffers,0,0,0,0,complete
list-r1-control,value_slots,50587,12545576,8680,0,complete
list-r1-control,frame_activations,572501,0,0,19,complete
list-r1-control,frame_reuses,572457,0,0,0,complete
list-r1-candidate,frame_blocks,44,310464,10992,0,complete
list-r1-candidate,standalone_values,39,9672,248,0,complete
list-r1-candidate,attribute_value_blocks,6207,12316672,3968,0,complete
list-r1-candidate,attribute_pointer_storage,18619,1192128,256,0,complete
list-r1-candidate,string_buffers,2,128,64,0,complete
list-r1-candidate,binary_buffers,0,0,0,0,complete
list-r1-candidate,value_slots,50587,12545576,8680,0,complete
list-r1-candidate,frame_activations,572501,0,0,19,complete
list-r1-candidate,frame_reuses,572457,0,0,0,complete
list-r2-control,frame_blocks,44,310464,10992,0,complete
list-r2-control,standalone_values,39,9672,248,0,complete
list-r2-control,attribute_value_blocks,6207,12316672,3968,0,complete
list-r2-control,attribute_pointer_storage,18619,1192128,256,0,complete
list-r2-control,string_buffers,2,128,64,0,complete
list-r2-control,binary_buffers,0,0,0,0,complete
list-r2-control,value_slots,50587,12545576,8680,0,complete
list-r2-control,frame_activations,572501,0,0,19,complete
list-r2-control,frame_reuses,572457,0,0,0,complete
list-r2-candidate,frame_blocks,44,310464,10992,0,complete
list-r2-candidate,standalone_values,39,9672,248,0,complete
list-r2-candidate,attribute_value_blocks,6207,12316672,3968,0,complete
list-r2-candidate,attribute_pointer_storage,18619,1192128,256,0,complete
list-r2-candidate,string_buffers,2,128,64,0,complete
list-r2-candidate,binary_buffers,0,0,0,0,complete
list-r2-candidate,value_slots,50587,12545576,8680,0,complete
list-r2-candidate,frame_activations,572501,0,0,19,complete
list-r2-candidate,frame_reuses,572457,0,0,0,complete
list-r12-control,frame_blocks,44,310464,10992,0,complete
list-r12-control,standalone_values,39,9672,248,0,complete
list-r12-control,attribute_value_blocks,6207,12316672,3968,0,complete
list-r12-control,attribute_pointer_storage,18619,1192128,256,0,complete
list-r12-control,string_buffers,2,128,64,0,complete
list-r12-control,binary_buffers,0,0,0,0,complete
list-r12-control,value_slots,50587,12545576,8680,0,complete
list-r12-control,frame_activations,572501,0,0,19,complete
list-r12-control,frame_reuses,572457,0,0,0,complete
list-r12-candidate,frame_blocks,44,310464,10992,0,complete
list-r12-candidate,standalone_values,39,9672,248,0,complete
list-r12-candidate,attribute_value_blocks,6207,12316672,3968,0,complete
list-r12-candidate,attribute_pointer_storage,18619,1192128,256,0,complete
list-r12-candidate,string_buffers,2,128,64,0,complete
list-r12-candidate,binary_buffers,0,0,0,0,complete
list-r12-candidate,value_slots,50587,12545576,8680,0,complete
list-r12-candidate,frame_activations,572501,0,0,19,complete
list-r12-candidate,frame_reuses,572457,0,0,0,complete
base64-b1-control,frame_blocks,2,25416,13104,0,complete
base64-b1-control,standalone_values,39,9672,248,0,complete
base64-b1-control,attribute_value_blocks,1,1984,1984,0,complete
base64-b1-control,attribute_pointer_storage,3,192,64,0,complete
base64-b1-control,string_buffers,14,16832,2048,0,complete
base64-b1-control,binary_buffers,511,524352,2048,0,complete
base64-b1-control,value_slots,130,32240,10664,0,complete
base64-b1-control,frame_activations,501,0,0,2,complete
base64-b1-control,frame_reuses,499,0,0,0,complete
base64-b1-candidate,frame_blocks,2,25416,13104,0,complete
base64-b1-candidate,standalone_values,39,9672,248,0,complete
base64-b1-candidate,attribute_value_blocks,1,1984,1984,0,complete
base64-b1-candidate,attribute_pointer_storage,3,192,64,0,complete
base64-b1-candidate,string_buffers,14,16832,2048,0,complete
base64-b1-candidate,binary_buffers,511,524352,2048,0,complete
base64-b1-candidate,value_slots,130,32240,10664,0,complete
base64-b1-candidate,frame_activations,501,0,0,2,complete
base64-b1-candidate,frame_reuses,499,0,0,0,complete
