entry,rank,name,metric,module,kind,count,total_ns,average_ns,completed,unwound,return_type,args,status
list-r1-control,1,awfy_list.listarena.allocate,elapsed,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3100,0,0,3100,0,reference .listelement,value=.int,complete
list-r1-control,1,awfy_list.listarena.allocate,inclusive_body,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3100,0,0,3100,0,reference .listelement,value=.int,complete
list-r1-control,1,awfy_list.listarena.allocate,self,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3100,0,0,3100,0,reference .listelement,value=.int,complete
list-r1-control,1,awfy_list.listarena.allocate,native_child,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3100,0,0,3100,0,reference .listelement,value=.int,complete
list-r1-control,1,awfy_list.listarena.allocate,entry_overhead,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3100,0,0,3100,0,reference .listelement,value=.int,complete
list-r1-control,1,awfy_list.listarena.allocate,exit_overhead,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3100,0,0,3100,0,reference .listelement,value=.int,complete
list-r1-control,2,awfy_list.listbenchmark.isshorterthan,elapsed,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,280900,0,0,280900,0,.boolean,"x=reference .listelement,y=reference .listelement",complete
list-r1-control,2,awfy_list.listbenchmark.isshorterthan,inclusive_body,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,280900,0,0,280900,0,.boolean,"x=reference .listelement,y=reference .listelement",complete
list-r1-control,2,awfy_list.listbenchmark.isshorterthan,self,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,280900,0,0,280900,0,.boolean,"x=reference .listelement,y=reference .listelement",complete
list-r1-control,2,awfy_list.listbenchmark.isshorterthan,native_child,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,280900,0,0,280900,0,.boolean,"x=reference .listelement,y=reference .listelement",complete
list-r1-control,2,awfy_list.listbenchmark.isshorterthan,entry_overhead,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,280900,0,0,280900,0,.boolean,"x=reference .listelement,y=reference .listelement",complete
list-r1-control,2,awfy_list.listbenchmark.isshorterthan,exit_overhead,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,280900,0,0,280900,0,.boolean,"x=reference .listelement,y=reference .listelement",complete
list-r1-control,3,awfy_list.listbenchmark.makelist,elapsed,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3400,0,0,3400,0,reference .listelement,"list_length=.int,arena_reference=reference .listarena",complete
list-r1-control,3,awfy_list.listbenchmark.makelist,inclusive_body,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3400,0,0,3400,0,reference .listelement,"list_length=.int,arena_reference=reference .listarena",complete
list-r1-control,3,awfy_list.listbenchmark.makelist,self,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3400,0,0,3400,0,reference .listelement,"list_length=.int,arena_reference=reference .listarena",complete
list-r1-control,3,awfy_list.listbenchmark.makelist,native_child,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3400,0,0,3400,0,reference .listelement,"list_length=.int,arena_reference=reference .listarena",complete
list-r1-control,3,awfy_list.listbenchmark.makelist,entry_overhead,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3400,0,0,3400,0,reference .listelement,"list_length=.int,arena_reference=reference .listarena",complete
list-r1-control,3,awfy_list.listbenchmark.makelist,exit_overhead,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,method,3400,0,0,3400,0,reference .listelement,"list_length=.int,arena_reference=reference .listarena",complete
