entry,window,rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
list-r1-control,2,1,3827800,9,1,2,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2)",r1=R1;r2=R3,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,185
list-r1-control,2,2,3820600,5,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R1;r2=R12,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,569
list-r1-control,2,3,3820600,5,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1)",r1=R12;r2=R9;c1=int:1;r3=R1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,565
list-r1-control,2,4,2089000,2,1,3,candidate,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)",r1=R17;r2=R9;c1=label@518,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,500
list-r1-control,2,5,1945400,3,1,3,candidate,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3)",r1=R9;r2=R1;r3=R10,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,557
list-r1-control,2,6,1945400,3,1,3,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1)",r1=R12;r2=R10;c1=int:1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,572
list-r1-control,2,7,1875200,1,1,4,candidate,"BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r2,r3)",c1=label@585;r1=R11;r2=R12;r3=R1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,538
list-r1-control,2,8,1875200,1,1,2,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1)",r1=R12;c1=int:0,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,544
list-r1-control,2,9,1875200,1,1,3,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)",r1=R12;c1=int:0;c2=label@555,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,546
list-r1-control,2,10,1875200,2,1,5,candidate,"LINKREF_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)",r1=R10;r2=R3;r3=R12;r4=R9;c1=int:1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,562
list-r1-control,2,11,1875200,1,1,2,candidate,"REFVALID_REG_REG(r1,r2) | BTOI_REG(r1)",r1=R12;r2=R1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,541
list-r1-control,2,12,1805000,1,1,2,candidate,UNLINK_REG(r1) | BR_ID(c1),r1=R12;c1=label@535,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,581
list-r1-control,2,13,1407600,18,1,3,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1)",r1=R18;c1=int:256;r2=R2,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,413
list-r1-control,2,14,569400,6,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2)",r1=R5;c1=int:18;c2=int:1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,158
list-r1-control,2,15,284300,2,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG(r1,r2)",c1=int:18;c2=int:1;r1=R8;r2=R9,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,448
list-r1-control,2,16,284300,5,1,6,candidate,"SETTP_REG_INT(r1,c1) | CALL3_REG_FUNC_REG_REG_REG(r2,c2,r3,r4,r1)",r1=R15;c1=int:768;r2=R2;c2=func@21608;r3=R18;r4=R14,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,368
list-r1-control,2,17,281000,2,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG_REG_REG(r1,r2,r3,r4)",c1=int:18;c2=int:1;r1=R8;r2=R2;r3=R3;r4=R4,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,334
list-r1-control,2,18,280900,1,1,4,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R1;r2=R15;r3=R3;r4=R16,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,529
list-r1-control,2,19,280900,1,1,3,candidate,"COPY_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r1)",r1=R3;r2=R16;r3=R11,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,532
list-r1-control,2,20,280900,1,1,3,candidate,"NULLN_REG_REG(r1,r2) | COPY_REG_REG(r1,r3)",r1=R1;r2=R3;r3=R15,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,526
list-r1-control,2,21,280900,1,1,4,candidate,"NULLN_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1)",r1=R11;r2=R16;r3=R35;c1=int:256,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,605
list-r1-control,2,22,280900,1,1,6,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG(r5,r6)",r1=R21;r2=R22;r3=R23;r4=R6;r5=R11;r6=R16,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,600
list-r1-control,2,23,280900,5,1,7,candidate,"SETTP_REG_INT(r1,c1) | CALL4_REG_FUNC_REG_REG_REG_REG(r2,c2,r3,r4,r5,r1)",r1=R4;c1=int:256;r2=R8;c2=func@23568;r3=R18;r4=R2;r5=R3,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,422
list-r1-control,2,24,210700,1,1,2,candidate,ENDLIFE_REG(r1) | ENDLIFE_REG(r2),r1=R9;r2=R10,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,588
list-r1-control,2,25,210700,1,1,2,candidate,ENDLIFE_REG(r1) | RET_INT(c1),r1=R10;c1=int:0,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,590
list-r1-control,2,26,210700,1,1,2,candidate,"UNLINKN_REG_REG(r1,r2) | ENDLIFE_REG(r2)",r1=R10;r2=R9,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,585
list-r1-control,2,27,71100,2,1,3,candidate,"UNLINK_REG(r1) | SETTP_REG_INT(r2,c1)",r1=R3;r2=R1;c1=int:256,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,190
list-r1-control,2,28,70200,1,1,3,candidate,"BRF_ID_REG(c1,r1) | RET_INT(c2)",c1=label@555;r1=R12;c2=int:1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,550
list-r1-control,2,29,70200,1,1,3,candidate,"BRF_ID_REG(c1,r1) | UNLINK_REG(r2)",c1=label@746;r1=R7;r2=R28,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,623
list-r1-control,2,30,6200,2,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2)",r1=R4;r2=R11;c1=int:2;r3=R6;c2=int:1,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,272
list-r1-control,2,31,6200,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r1,c2)",r1=R6;r2=R11;c1=int:1;r3=R5;r4=R4;c2=int:0,/tmp/crexx-perf2-05-sa1.MzdvHT/poc-images/control/list.rxas,276
