entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
list-r1-control,list-r1,List,baseline,control,process,warmup,1,87385000,0,pass
list-r1-control,list-r1,List,baseline,control,process,warmup,2,87231000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,1,86808000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,2,86077000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,3,86360000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,4,86314000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,5,88941000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,6,85494000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,7,85543000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,8,85542000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,9,85152000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,10,85375000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,11,85688000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,12,87639000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,13,86765000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,14,86301000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,15,85670000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,warmup,1,83754000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,warmup,2,84533000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,1,84694000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,2,84758000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,3,85106000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,4,84644000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,5,86298000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,6,84650000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,7,84680000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,8,84358000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,9,84420000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,10,84746000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,11,84228000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,12,85977000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,13,84302000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,14,84619000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,15,84811000,0,pass
list-r2-control,list-r2,List,baseline,control,process,warmup,1,87602000,0,pass
list-r2-control,list-r2,List,baseline,control,process,warmup,2,86002000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,1,85810000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,2,87063000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,3,87154000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,4,85476000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,5,86061000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,6,85278000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,7,86781000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,8,86246000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,9,86075000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,10,87132000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,11,85807000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,12,86213000,0,pass
