entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
list-r1-control,1,1,1,UNLINK_REG,7662400,0,0,0,0,0.000000,complete
list-r1-control,2,1,1,COPY_REG_REG,4391301,0,0,0,0,0.000000,complete
list-r1-control,3,1,1,BRF_ID_REG,4248602,0,0,0,0,0.000000,complete
list-r1-control,4,1,1,REFVALID_REG_REG,3965200,0,0,0,0,0.000000,complete
list-r1-control,5,1,1,LINKATTR1_REG_REG_INT,3840800,0,0,0,0,0.000000,complete
list-r1-control,6,1,1,LINKREF_REG_REG,3827800,0,0,0,0,0.000000,complete
list-r1-control,7,1,1,SETTP_REG_INT,1977300,0,0,0,0,0.000000,complete
list-r1-control,8,1,1,IEQ_REG_REG_INT,1878600,0,0,0,0,0.000000,complete
list-r1-control,9,1,1,BTOI_REG,1876200,0,0,0,0,0.000000,complete
list-r1-control,10,1,1,BR_ID,1805001,0,0,0,0,0.000000,complete
list-r1-control,11,1,1,NUMSCI_INT_INT_INT,572501,0,0,0,0,0.000000,complete
list-r1-control,12,1,1,ASSERTINITIALIZED_REG,569400,0,0,0,0,0.000000,complete
list-r1-control,13,1,1,NULLN_REG_REG,565200,0,0,0,0,0.000000,complete
list-r1-control,14,1,1,ENDLIFE_REG,421401,0,0,0,0,0.000000,complete
list-r1-control,15,1,1,RET_REG,291500,0,0,0,0,0.000000,complete
list-r1-control,16,1,1,CALL3_REG_FUNC_REG_REG_REG,284300,0,0,0,0,0.000000,complete
list-r1-control,17,1,1,RET_INT,281001,0,0,0,0,0.000000,complete
list-r1-control,18,1,1,NULLN_REG_REG_REG_REG,281000,0,0,0,0,0.000000,complete
list-r1-control,19,1,1,CALL4_REG_FUNC_REG_REG_REG_REG,280900,0,0,0,0,0.000000,complete
list-r1-control,20,1,1,UNLINKN_REG_REG,216900,0,0,0,0,0.000000,complete
list-r1-control,21,1,1,ISETATTR1_REG_INT_REG,6300,0,0,0,0,0.000000,complete
list-r1-control,22,1,1,MINLINKATTR1_REG_REG_REG_INT,6200,0,0,0,0,0.000000,complete
