entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
list-r1-control,list-r1,List,baseline,control,process,warmup,1,77175000,0,pass
list-r1-control,list-r1,List,baseline,control,process,warmup,2,77451000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,1,76729000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,2,78887000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,3,77592000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,4,77958000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,5,77465000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,6,76918000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,7,76121000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,8,78697000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,9,76755000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,10,78043000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,11,76730000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,12,76384000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,13,78162000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,14,76889000,0,pass
list-r1-control,list-r1,List,baseline,control,process,recorded,15,76763000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,warmup,1,75972000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,warmup,2,75632000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,1,75092000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,2,75421000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,3,75339000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,4,75185000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,5,74625000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,6,75003000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,7,77061000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,8,74847000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,9,75055000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,10,75268000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,11,75892000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,12,76667000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,13,75679000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,14,74923000,0,pass
list-r1-candidate,list-r1,List,candidate,relinkref,process,recorded,15,74849000,0,pass
list-r2-control,list-r2,List,baseline,control,process,warmup,1,76269000,0,pass
list-r2-control,list-r2,List,baseline,control,process,warmup,2,76957000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,1,78419000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,2,78149000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,3,76850000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,4,78713000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,5,76707000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,6,77357000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,7,78215000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,8,77552000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,9,76531000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,10,77100000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,11,79225000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,12,76533000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,13,76479000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,14,78325000,0,pass
list-r2-control,list-r2,List,baseline,control,process,recorded,15,76658000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,warmup,1,71589000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,warmup,2,72206000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,1,72820000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,2,73734000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,3,71945000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,4,71466000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,5,72472000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,6,72879000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,7,72582000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,8,73224000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,9,71512000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,10,72137000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,11,72565000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,12,72858000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,13,72387000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,14,74060000,0,pass
list-r2-candidate,list-r2,List,candidate,copyattr1,process,recorded,15,72634000,0,pass
list-r12-control,list-r12,List,baseline,control,process,warmup,1,77166000,0,pass
list-r12-control,list-r12,List,baseline,control,process,warmup,2,79035000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,1,77272000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,2,77828000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,3,76583000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,4,77667000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,5,78034000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,6,76092000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,7,76554000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,8,80174000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,9,77984000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,10,78301000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,11,78012000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,12,79552000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,13,76786000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,14,77135000,0,pass
list-r12-control,list-r12,List,baseline,control,process,recorded,15,78326000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,warmup,1,70859000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,warmup,2,71093000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,1,70942000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,2,70760000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,3,71210000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,4,71041000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,5,71832000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,6,71032000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,7,71024000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,8,72210000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,9,71274000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,10,70902000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,11,70755000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,12,71738000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,13,71427000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,14,71552000,0,pass
list-r12-candidate,list-r12,List,candidate,combined,process,recorded,15,70797000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,warmup,1,325616000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,warmup,2,315221000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,1,307098000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,2,325950000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,3,368091000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,4,362521000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,5,291710000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,6,352130000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,7,304216000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,8,312968000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,9,286777000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,10,287528000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,11,277390000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,12,320617000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,13,302584000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,14,370003000,0,pass
base64-b1-control,base64-b1,Base64,baseline,control,process,recorded,15,336259000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,warmup,1,380264000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,warmup,2,329239000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,1,259711000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,2,340887000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,3,323773000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,4,272793000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,5,328630000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,6,330587000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,7,296886000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,8,313963000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,9,273846000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,10,290101000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,11,338616000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,12,326053000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,13,326321000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,14,302163000,0,pass
base64-b1-candidate,base64-b1,Base64,candidate,icopybr,process,recorded,15,311369000,0,pass
