rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1368001,8,1,5,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R9;c1=int:2;r2=R4;c2=int:256;r3=R10","benchmark_base64_roundtrip_noopt",142
2,1196500,5,1,4,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SETTP_REG_INT(r3,c1)","r1=R25;c1=int:256;r2=R10;r3=R12","benchmark_base64_roundtrip_noopt",645
3,685000,1,1,6,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","c1=label@215;r1=R15;r2=R14;r3=R11;c2=int:0;c3=label@189","substr",175
4,685000,1,1,7,candidate,"BRF_ID_REG(c1,r1) | ILT_REG_REG_INT(r2,r3,c2) | BRTF_ID_ID_REG(c3,c4,r2)","c1=label@88;r1=R3;r2=R14;r3=R20;c2=int:0;c3=label@94;c4=label@97","substr",77
5,685000,1,1,6,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r2,c3) | SETTP_REG_INT(r2,c4)","c1=label@38;r1=R21;c2=int:256;r2=R4;c3=string@329248;c4=int:0","substr",26
6,685000,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | SCOPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@13;r1=R18;c2=int:512;r2=R12;c3=label@16","substr",4
7,685000,1,1,7,candidate,"GETANDTP_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | LOAD_REG_STRING(r4,c3)","r1=R3;r2=R20;c1=int:256;r3=R6;c2=int:0;r4=R9;c3=string@28856","substr",57
8,685000,1,1,6,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1)","r1=R15;r2=R1;c1=int:0;c2=label@215;r3=R14;r4=R11","substr",171
9,685000,1,1,7,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_REG(r3,r4,r1) | BGE_ID_REG_INT(c2,r3,c3)","r1=R11;r2=R19;c1=int:1;r3=R0;r4=R13;c2=label@128;c3=int:0","substr",113
10,685000,6,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3)","r1=R11;c1=int:1;r2=R8;c2=int:4;r3=R25;c3=int:256","benchmark_base64_roundtrip_noopt",594
