runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,76074000,pass
crexx,shared,compile-load-first-result,assemble,1,6796000,pass
crexx,rxvm,compile-load-first-result,load_first_result,1,5146000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,1,5011000,pass
crexx,shared,compile-load-first-result,compile,2,73639000,pass
crexx,shared,compile-load-first-result,assemble,2,6498000,pass
crexx,rxvm,compile-load-first-result,load_first_result,2,2788000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,2,2591000,pass
crexx,shared,compile-load-first-result,compile,3,73662000,pass
crexx,shared,compile-load-first-result,assemble,3,6513000,pass
crexx,rxvm,compile-load-first-result,load_first_result,3,2682000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,3,2551000,pass
crexx,shared,compile-load-first-result,compile,4,74420000,pass
crexx,shared,compile-load-first-result,assemble,4,6617000,pass
crexx,rxvm,compile-load-first-result,load_first_result,4,2696000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,4,2731000,pass
crexx,shared,compile-load-first-result,compile,5,77012000,pass
crexx,shared,compile-load-first-result,assemble,5,6633000,pass
crexx,rxvm,compile-load-first-result,load_first_result,5,2900000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,5,2765000,pass
crexx,shared,compile-load-first-result,compile,6,73849000,pass
crexx,shared,compile-load-first-result,assemble,6,6571000,pass
crexx,rxvm,compile-load-first-result,load_first_result,6,2675000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,6,2707000,pass
crexx,shared,compile-load-first-result,compile,7,74593000,pass
crexx,shared,compile-load-first-result,assemble,7,6623000,pass
crexx,rxvm,compile-load-first-result,load_first_result,7,2731000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,7,2622000,pass
crexx,shared,compile-load-first-result,compile,8,73669000,pass
crexx,shared,compile-load-first-result,assemble,8,6589000,pass
crexx,rxvm,compile-load-first-result,load_first_result,8,2724000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,8,2660000,pass
crexx,shared,compile-load-first-result,compile,9,74727000,pass
crexx,shared,compile-load-first-result,assemble,9,6588000,pass
crexx,rxvm,compile-load-first-result,load_first_result,9,2724000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,9,2700000,pass
crexx,shared,compile-load-first-result,compile,10,74675000,pass
crexx,shared,compile-load-first-result,assemble,10,6808000,pass
crexx,rxvm,compile-load-first-result,load_first_result,10,2819000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,10,2634000,pass
crexx,shared,compile-load-first-result,compile,11,76343000,pass
crexx,shared,compile-load-first-result,assemble,11,7605000,pass
crexx,rxvm,compile-load-first-result,load_first_result,11,3086000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,11,3116000,pass
crexx,shared,compile-load-first-result,compile,12,76461000,pass
crexx,shared,compile-load-first-result,assemble,12,7039000,pass
crexx,rxvm,compile-load-first-result,load_first_result,12,2873000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,12,2770000,pass
