sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Permute-canonical-permute-rxvm-baseline-warmup-1,timing,Permute-canonical,permute-rxvm-baseline,baseline,rxvm,current-inline-interrupts,B,no,startup-included,warmup,1,1,50,87492000,,0,pass,,
timing-Permute-canonical-permute-rxvm-cow-warmup-1,timing,Permute-canonical,permute-rxvm-cow,cow-poc,rxvm,cow-interrupt-table,B,no,startup-included,warmup,1,2,50,83791000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-baseline-warmup-1,timing,Permute-canonical,permute-rxbvm-baseline,baseline,rxbvm,current-inline-interrupts,B,no,startup-included,warmup,1,3,50,94575000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-cow-warmup-1,timing,Permute-canonical,permute-rxbvm-cow,cow-poc,rxbvm,cow-interrupt-table,B,no,startup-included,warmup,1,4,50,90566000,,0,pass,,
timing-Permute-canonical-permute-rxvm-baseline-recorded-1,timing,Permute-canonical,permute-rxvm-baseline,baseline,rxvm,current-inline-interrupts,B,no,startup-included,recorded,1,1,50,93503000,,0,pass,,
timing-Permute-canonical-permute-rxvm-cow-recorded-1,timing,Permute-canonical,permute-rxvm-cow,cow-poc,rxvm,cow-interrupt-table,B,no,startup-included,recorded,1,2,50,93058000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-baseline-recorded-1,timing,Permute-canonical,permute-rxbvm-baseline,baseline,rxbvm,current-inline-interrupts,B,no,startup-included,recorded,1,3,50,104862000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-cow-recorded-1,timing,Permute-canonical,permute-rxbvm-cow,cow-poc,rxbvm,cow-interrupt-table,B,no,startup-included,recorded,1,4,50,95617000,,0,pass,,
timing-Permute-canonical-permute-rxvm-cow-recorded-2,timing,Permute-canonical,permute-rxvm-cow,cow-poc,rxvm,cow-interrupt-table,B,no,startup-included,recorded,2,1,50,90715000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-baseline-recorded-2,timing,Permute-canonical,permute-rxbvm-baseline,baseline,rxbvm,current-inline-interrupts,B,no,startup-included,recorded,2,2,50,96422000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-cow-recorded-2,timing,Permute-canonical,permute-rxbvm-cow,cow-poc,rxbvm,cow-interrupt-table,B,no,startup-included,recorded,2,3,50,90986000,,0,pass,,
timing-Permute-canonical-permute-rxvm-baseline-recorded-2,timing,Permute-canonical,permute-rxvm-baseline,baseline,rxvm,current-inline-interrupts,B,no,startup-included,recorded,2,4,50,87580000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-baseline-recorded-3,timing,Permute-canonical,permute-rxbvm-baseline,baseline,rxbvm,current-inline-interrupts,B,no,startup-included,recorded,3,1,50,94351000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-cow-recorded-3,timing,Permute-canonical,permute-rxbvm-cow,cow-poc,rxbvm,cow-interrupt-table,B,no,startup-included,recorded,3,2,50,91014000,,0,pass,,
timing-Permute-canonical-permute-rxvm-baseline-recorded-3,timing,Permute-canonical,permute-rxvm-baseline,baseline,rxvm,current-inline-interrupts,B,no,startup-included,recorded,3,3,50,88834000,,0,pass,,
timing-Permute-canonical-permute-rxvm-cow-recorded-3,timing,Permute-canonical,permute-rxvm-cow,cow-poc,rxvm,cow-interrupt-table,B,no,startup-included,recorded,3,4,50,84184000,,0,pass,,
timing-Permute-canonical-permute-rxbvm-cow-recorded-4,timing,Permute-canonical,permute-rxbvm-cow,cow-poc,rxbvm,cow-interrupt-table,B,no,startup-included,recorded,4,1,50,91019000,,0,pass,,
timing-Permute-canonical-permute-rxvm-baseline-recorded-4,timing,Permute-canonical,permute-rxvm-baseline,baseline,rxvm,current-inline-interrupts,B,no,startup-included,recorded,4,2,50,87544000,,0,pass,,
timing-Permute-canonical-permute-rxvm-cow-recorded-4,timing,Permute-canonical,permute-rxvm-cow,cow-poc,rxvm,cow-interrupt-table,B,no,startup-included,recorded,4,3,50,83732000,,0,pass,,
