sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Sieve-work500-sieve500-rxbvm-c1b-warmup-1,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,warmup,1,1,500,140405000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-warmup-1,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,warmup,1,2,500,142823000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-1,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,1,1,500,142696000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-1,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,1,2,500,158642000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-2,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,2,1,500,144170000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-2,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,2,2,500,149372000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-3,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,3,1,500,144229000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-3,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,3,2,500,144559000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-4,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,4,1,500,169343000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-4,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,4,2,500,146263000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-5,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,5,1,500,146465000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-5,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,5,2,500,146188000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-6,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,6,1,500,146497000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-6,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,6,2,500,140819000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-7,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,7,1,500,140351000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-7,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,7,2,500,141187000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-8,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,8,1,500,142356000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-8,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,8,2,500,140958000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-9,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,9,1,500,140015000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-9,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,9,2,500,141778000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-10,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,10,1,500,138824000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-10,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,10,2,500,138379000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-11,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,11,1,500,141955000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-11,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,11,2,500,140608000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-layout-pad-recorded-12,timing,Sieve-work500,sieve500-rxbvm-layout-pad,layout-pad,rxbvm,layout-pad-48,B,no,startup-included,recorded,12,1,500,140470000,,0,pass,,
timing-Sieve-work500-sieve500-rxbvm-c1b-recorded-12,timing,Sieve-work500,sieve500-rxbvm-c1b,c1b,rxbvm,shared-cow-interrupt-policy,B,no,startup-included,recorded,12,2,500,144021000,,0,pass,,
