sample_id,stream,line_number,text
timing-Permute-canonical-permute-rxvm-r0-recorded-1,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r0-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r1-recorded-1,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r1-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r2-recorded-1,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r2-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r0-recorded-1,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r0-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r1-recorded-1,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r1-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r2-recorded-1,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r2-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r1-recorded-2,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r1-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r2-recorded-2,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r2-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r0-recorded-2,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r0-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r1-recorded-2,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r1-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r2-recorded-2,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r2-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r0-recorded-2,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r0-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r2-recorded-3,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r2-recorded-3,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r0-recorded-3,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r0-recorded-3,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r1-recorded-3,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r1-recorded-3,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxbvm-r2-recorded-3,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxbvm-r2-recorded-3,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r0-recorded-3,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
timing-Permute-canonical-permute-rxvm-r0-recorded-3,stdout,2,PASS: AWFY Permute
timing-Permute-canonical-permute-rxvm-r1-recorded-3,stdout,1,benchmark=awfy_permute repetitions=50 result=8660
