cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
permute-rxvm-r0,Permute-canonical,r0,rxvm,accepted-current,B,no,startup-included,50,elapsed_ns,34,78602000.000000,79709500.000000,80154500.000000,80465000.000000,81083000.000000,388500.000000,0.484689,3.095272,no
permute-rxvm-r1,Permute-canonical,r1,rxvm,fixed-core-copy,B,no,startup-included,50,elapsed_ns,34,79165000.000000,79671250.000000,79948500.000000,80156000.000000,82854000.000000,274500.000000,0.343346,4.614220,no
permute-rxvm-r2,Permute-canonical,r2,rxvm,static-guarded-copy,B,no,startup-included,50,elapsed_ns,34,79535000.000000,79976000.000000,80332000.000000,80547250.000000,81348000.000000,353000.000000,0.439426,2.256884,no
permute-rxbvm-r0,Permute-canonical,r0,rxbvm,accepted-current,B,no,startup-included,50,elapsed_ns,34,84887000.000000,85691000.000000,85954500.000000,86426500.000000,88274000.000000,376000.000000,0.437441,3.940457,no
permute-rxbvm-r1,Permute-canonical,r1,rxbvm,fixed-core-copy,B,no,startup-included,50,elapsed_ns,34,83717000.000000,85212000.000000,85675500.000000,86202000.000000,87025000.000000,518500.000000,0.605191,3.861080,no
permute-rxbvm-r2,Permute-canonical,r2,rxbvm,static-guarded-copy,B,no,startup-included,50,elapsed_ns,34,84789000.000000,86389500.000000,86674500.000000,87049500.000000,89921000.000000,367500.000000,0.424000,5.921003,no
list-rxvm-r0,List-canonical,r0,rxvm,accepted-current,B,no,startup-included,100,elapsed_ns,34,76770000.000000,77397250.000000,77618500.000000,78047750.000000,78399000.000000,354500.000000,0.456721,2.098726,no
list-rxvm-r1,List-canonical,r1,rxvm,fixed-core-copy,B,no,startup-included,100,elapsed_ns,34,77186000.000000,77984000.000000,78283000.000000,78629250.000000,80958000.000000,314500.000000,0.401748,4.818415,no
list-rxvm-r2,List-canonical,r2,rxvm,static-guarded-copy,B,no,startup-included,100,elapsed_ns,34,77536000.000000,78119000.000000,78608500.000000,78902750.000000,81447000.000000,387500.000000,0.492949,4.975289,no
list-rxbvm-r0,List-canonical,r0,rxbvm,accepted-current,B,no,startup-included,100,elapsed_ns,34,88627000.000000,89545500.000000,89804500.000000,90073500.000000,91633000.000000,268500.000000,0.298983,3.347271,no
list-rxbvm-r1,List-canonical,r1,rxbvm,fixed-core-copy,B,no,startup-included,100,elapsed_ns,34,89508000.000000,90721000.000000,90831000.000000,91132250.000000,91500000.000000,221500.000000,0.243859,2.193084,no
list-rxbvm-r2,List-canonical,r2,rxbvm,static-guarded-copy,B,no,startup-included,100,elapsed_ns,34,89692000.000000,90298250.000000,90602000.000000,90826250.000000,91905000.000000,276500.000000,0.305181,2.442551,no
base64-rxvm-r0,Base64-canonical,r0,rxvm,accepted-current,B,no,startup-included,500,elapsed_ns,34,281503000.000000,307782000.000000,320540000.000000,332047500.000000,358393000.000000,12452500.000000,3.884851,23.987646,yes
base64-rxvm-r1,Base64-canonical,r1,rxvm,fixed-core-copy,B,no,startup-included,500,elapsed_ns,34,320609000.000000,362998000.000000,375782500.000000,389368750.000000,434256000.000000,13577000.000000,3.612994,30.242760,yes
base64-rxvm-r2,Base64-canonical,r2,rxvm,static-guarded-copy,B,no,startup-included,500,elapsed_ns,34,277240000.000000,303449750.000000,319299500.000000,338827750.000000,375839000.000000,18639000.000000,5.837466,30.879785,yes
base64-rxbvm-r0,Base64-canonical,r0,rxbvm,accepted-current,B,no,startup-included,500,elapsed_ns,34,311635000.000000,341858000.000000,364501000.000000,375745250.000000,409448000.000000,21172000.000000,5.808489,26.834769,yes
base64-rxbvm-r1,Base64-canonical,r1,rxbvm,fixed-core-copy,B,no,startup-included,500,elapsed_ns,34,299909000.000000,325304000.000000,350123000.000000,363840500.000000,404497000.000000,17113000.000000,4.887711,29.871788,yes
base64-rxbvm-r2,Base64-canonical,r2,rxbvm,static-guarded-copy,B,no,startup-included,500,elapsed_ns,34,285309000.000000,292499250.000000,304619500.000000,321432250.000000,358829000.000000,12920000.000000,4.241357,24.135027,yes
sieve-rxvm-r0,Sieve-canonical,r0,rxvm,accepted-current,B,no,startup-included,50,elapsed_ns,34,22841000.000000,22962750.000000,23072500.000000,23250250.000000,28434000.000000,136500.000000,0.591613,24.240980,yes
sieve-rxvm-r1,Sieve-canonical,r1,rxvm,fixed-core-copy,B,no,startup-included,50,elapsed_ns,34,22644000.000000,22846500.000000,22895500.000000,22968750.000000,23520000.000000,62000.000000,0.270796,3.826079,no
sieve-rxvm-r2,Sieve-canonical,r2,rxvm,static-guarded-copy,B,no,startup-included,50,elapsed_ns,34,23191000.000000,23340250.000000,23451000.000000,23596750.000000,24433000.000000,139000.000000,0.592725,5.296149,no
sieve-rxbvm-r0,Sieve-canonical,r0,rxbvm,accepted-current,B,no,startup-included,50,elapsed_ns,34,26134000.000000,26364000.000000,26468000.000000,26620500.000000,27823000.000000,130000.000000,0.491159,6.381291,no
sieve-rxbvm-r1,Sieve-canonical,r1,rxbvm,fixed-core-copy,B,no,startup-included,50,elapsed_ns,34,26572000.000000,26828000.000000,26926500.000000,27092750.000000,29267000.000000,126500.000000,0.469797,10.008727,yes
sieve-rxbvm-r2,Sieve-canonical,r2,rxbvm,static-guarded-copy,B,no,startup-included,50,elapsed_ns,34,26655000.000000,26908250.000000,27058000.000000,27335750.000000,28257000.000000,209500.000000,0.774263,5.920615,no
