cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
permute-rxvm-r0,Permute-canonical,r0,rxvm,accepted-current,B,no,startup-included,50,elapsed_ns,12,87453000.000000,88116250.000000,88351500.000000,88789250.000000,91255000.000000,409500.000000,0.463490,4.303266,no
permute-rxvm-c3,Permute-canonical,c3,rxvm,changed-only-numeric-sync,B,no,startup-included,50,elapsed_ns,12,86703000.000000,87581500.000000,87790000.000000,89114000.000000,90821000.000000,306000.000000,0.348559,4.690739,no
permute-rxbvm-r0,Permute-canonical,r0,rxbvm,accepted-current,B,no,startup-included,50,elapsed_ns,12,93681000.000000,95399000.000000,95936500.000000,96546250.000000,98187000.000000,563500.000000,0.587368,4.696857,no
permute-rxbvm-c3,Permute-canonical,c3,rxbvm,changed-only-numeric-sync,B,no,startup-included,50,elapsed_ns,12,93269000.000000,95275500.000000,95958500.000000,96472750.000000,97681000.000000,551000.000000,0.574207,4.597821,no
list-rxvm-r0,List-canonical,r0,rxvm,accepted-current,B,no,startup-included,100,elapsed_ns,12,85963000.000000,87794250.000000,88762000.000000,89839500.000000,92685000.000000,1169000.000000,1.317005,7.573061,no
list-rxvm-c3,List-canonical,c3,rxvm,changed-only-numeric-sync,B,no,startup-included,100,elapsed_ns,12,85535000.000000,86661250.000000,88030000.000000,88920000.000000,92311000.000000,1352000.000000,1.535840,7.697376,no
list-rxbvm-r0,List-canonical,r0,rxbvm,accepted-current,B,no,startup-included,100,elapsed_ns,12,100290000.000000,101515000.000000,102909500.000000,103285750.000000,106310000.000000,1243500.000000,1.208343,5.849800,no
list-rxbvm-c3,List-canonical,c3,rxbvm,changed-only-numeric-sync,B,no,startup-included,100,elapsed_ns,12,98782000.000000,102562500.000000,103111000.000000,103795250.000000,110808000.000000,751000.000000,0.728341,11.663159,yes
sieve-rxvm-r0,Sieve-canonical,r0,rxvm,accepted-current,B,no,startup-included,50,elapsed_ns,12,25735000.000000,25985750.000000,26199000.000000,26742500.000000,26982000.000000,371000.000000,1.416085,4.759724,no
sieve-rxvm-c3,Sieve-canonical,c3,rxvm,changed-only-numeric-sync,B,no,startup-included,50,elapsed_ns,12,25961000.000000,26221750.000000,26774500.000000,26978250.000000,27783000.000000,272000.000000,1.015892,6.804982,no
sieve-rxbvm-r0,Sieve-canonical,r0,rxbvm,accepted-current,B,no,startup-included,50,elapsed_ns,12,29077000.000000,29677250.000000,29859500.000000,30197250.000000,31738000.000000,347000.000000,1.162109,8.911737,no
sieve-rxbvm-c3,Sieve-canonical,c3,rxbvm,changed-only-numeric-sync,B,no,startup-included,50,elapsed_ns,12,29279000.000000,29981000.000000,30017500.000000,30499000.000000,31806000.000000,117000.000000,0.389773,8.418423,no
