# To display the perf.data header info, please use --header/--header-only options.
#
# symbol: clear_value_contents
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles:u'
# Event count (approx.): 28180016175
#
# Overhead;     Samples;Symbol Offset;IPC   [IPC Coverage]
 0.04%  ; 1          ;[.] clear_value_contents+0x2c4;-      - 
 0.04%  ; 1          ;[.] clear_value_contents+0x2c3;-      - 
 0.30%  ; 7          ;[.] clear_value_contents+0x2b7;-      - 
 0.17%  ; 4          ;[.] clear_value_contents+0x2b3;-      - 
 0.04%  ; 1          ;[.] clear_value_contents+0x2ac;-      - 
 0.53%  ; 13         ;[.] clear_value_contents+0x280;-      - 
 11.95% ; 282        ;[.] clear_value_contents+0x24f;-      - 
 0.22%  ; 5          ;[.] clear_value_contents+0x1e8;-      - 
 0.03%  ; 1          ;[.] clear_value_contents+0x1e0;-      - 
 0.03%  ; 1          ;[.] clear_value_contents+0x1c4;-      - 
 0.33%  ; 8          ;[.] clear_value_contents+0x1c0;-      - 
 0.04%  ; 1          ;[.] clear_value_contents+0x1bb;-      - 
 0.04%  ; 1          ;[.] clear_value_contents+0x1a9;-      - 
 0.65%  ; 16         ;[.] clear_value_contents+0x187;-      - 
 0.09%  ; 2          ;[.] clear_value_contents+0x16e;-      - 
 0.07%  ; 2          ;[.] clear_value_contents+0x16a;-      - 
 0.03%  ; 1          ;[.] clear_value_contents+0x162;-      - 
 0.46%  ; 11         ;[.] clear_value_contents+0x15a;-      - 
 0.01%  ; 1          ;[.] clear_value_contents+0x139;-      - 
 0.14%  ; 3          ;[.] clear_value_contents+0x12e;-      - 
 0.05%  ; 1          ;[.] clear_value_contents+0x124;-      - 
 0.46%  ; 11         ;[.] clear_value_contents+0x108;-      - 
 0.07%  ; 2          ;[.] clear_value_contents+0xe4;-      -  
 0.04%  ; 1          ;[.] clear_value_contents+0xdd;-      -  
 0.09%  ; 2          ;[.] clear_value_contents+0xd8;-      -  
 0.06%  ; 2          ;[.] clear_value_contents+0xd3;-      -  
 0.07%  ; 2          ;[.] clear_value_contents+0xa2;-      -  
 0.07%  ; 2          ;[.] clear_value_contents+0x9b;-      -  
 0.14%  ; 3          ;[.] clear_value_contents+0x5e;-      -  
 0.09%  ; 2          ;[.] clear_value_contents+0x52;-      -  
 0.56%  ; 13         ;[.] clear_value_contents+0x42;-      -  
 0.11%  ; 3          ;[.] clear_value_contents+0x33;-      -  
 0.12%  ; 3          ;[.] clear_value_contents+0xf;-      -   
 0.70%  ; 17         ;[.] clear_value_contents+0x0;-      -   


#
# (Cannot load tips.txt file, please install perf!)
#
