compiler,cell,benchmark,vm,cycles,instructions,ipc,branches,branch_misses,branch_miss_pct,slots,retiring_pct,bad_spec_pct,fe_bound_pct,be_bound_pct,icache_iftag_misses,itlb_walks,indirect_branches,indirect_misses,indirect_miss_pct,retired_l1i_misses,retired_itlb_misses,task_clock_ms,context_switches,cpu_migrations,page_faults,counter_basis
gcc,base64-rxvm,base64,rxvm,19757049972,40554094215,2.052639,6199720416,16307757,0.2630,94141461825,38.0392,6.2745,4.7902,50.9804,22346819,195491,303725124,6339559,2.0873,6311485,138091,6654.38,58,2,3027,raw-fixed-work-command
gcc,bounce-rxvm,bounce,rxvm,12674957407,31025894612,2.447811,4355153326,7940313,0.1823,59816074830,46.3436,8.2353,7.0720,38.4481,13477143,1188773,896455480,991039,0.1106,1597399,222168,5149.26,38,5,3067,raw-fixed-work-command
gcc,permute-rxvm,permute,rxvm,21120381225,55409720648,2.623519,7004837102,19648810,0.2805,100485761710,48.5726,14.1176,2.7433,35.9042,8375214,737071,1277129320,5819948,0.4557,1246164,173432,8056.39,361,14,3000,raw-fixed-work-command
gcc,rexxcps-rxvm,rexxcps,rxvm,2523415134,5855670461,2.320534,1188874167,4251893,0.3576,16576196047.500,45.8992,11.3725,41.9776,2.4767,214159984,50370,126695129,3696312.500,2.9175,33074328,1652952,1481.820,45,1,1569.500,normalized-per-10m-clauses
gcc,richards-rxvm,richards,rxvm,61342518679,108338601908,1.766126,23222767829,134265150,0.5782,298528710070,29.7970,14.5098,7.4510,50.5931,64149854,1015891,186837722,12023088,6.4350,13317936,827525,23196.76,205,12,3183,raw-fixed-work-command
gcc,sieve-rxvm,sieve,rxvm,11972942343,28502926473,2.380612,4002641062,5917749,0.1478,55115648165,45.5443,7.8431,2.0929,45.9907,3283176,30369,751383061,97177,0.0129,809274,100168,5095.39,97,9,3505,raw-fixed-work-command
gcc,towers-rxvm,towers,rxvm,26566120381,55445539849,2.087077,11206036612,56561204,0.5047,129233392785,37.9470,12.9412,12.4373,37.6068,79161098,75125,188935616,16860703,8.9240,15812458,411287,11039.57,85,0,3298,raw-fixed-work-command
gcc,base64-rxbvm,base64,rxbvm,19825652579,41302136098,2.083267,7206336435,16871279,0.2341,96927716850,36.9902,7.0588,5.5130,50.9804,22027284,27047,303726814,6904648,2.2733,7458958,559488,7070.61,73,8,3027,raw-fixed-work-command
gcc,bounce-rxbvm,bounce,rxbvm,12588255769,31691235269,2.517524,5976308929,11101150,0.1858,60853786450,46.6667,7.4510,4.7300,41.1765,8589968,92240,896458887,4101066,0.4575,2284958,241162,5714.78,32,3,3064,raw-fixed-work-command
gcc,permute-rxbvm,permute,rxbvm,22302017904,56182274910,2.519157,9273393224,45041051,0.4857,107862493325,44.5382,18.0392,5.3147,34.1842,10077469,17673437,1277111725,31232189,2.4455,1535137,222233,8812.31,76,1,3000,raw-fixed-work-command
gcc,rexxcps-rxbvm,rexxcps,rxbvm,2580975204,5894633425,2.283878,1241766111,3984837,0.3209,12203027500,43.4353,9.8039,45.1226,2.8577,147644993,62453,126695696.500,2958172.500,2.3349,33619497,3077938,1493.190,29,1.500,1567.500,normalized-per-10m-clauses
gcc,richards-rxbvm,richards,rxbvm,61841452640,108392695529,1.752751,23536226083,136461259,0.5798,299729450095,31.1660,14.5098,8.6490,48.5653,78459292,786456,186831509,16631114,8.9017,13516637,1016601,23766.05,227,9,3182,raw-fixed-work-command
gcc,sieve-rxbvm,sieve,rxbvm,11477527259,28183228074,2.455514,5103305333,5791049,0.1135,54749050330,44.7897,16.0784,3.2382,41.0439,3383914,18911,751384899,138538,0.0184,977535,74424,4419.32,142,3,3505,raw-fixed-work-command
gcc,towers-rxbvm,towers,rxbvm,27279486841,55455717435,2.032872,11302943943,57756437,0.5110,132007510410,36.8302,10.9804,14.0214,39.2711,129916617,474093,188934937,17009280,9.0027,36506453,665419,10827.10,103,6,3294,raw-fixed-work-command
clang,base64-rxvm,base64,rxvm,15853312567,42159267499,2.659335,7697625046,17414424,0.2262,77796901480,42.9609,25.0980,6.0260,33.8423,18690761,93978,303834341,6191302,2.0377,,,,,,,raw-fixed-work-command
clang,bounce-rxvm,bounce,rxvm,10014873298,24863083973,2.482616,5518442553,11068184,0.2006,49301244940,48.2353,8.6275,10.4791,33.3254,4494547,1051103,896573082,4201600,0.4686,,,,,,,raw-fixed-work-command
clang,permute-rxvm,permute,rxvm,18797565311,47889105669,2.547623,9071883001,51977585,0.5730,90567576780,49.4118,15.2941,10.9804,25.2598,5901940,5320137,1277214950,37264903,2.9177,,,,,,,raw-fixed-work-command
clang,rexxcps-rxvm,rexxcps,rxvm,2548966291,5765062437,2.261726,1213938100,4020559,0.3312,17622966565,43.5294,8.2353,46.2745,2.3934,136596625,27333,85111899,2116621,2.4869,,,,,,,normalized-per-10m-clauses
clang,richards-rxvm,richards,rxvm,63133771015,121170148261,1.919260,24937697931,132432877,0.5311,306870160590,35.3241,10.1961,5.2257,50.0733,46002290,755338,186955134,13995723,7.4861,,,,,,,raw-fixed-work-command
clang,sieve-rxvm,sieve,rxvm,10247590138,24440823172,2.385031,5193646356,5901230,0.1136,47639344840,48.7016,7.8431,16.4172,28.4255,2356018,151128,751481038,1567725,0.2086,,,,,,,raw-fixed-work-command
clang,towers-rxvm,towers,rxvm,28308279834,57138671710,2.018444,11625434998,57312784,0.4930,135358811825,34.8386,23.9216,7.9357,36.9682,27735298,159736,189069696,16411561,8.6802,,,,,,,raw-fixed-work-command
clang,base64-rxbvm,base64,rxbvm,16085391607,43307755091,2.692366,7938437206,16066180,0.2024,77302887710,48.9675,16.4706,9.3093,32.8055,10838848,15239,303840473,5119454,1.6849,,,,,,,raw-fixed-work-command
clang,bounce-rxbvm,bounce,rxbvm,9427994875,28868463044,3.061994,6279486696,10715891,0.1706,46138087535,58.0266,8.2353,13.7255,20.4591,5249247,10197,896564966,3862547,0.4308,,,,,,,raw-fixed-work-command
clang,permute-rxbvm,permute,rxbvm,17053326062,52937985772,3.104262,10022157840,21234665,0.2119,83144392230,59.1077,11.3725,9.4118,21.3064,5508835,12138,1277208963,5652941,0.4426,,,,,,,raw-fixed-work-command
clang,rexxcps-rxbvm,rexxcps,rxbvm,3475104501,8706829095,2.505487,1839399767.500,5077533,0.2760,17268233257.500,45.8824,6.2745,46.2745,2.0637,162603593,10434,126756895,2983029.500,2.3533,,,,,,,normalized-per-10m-clauses
clang,richards-rxbvm,richards,rxbvm,63795259299,121954837046,1.911660,25090033579,133079991,0.5304,303007908690,33.6654,24.3137,5.1470,43.8238,46746488,81082,186990174,14119743,7.5511,,,,,,,raw-fixed-work-command
clang,sieve-rxbvm,sieve,rxbvm,10393935425,27951581460,2.689220,5988493732,5925760,0.0990,52014687930,49.8039,5.8824,5.8824,38.4314,2127288,6477,751487863,1473362,0.1961,,,,,,,raw-fixed-work-command
clang,towers-rxbvm,towers,rxbvm,28664346491,57462753198,2.004677,11692339813,58511984,0.5004,137312952450,36.4706,15.6863,8.1314,42.2872,27063335,80289,189074974,17481901,9.2460,,,,,,,raw-fixed-work-command
