rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,2051001,4,3,4,candidate,"ILT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R8;r2=R5;c1=int:1;c2=label@60","benchmark_base64_roundtrip_noopt",41
2,2051001,9,1,3,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1)","r1=R4;c1=int:256;r2=R10","benchmark_base64_roundtrip_noopt",145
3,1710000,9,1,4,candidate,"SWAP_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1)","r1=R10;r2=R2;r3=R11;c1=int:256","benchmark_base64_roundtrip_noopt",606
4,1369000,5,2,4,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R17;r2=R15;c1=int:1;c2=label@413","benchmark_base64_roundtrip_noopt",398
5,1368001,8,1,4,candidate,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R9;c1=int:2;r2=R4;c2=int:256","benchmark_base64_roundtrip_noopt",142
6,1368000,2,2,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4)","c1=int:18;c2=int:1;c3=label@14;r1=R8;c4=int:256","pos",0
7,1027001,8,1,4,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4)","r1=R4;r2=R10;r3=R2;r4=R11","benchmark_base64_roundtrip_noopt",158
8,686003,11,1,4,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R3;c1=int:1024;r2=R1;c2=int:2","benchmark_base64_roundtrip_noopt",263
9,685003,4,2,4,candidate,"INE_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R9;r2=R7;c1=int:1368;c2=label@142","benchmark_base64_roundtrip_noopt",107
10,685000,1,1,5,candidate,"BRF_ID_REG(c1,r1) | IEQ_REG_REG_INT(r2,r3,c2)","c1=label@215;r1=R15;r2=R14;r3=R11;c2=int:0","substr",175
