rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,503900,1,1,9,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r1,c3,c4,r3,r4,c2) | IGETUNLINK_REG_REG(r5,r3)","r1=R11;c1=int:18;c2=int:1;r2=R5;c3=int:2;c4=int:6;r3=R4;r4=R12;r5=R2","benchmark_awfy_permute_noopt",299
2,503900,1,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r5,c1,c2,r6,r7,c3)","r1=R6;r2=R7;r3=R8;r4=R4;r5=R11;c1=int:2;c2=int:6;r6=R9;r7=R13;c3=int:1","benchmark_awfy_permute_noopt",334
3,503900,1,1,12,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r4,c1,c2,r5,r6,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r7,r4,c1,c2,r8,r9,c3)","r1=R2;r2=R4;r3=R5;r4=R11;c1=int:2;c2=int:6;r5=R6;r6=R12;c3=int:1;r7=R8;r8=R7;r9=R13","benchmark_awfy_permute_noopt",313
4,503900,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINKN_REG_REG(r1,r5) | UNLINK_REG(r6)","r1=R8;r2=R11;c1=int:2;c2=int:6;r3=R7;r4=R13;c3=int:1;r5=R6;r6=R4","benchmark_awfy_permute_noopt",326
5,503900,1,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r2,c1,c2,r6,r4,c3)","r1=R5;r2=R11;c1=int:2;c2=int:6;r3=R4;r4=R12;c3=int:1;r5=R2;r6=R6","benchmark_awfy_permute_noopt",305
6,503900,1,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGETUNLINK_REG_REG(r3,r6) | UNLINKN_REG_REG(r5,r3)","r1=R4;r2=R11;c1=int:2;c2=int:6;r3=R6;r4=R12;c3=int:1;r5=R8;r6=R7;r7=R13","benchmark_awfy_permute_noopt",318
7,503900,1,1,9,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","c1=int:18;c2=int:1;r1=R5;r2=R11;c3=int:2;c4=int:6;r3=R4;r4=R12;r5=R2","benchmark_awfy_permute_noopt",301
8,503900,1,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3) | ISETUNLINKN_REG_REG_REG(r6,r8,r4)","r1=R8;r2=R6;r3=R4;r4=R7;r5=R11;c1=int:2;c2=int:6;r6=R9;r7=R13;c3=int:1;r8=R2","benchmark_awfy_permute_noopt",337
9,503900,1,1,9,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | ISETUNLINKN_REG_REG_REG(r4,r6,r2) | RET()","r1=R4;r2=R7;r3=R11;c1=int:2;c2=int:6;r4=R9;r5=R13;c3=int:1;r6=R2","benchmark_awfy_permute_noopt",340
10,503900,1,1,11,candidate,"UNLINK_REG(r1) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r6,r3,c1,c2,r7,r8,c3) | IGETUNLINK_REG_REG(r4,r7)","r1=R5;r2=R4;r3=R11;c1=int:2;c2=int:6;r4=R6;r5=R12;c3=int:1;r6=R8;r7=R7;r8=R13","benchmark_awfy_permute_noopt",316
