rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,503900,4,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINKN_REG_REG(r1,r5) | UNLINK_REG(r6)","r1=R17;r2=R5;c1=int:2;c2=int:6;r3=R16;r4=R12;c3=int:1;r5=R15;r6=R14","benchmark_awfy_permute_opt",162
2,503900,4,1,11,candidate,"UNLINKN_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r4,r5,c1,c2,r6,r7,c3) | ISETUNLINKN_REG_REG_REG(r6,r8,r4)","r1=R17;r2=R15;r3=R14;r4=R16;r5=R5;c1=int:2;c2=int:6;r6=R18;r7=R12;c3=int:1;r8=R13","benchmark_awfy_permute_opt",173
3,503300,2,1,10,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r2,c1,c2,r6,r7,c3) | IGETUNLINK_REG_REG(r3,r6) | UNLINKN_REG_REG(r5,r3)","r1=R10;r2=R22;c1=int:2;c2=int:6;r3=R12;r4=R3;c3=int:1;r5=R14;r6=R13;r7=R7","benchmark_awfy_permute_opt",601
4,433000,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R7;r2=R5;c1=int:1;r3=R10","benchmark_awfy_permute_opt",94
5,432950,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c2) | IADD_REG_REG_INT(r3,r2,c2)","r1=R22;c1=int:18;c2=int:1;r2=R3;r3=R4","benchmark_awfy_permute_opt",533
6,432950,1,1,6,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c1,r1) | INE_REG_REG_INT(r1,r4,c2)","r1=R4;r2=R3;c1=int:1;r3=R22;r4=R23;c2=int:0","benchmark_awfy_permute_opt",543
7,432950,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | IADD_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","c1=int:18;c2=int:1;r1=R3;r2=R22;r3=R4","benchmark_awfy_permute_opt",535
8,432950,1,1,7,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | INE_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;r2=R22;c1=int:1;r3=R4;r4=R23;c2=int:0;c3=label@700","benchmark_awfy_permute_opt",547
9,251950,2,1,10,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r5,c1,c2,r6,r7,c3)","r1=R15;r2=R16;r3=R17;r4=R14;r5=R5;c1=int:2;c2=int:6;r6=R18;r7=R12;c3=int:1","benchmark_awfy_permute_opt",170
10,251950,2,1,11,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINKN_REG_REG(r3,r1) | UNLINK_REG(r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r6,c1,c2,r7,r8,c3)","r1=R18;r2=R16;r3=R20;r4=R17;r5=R22;r6=R5;c1=int:2;c2=int:6;r7=R21;r8=R12;c3=int:1","benchmark_awfy_permute_opt",236
