rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1056000,14,2,4,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4)","r1=R61;r2=R13;r3=R62;r4=R6","benchmark_rexxcps_levelb_opt",848
2,730800,6,1,3,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1)","r1=R51;r2=R67;c1=string@34184","benchmark_rexxcps_levelb_opt",488
3,643800,5,1,2,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1)","r1=R71;r2=R25","benchmark_rexxcps_levelb_opt",560
4,481400,4,1,2,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1)","r1=R72;r2=R65","benchmark_rexxcps_levelb_opt",546
5,481400,4,1,3,candidate,"STEMGET_REG_REG_REG(r1,r2,r3) | SCOPY_REG_REG(r3,r1)","r1=R65;r2=R4;r3=R72","benchmark_rexxcps_levelb_opt",542
6,406000,3,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1)","r1=R68;c1=string@34184;r2=R51;r3=R65;r4=R4","benchmark_rexxcps_levelb_opt",503
7,406000,5,1,5,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52","benchmark_rexxcps_levelb_opt",891
8,406000,5,1,5,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1)","r1=R47;r2=R60;r3=R11;r4=R5;r5=R42","benchmark_rexxcps_levelb_opt",888
9,332848,24,3,4,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R38;r2=R35;c1=string@23592;c2=label@400","benchmark_rexxcps_levelb_opt",390
10,331203,22,3,4,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1)","r1=R62;r2=R6;r3=R90;c1=string@50432","benchmark_rexxcps_levelb_opt",851
