rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,329389,17,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R10;r2=R5;c1=int:0;c2=label@219","benchmark_awfy_richards_opt",180
2,290777,4,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R6;r2=R3;c1=int:19;c2=int:6;r3=R8;r4=R56;c3=int:1;c4=label@3025","benchmark_awfy_richards_opt",3004
3,219120,27,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0","benchmark_awfy_richards_opt",2049
4,211545,20,1,3,candidate,"ICOPY_REG_REG(r1,r2) | BR_ID(c1)","r1=R1;r2=R14;c1=label@2614","benchmark_awfy_richards_opt",2609
5,189834,7,1,4,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3)","r1=R7;r2=R5;c1=label@2675;r3=R11","benchmark_awfy_richards_opt",2667
6,178682,17,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1)","r1=R1;r2=R47;c1=int:22;r3=R4","benchmark_awfy_richards_opt",353
7,172394,5,1,4,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3)","c1=label@3370;r1=R11;r2=R15;r3=R55","benchmark_awfy_richards_opt",3181
8,165076,5,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3)","r1=R5;r2=R7;c1=int:0;r3=R12","benchmark_awfy_richards_opt",2814
9,163470,14,1,4,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R10;r2=R47;c1=int:9;r3=R11","benchmark_awfy_richards_opt",458
10,153096,3,1,4,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1)","r1=R6;r2=R23;r3=R8;c1=int:15","benchmark_awfy_richards_opt",2687
11,146395,10,1,3,candidate,"IGETUNLINK_REG_REG(r1,r2) | UNLINK_REG(r3)","r1=R0;r2=R7;r3=R6","benchmark_awfy_richards_opt",2084
12,129850,2,1,3,candidate,"IGETUNLINK_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r1)","r1=R1;r2=R7;r3=R8","benchmark_awfy_richards_opt",2800
13,128242,6,1,3,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2)","r1=R43;c1=label@1730;r2=R42","benchmark_awfy_richards_opt",1723
14,126038,7,1,4,candidate,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2)","c1=label@2976;r1=R7;r2=R8;c2=int:0","benchmark_awfy_richards_opt",2965
15,119157,8,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2)","r1=R47;c1=int:18;c2=int:1","benchmark_awfy_richards_opt",336
16,112514,5,1,3,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1)","r1=R8;c1=int:0;r2=R7","benchmark_awfy_richards_opt",2968
17,106954,3,1,3,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1)","r1=R5;r2=R10;c1=int:0","benchmark_awfy_richards_opt",178
18,106953,2,1,7,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BTOI_REG(r3)","r1=R5;r2=R3;c1=int:23;c2=int:6;r3=R4;r4=R56;c3=int:1","benchmark_awfy_richards_opt",2948
19,106605,1,1,3,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R1;r2=R2;c1=int:0","benchmark_awfy_richards_opt",6621
20,106605,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2)","r1=R2;r2=R14;c1=int:2;r3=R1;c2=int:0","benchmark_awfy_richards_opt",6617
21,106604,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r1,c3)","r1=R4;r2=R3;r3=R6;r4=R5;c1=int:19;c2=int:6;r5=R2;c3=int:1","benchmark_awfy_richards_opt",6640
22,101046,2,1,8,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3)","r1=R7;r2=R8;r3=R12;c1=int:24;c2=int:6;r4=R10;r5=R13;c3=int:1","benchmark_awfy_richards_opt",1792
23,99035,7,1,5,candidate,"SETTP_REG_INT(r1,c1) | CALL2_REG_FUNC_REG_REG(r2,c2,r1,r3)","r1=R15;c1=int:256;r2=R13;c2=func@94248;r3=R19","benchmark_awfy_richards_opt",3315
24,97858,10,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | IGETUNLINK_REG_REG(r4,r1)","r1=R7;r2=R6;r3=R11;c1=int:0;r4=R0","benchmark_awfy_richards_opt",2079
25,92719,58,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2)","r1=R4;r2=R47;c1=int:17;r3=R11;c2=int:9","benchmark_awfy_richards_opt",464
26,92655,10,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3)","r1=R4;r2=R13;c1=int:2;r3=R8;r4=R9;c2=int:6;c3=int:1","benchmark_awfy_richards_opt",2648
27,92655,10,1,5,candidate,"SETLINKATTR1_REG_REG_INT_REG_INT(r1,r2,c1,r3,c2) | UNLINK_REG(r3)","r1=R8;r2=R9;c1=int:6;r3=R4;c2=int:1","benchmark_awfy_richards_opt",2652
28,89036,14,1,4,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)","r1=R23;r2=R11;r3=R21;r4=R9","benchmark_awfy_richards_opt",2881
29,83075,4,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3)","r1=R4;r2=R55;c1=int:20;c2=int:6;r3=R6;r4=R56;c3=int:1;r5=R1","benchmark_awfy_richards_opt",3041
30,80553,7,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | ILOADSETUNLINKN_REG_REG_INT_REG(r5,r3,c4,r1)","r1=R6;r2=R13;c1=int:19;c2=int:6;r3=R5;r4=R1;c3=int:1;r5=R4;c4=int:0","benchmark_awfy_richards_opt",2623
31,79020,2,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1)","r1=R28;r2=R56;c1=int:2;c2=label@3660","benchmark_awfy_richards_opt",3649
32,69125,4,1,4,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1)","r1=R43;r2=R45;r3=R25;c1=int:0","benchmark_awfy_richards_opt",3769
33,68115,2,1,4,candidate,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R9;r2=R44;r3=R34;c1=int:14","benchmark_awfy_richards_opt",4089
34,66954,2,1,4,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | BR_ID(c2)","r1=R22;c1=int:27;r2=R9;c2=label@3455","benchmark_awfy_richards_opt",3442
35,65791,2,1,3,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2)","r1=R14;c1=int:2;r2=R2","benchmark_awfy_richards_opt",6611
36,65791,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1)","r1=R2;r2=R14;c1=int:22;c2=int:2","benchmark_awfy_richards_opt",6607
