entry,name,count,bytes,max_bytes,high_water,status
sieve-noopt,frame_blocks,2,6784,3656,0,complete
sieve-noopt,standalone_values,39,9672,248,0,complete
sieve-noopt,attribute_value_blocks,3,2035584,2031616,0,complete
sieve-noopt,attribute_pointer_storage,9,131520,65536,0,complete
sieve-noopt,string_buffers,3,192,64,0,complete
sieve-noopt,binary_buffers,0,0,0,0,complete
sieve-noopt,value_slots,8269,2050712,2031616,0,complete
sieve-noopt,frame_activations,51,0,0,2,complete
sieve-noopt,frame_reuses,49,0,0,0,complete
sieve-opt,frame_blocks,1,4976,4976,0,complete
sieve-opt,standalone_values,39,9672,248,0,complete
sieve-opt,attribute_value_blocks,3,2035584,2031616,0,complete
sieve-opt,attribute_pointer_storage,9,131520,65536,0,complete
sieve-opt,string_buffers,2,128,64,0,complete
sieve-opt,binary_buffers,0,0,0,0,complete
sieve-opt,value_slots,8264,2049472,2031616,0,complete
sieve-opt,frame_activations,1,0,0,1,complete
sieve-opt,frame_reuses,0,0,0,0,complete
permute-noopt,frame_blocks,11,51040,5768,0,complete
permute-noopt,standalone_values,39,9672,248,0,complete
permute-noopt,attribute_value_blocks,102,202368,1984,0,complete
permute-noopt,attribute_pointer_storage,306,19584,64,0,complete
permute-noopt,string_buffers,3,192,64,0,complete
permute-noopt,binary_buffers,0,0,0,0,complete
permute-noopt,value_slots,1028,254944,4960,0,complete
permute-noopt,frame_activations,937001,0,0,9,complete
permute-noopt,frame_reuses,936990,0,0,0,complete
permute-opt,frame_blocks,7,44864,7088,0,complete
permute-opt,standalone_values,39,9672,248,0,complete
permute-opt,attribute_value_blocks,5,9920,1984,0,complete
permute-opt,attribute_pointer_storage,15,960,64,0,complete
permute-opt,string_buffers,2,128,64,0,complete
permute-opt,binary_buffers,0,0,0,0,complete
permute-opt,value_slots,236,58528,6200,0,complete
permute-opt,frame_activations,432951,0,0,7,complete
permute-opt,frame_reuses,432944,0,0,0,complete
mandelbrot-noopt,frame_blocks,2,9688,6560,0,complete
mandelbrot-noopt,standalone_values,39,9672,248,0,complete
mandelbrot-noopt,attribute_value_blocks,2,3968,1984,0,complete
mandelbrot-noopt,attribute_pointer_storage,6,384,64,0,complete
mandelbrot-noopt,string_buffers,3,192,64,0,complete
mandelbrot-noopt,binary_buffers,0,0,0,0,complete
mandelbrot-noopt,value_slots,88,21824,5704,0,complete
mandelbrot-noopt,frame_activations,2,0,0,2,complete
mandelbrot-noopt,frame_reuses,0,0,0,0,complete
mandelbrot-opt,frame_blocks,1,7352,7352,0,complete
mandelbrot-opt,standalone_values,39,9672,248,0,complete
mandelbrot-opt,attribute_value_blocks,1,1984,1984,0,complete
mandelbrot-opt,attribute_pointer_storage,3,192,64,0,complete
mandelbrot-opt,string_buffers,2,128,64,0,complete
mandelbrot-opt,binary_buffers,0,0,0,0,complete
mandelbrot-opt,value_slots,73,18104,6448,0,complete
mandelbrot-opt,frame_activations,1,0,0,1,complete
mandelbrot-opt,frame_reuses,0,0,0,0,complete
towers-noopt,frame_blocks,25,95888,4976,0,complete
towers-noopt,standalone_values,39,9672,248,0,complete
towers-noopt,attribute_value_blocks,1659185,3291823040,1984,0,complete
towers-noopt,attribute_pointer_storage,4977555,318563520,64,0,complete
towers-noopt,string_buffers,3,192,64,0,complete
towers-noopt,binary_buffers,0,0,0,0,complete
towers-noopt,value_slots,13273836,3291911328,4216,0,complete
towers-noopt,frame_activations,737611,0,0,18,complete
towers-noopt,frame_reuses,737586,0,0,0,complete
towers-opt,frame_blocks,14,130120,9728,0,complete
towers-opt,standalone_values,39,9672,248,0,complete
towers-opt,attribute_value_blocks,1409607,2796660288,1984,0,complete
towers-opt,attribute_pointer_storage,4228821,270644544,64,0,complete
towers-opt,string_buffers,2,128,64,0,complete
towers-opt,binary_buffers,0,0,0,0,complete
towers-opt,value_slots,11277362,2796785776,8680,0,complete
towers-opt,frame_activations,163951,0,0,14,complete
towers-opt,frame_reuses,163937,0,0,0,complete
bounce-noopt,frame_blocks,8,20008,4712,0,complete
bounce-noopt,standalone_values,39,9672,248,0,complete
bounce-noopt,attribute_value_blocks,20107,39914112,15872,0,complete
bounce-noopt,attribute_pointer_storage,60317,3863616,1024,0,complete
bounce-noopt,string_buffers,3,192,64,0,complete
bounce-noopt,binary_buffers,0,0,0,0,complete
bounce-noopt,value_slots,161044,39938912,15872,0,complete
bounce-noopt,frame_activations,692901,0,0,4,complete
bounce-noopt,frame_reuses,692893,0,0,0,complete
bounce-opt,frame_blocks,3,13608,6032,0,complete
bounce-opt,standalone_values,39,9672,248,0,complete
bounce-opt,attribute_value_blocks,20009,39719680,15872,0,complete
bounce-opt,attribute_pointer_storage,60023,3844800,1024,0,complete
bounce-opt,string_buffers,2,128,64,0,complete
bounce-opt,binary_buffers,0,0,0,0,complete
bounce-opt,value_slots,160245,39740760,15872,0,complete
bounce-opt,frame_activations,10101,0,0,3,complete
bounce-opt,frame_reuses,10098,0,0,0,complete
storage-noopt,frame_blocks,17,56344,4712,0,complete
storage-noopt,standalone_values,39,9672,248,0,complete
storage-noopt,attribute_value_blocks,3705693,7530079552,3968,0,complete
storage-noopt,attribute_pointer_storage,11115227,723094464,128,0,complete
storage-noopt,string_buffers,3,192,64,0,complete
storage-noopt,binary_buffers,0,0,0,0,complete
storage-noopt,value_slots,30363445,7530134360,3968,0,complete
storage-noopt,frame_activations,341341,0,0,11,complete
storage-noopt,frame_reuses,341324,0,0,0,complete
storage-opt,frame_blocks,10,55568,6560,0,complete
storage-opt,standalone_values,39,9672,248,0,complete
storage-opt,attribute_value_blocks,2766970,5602581888,3968,0,complete
storage-opt,attribute_pointer_storage,8300245,538585536,128,0,complete
storage-opt,string_buffers,2,128,64,0,complete
storage-opt,binary_buffers,0,0,0,0,complete
storage-opt,value_slots,22591287,5602639176,5704,0,complete
storage-opt,frame_activations,191131,0,0,10,complete
storage-opt,frame_reuses,191121,0,0,0,complete
list-noopt,frame_blocks,48,245448,8672,0,complete
list-noopt,standalone_values,39,9672,248,0,complete
list-noopt,attribute_value_blocks,6602,13296768,3968,0,complete
list-noopt,attribute_pointer_storage,19606,1305984,256,0,complete
list-noopt,string_buffers,3,192,64,0,complete
list-noopt,binary_buffers,0,0,0,0,complete
list-noopt,value_slots,54496,13515008,7688,0,complete
list-noopt,frame_activations,4396101,0,0,19,complete
list-noopt,frame_reuses,4396053,0,0,0,complete
list-opt,frame_blocks,44,254848,9728,0,complete
list-opt,standalone_values,39,9672,248,0,complete
list-opt,attribute_value_blocks,6207,12316672,3968,0,complete
list-opt,attribute_pointer_storage,18619,1192128,256,0,complete
list-opt,string_buffers,2,128,64,0,complete
list-opt,binary_buffers,0,0,0,0,complete
list-opt,value_slots,50587,12545576,8680,0,complete
list-opt,frame_activations,572501,0,0,19,complete
list-opt,frame_reuses,572457,0,0,0,complete
richards-noopt,frame_blocks,24,81408,8144,0,complete
richards-noopt,standalone_values,39,9672,248,0,complete
richards-noopt,attribute_value_blocks,20,45632,7936,0,complete
richards-noopt,attribute_pointer_storage,60,4224,256,0,complete
richards-noopt,string_buffers,5,384,128,0,complete
richards-noopt,binary_buffers,0,0,0,0,complete
richards-noopt,value_slots,487,120776,7936,0,complete
richards-noopt,frame_activations,469639,0,0,8,complete
richards-noopt,frame_reuses,469615,0,0,0,complete
richards-opt,frame_blocks,9,56136,15008,0,complete
richards-opt,standalone_values,39,9672,248,0,complete
richards-opt,attribute_value_blocks,41346,82095936,7936,0,complete
richards-opt,attribute_pointer_storage,124038,7942656,256,0,complete
richards-opt,string_buffers,4,320,128,0,complete
richards-opt,binary_buffers,0,0,0,0,complete
richards-opt,value_slots,331267,82154216,13640,0,complete
richards-opt,frame_activations,119158,0,0,6,complete
richards-opt,frame_reuses,119149,0,0,0,complete
json-noopt,frame_blocks,12,260616,26096,0,complete
json-noopt,standalone_values,39,9672,248,0,complete
json-noopt,attribute_value_blocks,22,43648,1984,0,complete
json-noopt,attribute_pointer_storage,66,4224,64,0,complete
json-noopt,string_buffers,15072,15426240,1024,0,complete
json-noopt,binary_buffers,25072,15740832,1024,0,complete
json-noopt,value_slots,1180,292640,24056,0,complete
json-noopt,frame_activations,745001,0,0,11,complete
json-noopt,frame_reuses,744989,0,0,0,complete
json-opt,frame_blocks,12,260088,26096,0,complete
json-opt,standalone_values,39,9672,248,0,complete
json-opt,attribute_value_blocks,22,43648,1984,0,complete
json-opt,attribute_pointer_storage,66,4224,64,0,complete
json-opt,string_buffers,15063,15422592,1024,0,complete
json-opt,binary_buffers,25072,15740832,1024,0,complete
json-opt,value_slots,1178,292144,24056,0,complete
json-opt,frame_activations,745001,0,0,11,complete
json-opt,frame_reuses,744989,0,0,0,complete
