cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxvm,Sieve,crexx,rxvm,equivalent-port,A,yes,no,5500,max_rss_bytes,3,6094848.000000,6100992.000000,6107136.000000,6115328.000000,6123520.000000,12288.000000,0.201207,0.469484,no
sieve-rxbvm,Sieve,crexx,rxbvm,equivalent-port,A,yes,no,5500,max_rss_bytes,3,6094848.000000,6094848.000000,6094848.000000,6100992.000000,6107136.000000,0.000000,0.000000,0.201613,no
sieve-oorexx,Sieve,oorexx,oorexx,equivalent-port,A,yes,no,5500,max_rss_bytes,3,6094848.000000,6094848.000000,6094848.000000,6094848.000000,6094848.000000,0.000000,0.000000,0.000000,no
sieve-netrexx,Sieve,netrexx,netrexx,decimal-rexx-port,A,yes,no,5500,max_rss_bytes,3,6094848.000000,6094848.000000,6094848.000000,6107136.000000,6119424.000000,0.000000,0.000000,0.403226,no
permute-rxvm,Permute,crexx,rxvm,equivalent-port,A,yes,no,5000,max_rss_bytes,3,6094848.000000,6094848.000000,6094848.000000,6094848.000000,6094848.000000,0.000000,0.000000,0.000000,no
permute-rxbvm,Permute,crexx,rxbvm,equivalent-port,A,yes,no,5000,max_rss_bytes,3,6094848.000000,6100992.000000,6107136.000000,6107136.000000,6107136.000000,0.000000,0.000000,0.201207,no
permute-oorexx,Permute,oorexx,oorexx,equivalent-port,A,yes,no,5000,max_rss_bytes,3,6078464.000000,6078464.000000,6078464.000000,6078464.000000,6078464.000000,0.000000,0.000000,0.000000,no
permute-netrexx,Permute,netrexx,netrexx,decimal-rexx-port,A,yes,no,5000,max_rss_bytes,3,6094848.000000,6096896.000000,6098944.000000,6109184.000000,6119424.000000,4096.000000,0.067159,0.402955,no
bounce-rxvm,Bounce,crexx,rxvm,equivalent-port,A,yes,no,4200,max_rss_bytes,3,6094848.000000,6096896.000000,6098944.000000,6103040.000000,6107136.000000,4096.000000,0.067159,0.201478,no
bounce-rxbvm,Bounce,crexx,rxbvm,equivalent-port,A,yes,no,4200,max_rss_bytes,3,6107136.000000,6107136.000000,6107136.000000,6107136.000000,6107136.000000,0.000000,0.000000,0.000000,no
bounce-oorexx,Bounce,oorexx,oorexx,equivalent-port,A,yes,no,4200,max_rss_bytes,3,6094848.000000,6103040.000000,6111232.000000,6111232.000000,6111232.000000,0.000000,0.000000,0.268097,no
bounce-netrexx,Bounce,netrexx,netrexx,decimal-rexx-port,A,yes,no,4200,max_rss_bytes,3,6107136.000000,6109184.000000,6111232.000000,6113280.000000,6115328.000000,4096.000000,0.067024,0.134048,no
richards-rxvm,Richards,crexx,rxvm,common-state-machine,A,yes,no,20,max_rss_bytes,3,6094848.000000,6096896.000000,6098944.000000,6105088.000000,6111232.000000,4096.000000,0.067159,0.268637,no
