cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxvm,Sieve,crexx,rxvm,equivalent-port,A,yes,no,5500,max_rss_bytes,3,14376960.000000,14379008.000000,14381056.000000,14383104.000000,14385152.000000,4096.000000,0.028482,0.056964,no
sieve-rxbvm,Sieve,crexx,rxbvm,equivalent-port,A,yes,no,5500,max_rss_bytes,3,14372864.000000,14372864.000000,14372864.000000,14374912.000000,14376960.000000,0.000000,0.000000,0.028498,no
sieve-oorexx,Sieve,oorexx,oorexx,equivalent-port,A,yes,no,5500,max_rss_bytes,3,24424448.000000,24426496.000000,24428544.000000,24762368.000000,25096192.000000,4096.000000,0.016767,2.749832,no
sieve-netrexx,Sieve,netrexx,netrexx,decimal-rexx-port,A,yes,no,5500,max_rss_bytes,3,528953344.000000,529010688.000000,529068032.000000,529182720.000000,529297408.000000,114688.000000,0.021677,0.065032,no
permute-rxvm,Permute,crexx,rxvm,equivalent-port,A,yes,no,5000,max_rss_bytes,3,14397440.000000,14399488.000000,14401536.000000,14401536.000000,14401536.000000,0.000000,0.000000,0.028441,no
permute-rxbvm,Permute,crexx,rxbvm,equivalent-port,A,yes,no,5000,max_rss_bytes,3,14393344.000000,14395392.000000,14397440.000000,14405632.000000,14413824.000000,4096.000000,0.028450,0.142248,no
permute-oorexx,Permute,oorexx,oorexx,equivalent-port,A,yes,no,5000,max_rss_bytes,3,24403968.000000,24410112.000000,24416256.000000,24418304.000000,24420352.000000,4096.000000,0.016776,0.067103,no
permute-netrexx,Permute,netrexx,netrexx,decimal-rexx-port,A,yes,no,5000,max_rss_bytes,3,210759680.000000,211036160.000000,211312640.000000,231753728.000000,252194816.000000,552960.000000,0.261679,19.608451,yes
bounce-rxvm,Bounce,crexx,rxvm,equivalent-port,A,yes,no,4200,max_rss_bytes,3,14426112.000000,14428160.000000,14430208.000000,14434304.000000,14438400.000000,4096.000000,0.028385,0.085155,no
bounce-rxbvm,Bounce,crexx,rxbvm,equivalent-port,A,yes,no,4200,max_rss_bytes,3,14422016.000000,14422016.000000,14422016.000000,14428160.000000,14434304.000000,0.000000,0.000000,0.085203,no
bounce-oorexx,Bounce,oorexx,oorexx,equivalent-port,A,yes,no,4200,max_rss_bytes,3,24420352.000000,24422400.000000,24424448.000000,24438784.000000,24453120.000000,4096.000000,0.016770,0.134161,no
bounce-netrexx,Bounce,netrexx,netrexx,decimal-rexx-port,A,yes,no,4200,max_rss_bytes,3,199729152.000000,199860224.000000,199991296.000000,218712064.000000,237432832.000000,262144.000000,0.131078,18.852660,yes
richards-rxvm,Richards,crexx,rxvm,common-state-machine,A,yes,no,20,max_rss_bytes,3,14671872.000000,14673920.000000,14675968.000000,14678016.000000,14680064.000000,4096.000000,0.027910,0.055819,no
richards-rxbvm,Richards,crexx,rxbvm,common-state-machine,A,yes,no,20,max_rss_bytes,3,14663680.000000,14663680.000000,14663680.000000,14667776.000000,14671872.000000,0.000000,0.000000,0.055866,no
richards-oorexx,Richards,oorexx,oorexx,common-state-machine,A,yes,no,20,max_rss_bytes,3,24461312.000000,24479744.000000,24498176.000000,24604672.000000,24711168.000000,36864.000000,0.150477,1.019896,no
richards-netrexx,Richards,netrexx,netrexx,decimal-rexx-port,A,yes,no,20,max_rss_bytes,3,234758144.000000,235972608.000000,237187072.000000,238456832.000000,239726592.000000,2428928.000000,1.024056,2.094738,no
base64-rxvm,Base64,crexx,rxvm,equivalent-port,A,yes,no,2500,max_rss_bytes,3,14487552.000000,14493696.000000,14499840.000000,14501888.000000,14503936.000000,4096.000000,0.028249,0.112994,no
base64-rxbvm,Base64,crexx,rxbvm,equivalent-port,A,yes,no,2500,max_rss_bytes,3,14491648.000000,14493696.000000,14495744.000000,14495744.000000,14495744.000000,0.000000,0.000000,0.028257,no
base64-oorexx,Base64,oorexx,oorexx,equivalent-port,A,yes,no,2500,max_rss_bytes,3,24416256.000000,24416256.000000,24416256.000000,24420352.000000,24424448.000000,0.000000,0.000000,0.033551,no
base64-netrexx,Base64,netrexx,netrexx,decimal-rexx-port,A,yes,no,2500,max_rss_bytes,3,176992256.000000,194263040.000000,211533824.000000,211937280.000000,212340736.000000,806912.000000,0.381458,16.710557,yes
towers-rxvm,Towers,crexx,rxvm,equivalent-object-port,A,no,no,100,max_rss_bytes,3,14462976.000000,14462976.000000,14462976.000000,14465024.000000,14467072.000000,0.000000,0.000000,0.028321,no
towers-rxbvm,Towers,crexx,rxbvm,equivalent-object-port,A,no,no,100,max_rss_bytes,3,14450688.000000,14452736.000000,14454784.000000,14456832.000000,14458880.000000,4096.000000,0.028337,0.056673,no
towers-oorexx,Towers,oorexx,oorexx,equivalent-object-port,A,no,no,100,max_rss_bytes,3,24416256.000000,24418304.000000,24420352.000000,24422400.000000,24424448.000000,4096.000000,0.016773,0.033546,no
towers-netrexx,Towers,netrexx,netrexx,binary-object-jvm-control,A,no,no,100,max_rss_bytes,3,43094016.000000,43141120.000000,43188224.000000,43202560.000000,43216896.000000,28672.000000,0.066388,0.284522,no
rexxcps-rxvm,RexxCPS,crexx,rxvm,disclosed-2.2d,A,no,no,1000-clauses,max_rss_bytes,3,14618624.000000,14618624.000000,14618624.000000,14620672.000000,14622720.000000,0.000000,0.000000,0.028019,no
rexxcps-rxbvm,RexxCPS,crexx,rxbvm,disclosed-2.2d,A,no,no,1000-clauses,max_rss_bytes,3,14614528.000000,14614528.000000,14614528.000000,14618624.000000,14622720.000000,0.000000,0.000000,0.056054,no
rexxcps-oorexx,RexxCPS,oorexx,oorexx,canonical-2.2,A,no,no,1000-clauses,max_rss_bytes,3,24473600.000000,24479744.000000,24485888.000000,24489984.000000,24494080.000000,8192.000000,0.033456,0.083640,no
rexxcps-regina,RexxCPS,regina,regina,canonical-2.2,A,no,no,1000-clauses,max_rss_bytes,3,6234112.000000,6238208.000000,6242304.000000,6303744.000000,6365184.000000,8192.000000,0.131234,2.099738,no
rexxcps-netrexx,RexxCPS,netrexx,netrexx,disclosed-2.2n,A,no,no,1000-clauses,max_rss_bytes,3,266776576.000000,275019776.000000,283262976.000000,338757632.000000,394252288.000000,16486400.000000,5.820175,45.002603,yes
