sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-RexxCPS-rexxcps-netrexx-exact-class-warmup-1,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,warmup,1,1,1000-clauses,1974569000,,0,pass,19663963,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-warmup-2,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,warmup,2,1,1000-clauses,1971646000,,0,pass,19525633,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-1,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,1,1,1000-clauses,2002480000,,0,pass,19465612,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-2,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,2,1,1000-clauses,1987324000,,0,pass,19265538,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-3,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,3,1,1000-clauses,1985739000,,0,pass,19301999,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-4,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,4,1,1000-clauses,2154096000,,0,pass,16898610,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-5,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,5,1,1000-clauses,2202998000,,0,pass,19159773,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-6,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,6,1,1000-clauses,1990713000,,0,pass,19134158,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-7,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,7,1,1000-clauses,2000039000,,0,pass,19235630,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-8,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,8,1,1000-clauses,2010785000,,0,pass,19311040,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-9,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,9,1,1000-clauses,2122455000,,0,pass,17383711,NetRexx clauses per second
timing-RexxCPS-rexxcps-netrexx-exact-class-recorded-10,timing,RexxCPS,rexxcps-netrexx-exact-class,netrexx-exact-class,netrexx-exact-class,disclosed-2.2n-javac8-exact,A,no,no,recorded,10,1,1000-clauses,2040399000,,0,pass,18756425,NetRexx clauses per second
