sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Sieve-sieve-gcc-rxvm-recorded-1,timing,Sieve,sieve-gcc-rxvm,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,1,5500,2306819000,,0,pass,,
timing-Sieve-sieve-gcc-rxbvm-recorded-1,timing,Sieve,sieve-gcc-rxbvm,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,2,5500,2819223000,,0,pass,,
timing-Sieve-sieve-clang-rxvm-recorded-1,timing,Sieve,sieve-clang-rxvm,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,recorded,1,3,5500,2367956000,,0,pass,,
timing-Sieve-sieve-clang-rxbvm-recorded-1,timing,Sieve,sieve-clang-rxbvm,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,recorded,1,4,5500,2443780000,,0,pass,,
timing-Permute-permute-gcc-rxvm-recorded-1,timing,Permute,permute-gcc-rxvm,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,1,5000,4679544000,,0,pass,,
timing-Permute-permute-gcc-rxbvm-recorded-1,timing,Permute,permute-gcc-rxbvm,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,2,5000,5706687000,,0,pass,,
timing-Permute-permute-clang-rxvm-recorded-1,timing,Permute,permute-clang-rxvm,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,recorded,1,3,5000,4016941000,,0,pass,,
timing-Permute-permute-clang-rxbvm-recorded-1,timing,Permute,permute-clang-rxbvm,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,recorded,1,4,5000,4099893000,,0,pass,,
timing-Bounce-bounce-gcc-rxvm-recorded-1,timing,Bounce,bounce-gcc-rxvm,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,1,4200,2338301000,,0,pass,,
timing-Bounce-bounce-gcc-rxbvm-recorded-1,timing,Bounce,bounce-gcc-rxbvm,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,2,4200,3224597000,,0,pass,,
timing-Bounce-bounce-clang-rxvm-recorded-1,timing,Bounce,bounce-clang-rxvm,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,recorded,1,3,4200,2707760000,,0,pass,,
timing-Bounce-bounce-clang-rxbvm-recorded-1,timing,Bounce,bounce-clang-rxbvm,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,recorded,1,4,4200,2454225000,,0,pass,,
timing-Richards-richards-gcc-rxvm-recorded-1,timing,Richards,richards-gcc-rxvm,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,1,20,15015394000,,0,pass,,
timing-Richards-richards-gcc-rxbvm-recorded-1,timing,Richards,richards-gcc-rxbvm,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,2,20,15478969000,,0,pass,,
timing-Richards-richards-clang-rxvm-recorded-1,timing,Richards,richards-clang-rxvm,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,recorded,1,3,20,16072126000,,0,pass,,
timing-Richards-richards-clang-rxbvm-recorded-1,timing,Richards,richards-clang-rxbvm,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,recorded,1,4,20,16413198000,,0,pass,,
timing-Base64-base64-gcc-rxvm-recorded-1,timing,Base64,base64-gcc-rxvm,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,1,2500,4859623000,,0,pass,,
timing-Base64-base64-gcc-rxbvm-recorded-1,timing,Base64,base64-gcc-rxbvm,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,2,2500,5096387000,,0,pass,,
timing-Base64-base64-clang-rxvm-recorded-1,timing,Base64,base64-clang-rxvm,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,recorded,1,3,2500,4120376000,,0,pass,,
timing-Base64-base64-clang-rxbvm-recorded-1,timing,Base64,base64-clang-rxbvm,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,recorded,1,4,2500,4028570000,,0,pass,,
timing-Towers-towers-gcc-rxvm-recorded-1,timing,Towers,towers-gcc-rxvm,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,1,100,8231783000,,0,pass,,
timing-Towers-towers-gcc-rxbvm-recorded-1,timing,Towers,towers-gcc-rxbvm,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,recorded,1,2,100,8351779000,,0,pass,,
timing-Towers-towers-clang-rxvm-recorded-1,timing,Towers,towers-clang-rxvm,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,recorded,1,3,100,8685640000,,0,pass,,
