cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-gcc-rxvm,Sieve,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,5500,elapsed_ns,10,2244889000.000000,2247765750.000000,2254336000.000000,2261119500.000000,2272343000.000000,7103000.000000,0.315082,1.217831,no
sieve-gcc-rxbvm,Sieve,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,5500,elapsed_ns,10,2721234000.000000,2722263000.000000,2734896000.000000,2759863250.000000,2782402000.000000,13572000.000000,0.496253,2.236575,no
sieve-clang-rxvm,Sieve,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,5500,elapsed_ns,10,2380374000.000000,2388139250.000000,2402338000.000000,2427048500.000000,2516173000.000000,18533500.000000,0.771478,5.652785,no
sieve-clang-rxbvm,Sieve,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,5500,elapsed_ns,10,2442435000.000000,2457242750.000000,2490960500.000000,2534414250.000000,2669982000.000000,38042000.000000,1.527202,9.134910,no
permute-gcc-rxvm,Permute,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,5000,elapsed_ns,10,4181684000.000000,4228634500.000000,4255220500.000000,4288194750.000000,4404999000.000000,33717500.000000,0.792380,5.248024,no
permute-gcc-rxbvm,Permute,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,5000,elapsed_ns,10,5512506000.000000,5522169000.000000,5545304000.000000,5579255000.000000,5684806000.000000,24326500.000000,0.438686,3.107134,no
permute-clang-rxvm,Permute,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,5000,elapsed_ns,10,4001127000.000000,4009495750.000000,4060441000.000000,4114922500.000000,4202580000.000000,55596000.000000,1.369211,4.961358,no
permute-clang-rxbvm,Permute,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,5000,elapsed_ns,10,4111538000.000000,4175647500.000000,4188966000.000000,4241705500.000000,4527428000.000000,45202000.000000,1.079073,9.928226,no
bounce-gcc-rxvm,Bounce,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,4200,elapsed_ns,20,2349257000.000000,2370318250.000000,2404742500.000000,2424386500.000000,2760464000.000000,31429000.000000,1.306959,17.099835,yes
bounce-gcc-rxbvm,Bounce,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,4200,elapsed_ns,10,3194351000.000000,3198345250.000000,3242232000.000000,3279014750.000000,3333732000.000000,43410000.000000,1.338892,4.298921,no
bounce-clang-rxvm,Bounce,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,4200,elapsed_ns,10,2590561000.000000,2600707500.000000,2639959500.000000,2657642000.000000,2696275000.000000,34649500.000000,1.312501,4.004380,no
bounce-clang-rxbvm,Bounce,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,4200,elapsed_ns,10,2458112000.000000,2481585500.000000,2491256500.000000,2509983000.000000,2551120000.000000,14438000.000000,0.579547,3.733377,no
richards-gcc-rxvm,Richards,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,20,elapsed_ns,10,15020339000.000000,15052230250.000000,15077003000.000000,15268989750.000000,15535854000.000000,55730000.000000,0.369636,3.419214,no
richards-gcc-rxbvm,Richards,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,20,elapsed_ns,10,15326643000.000000,15404195750.000000,15540876500.000000,15649175000.000000,15748922000.000000,135243000.000000,0.870240,2.717215,no
richards-clang-rxvm,Richards,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,20,elapsed_ns,10,16106784000.000000,16236216000.000000,16306328000.000000,16374496750.000000,16904839000.000000,83572500.000000,0.512516,4.894143,no
richards-clang-rxbvm,Richards,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,20,elapsed_ns,10,16106438000.000000,16191270250.000000,16208475000.000000,16457799250.000000,16771504000.000000,101677500.000000,0.627311,4.103199,no
base64-gcc-rxvm,Base64,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,2500,elapsed_ns,10,4695481000.000000,4708657250.000000,4719787500.000000,4751188250.000000,5004886000.000000,19401000.000000,0.411057,6.555486,no
base64-gcc-rxbvm,Base64,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,2500,elapsed_ns,10,5045764000.000000,5052424750.000000,5068002500.000000,5076607000.000000,5090373000.000000,14700000.000000,0.290055,0.880209,no
base64-clang-rxvm,Base64,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,2500,elapsed_ns,10,4103216000.000000,4113413000.000000,4118779000.000000,4128165750.000000,4155344000.000000,6565500.000000,0.159404,1.265618,no
base64-clang-rxbvm,Base64,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,2500,elapsed_ns,10,4027018000.000000,4039080000.000000,4051180500.000000,4151025750.000000,4253249000.000000,15392500.000000,0.379951,5.584323,no
towers-gcc-rxvm,Towers,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,100,elapsed_ns,20,8188750000.000000,8238439750.000000,8289640000.000000,8338231750.000000,9032011000.000000,51517500.000000,0.621468,10.172468,yes
towers-gcc-rxbvm,Towers,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,100,elapsed_ns,10,8368915000.000000,8404957500.000000,8432149500.000000,8611055500.000000,8718734000.000000,44568500.000000,0.528554,4.148634,no
towers-clang-rxvm,Towers,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,100,elapsed_ns,10,8691943000.000000,8717479750.000000,8746482500.000000,8781645250.000000,8976617000.000000,37408000.000000,0.427692,3.254726,no
towers-clang-rxbvm,Towers,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,100,elapsed_ns,10,8785120000.000000,8858940250.000000,8882078000.000000,8931987750.000000,9024046000.000000,40905000.000000,0.460534,2.689979,no
rexxcps-gcc-rxvm,RexxCPS,crexx-gcc,rxvm,mingw-gcc-15.2-o3,A,no,no,1000-clauses,benchmark_rate,10,9323870.000000,9440161.250000,9486594.500000,9526322.250000,9769479.000000,46385.500000,0.488958,4.697249,no
rexxcps-gcc-rxbvm,RexxCPS,crexx-gcc,rxbvm,mingw-gcc-15.2-o3,A,no,no,1000-clauses,benchmark_rate,10,8406519.000000,8609652.250000,8771750.000000,8848904.500000,9041379.000000,146633.500000,1.671656,7.237552,no
rexxcps-clang-rxvm,RexxCPS,crexx-clang,rxvm,clang-22.1.8-o3,A,no,no,1000-clauses,benchmark_rate,10,8980998.000000,9033010.500000,9188302.000000,9304988.250000,9380423.000000,135390.500000,1.473509,4.347104,no
rexxcps-clang-rxbvm,RexxCPS,crexx-clang,rxbvm,clang-22.1.8-o3,A,no,no,1000-clauses,benchmark_rate,20,7362914.000000,8752430.250000,9033640.000000,9105178.500000,9205492.000000,107677.500000,1.191961,20.396850,yes
rexxcps-oorexx,RexxCPS,oorexx,oorexx,canonical-2.2,A,no,no,1000-clauses,benchmark_rate,10,15527950.000000,15600653.000000,15698674.000000,15810306.500000,16207455.000000,117160.000000,0.746305,4.328423,no
rexxcps-regina,RexxCPS,regina,regina,canonical-2.2,A,no,no,1000-clauses,benchmark_rate,10,14760148.000000,14922603.000000,15043302.500000,15247008.000000,15396459.000000,162276.000000,1.078726,4.229862,no
rexxcps-netrexx-ecj,RexxCPS,netrexx-ecj,netrexx-ecj,disclosed-2.2n-ecj,A,no,no,1000-clauses,benchmark_rate,20,9672503.000000,16759239.250000,17422476.000000,18139084.500000,18274876.000000,701794.500000,4.028099,49.375146,yes
