sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Permute-permute-rxvm-recorded-1,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,1,1,5000,1933748000,,0,pass,,
timing-Permute-permute-rxvm-recorded-2,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,2,1,5000,1915535000,,0,pass,,
timing-Permute-permute-rxvm-recorded-3,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,3,1,5000,1935135000,,0,pass,,
timing-Permute-permute-rxvm-recorded-4,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,4,1,5000,1941400000,,0,pass,,
timing-Permute-permute-rxvm-recorded-5,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,5,1,5000,1929871000,,0,pass,,
timing-Permute-permute-rxvm-recorded-6,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,6,1,5000,1926766000,,0,pass,,
timing-Permute-permute-rxvm-recorded-7,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,7,1,5000,1906228000,,0,pass,,
timing-Permute-permute-rxvm-recorded-8,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,8,1,5000,1952001000,,0,pass,,
timing-Permute-permute-rxvm-recorded-9,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,9,1,5000,1899327000,,0,pass,,
timing-Permute-permute-rxvm-recorded-10,timing,Permute,permute-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,10,1,5000,2057270000,,0,pass,,
timing-Base64-base64-rxvm-recorded-1,timing,Base64,base64-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,1,1,2500,1546440000,,0,pass,,
timing-Base64-base64-rxbvm-recorded-1,timing,Base64,base64-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,1,2,2500,1676120000,,0,pass,,
timing-Base64-base64-rxbvm-recorded-2,timing,Base64,base64-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,2,1,2500,1649781000,,0,pass,,
timing-Base64-base64-rxvm-recorded-2,timing,Base64,base64-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,2,2,2500,1556914000,,0,pass,,
timing-Base64-base64-rxvm-recorded-3,timing,Base64,base64-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,3,1,2500,1542327000,,0,pass,,
timing-Base64-base64-rxbvm-recorded-3,timing,Base64,base64-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,3,2,2500,1655483000,,0,pass,,
timing-Base64-base64-rxbvm-recorded-4,timing,Base64,base64-rxbvm,crexx,rxbvm,equivalent-port,A,no,no,recorded,4,1,2500,1771081000,,0,pass,,
timing-Base64-base64-rxvm-recorded-4,timing,Base64,base64-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,4,2,2500,1377956000,,0,pass,,
timing-Base64-base64-rxvm-recorded-5,timing,Base64,base64-rxvm,crexx,rxvm,equivalent-port,A,no,no,recorded,5,1,2500,1544353000,,0,pass,,
