sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Richards-richards-c0-rxvm-warmup-1,timing,Richards,richards-c0-rxvm,c0,rxvm,accepted-product,A,no,no,warmup,1,1,20,6827006000,,0,pass,,
timing-Richards-richards-c1c-r1-rxvm-warmup-1,timing,Richards,richards-c1c-r1-rxvm,c1c-r1,rxvm,unchanged-main-image-library-guard,A,no,no,warmup,1,2,20,6798929000,,0,pass,,
timing-Richards-richards-c0-rxbvm-warmup-1,timing,Richards,richards-c0-rxbvm,c0,rxbvm,accepted-product,A,no,no,warmup,1,3,20,6937042000,,0,pass,,
timing-Richards-richards-c1c-r1-rxbvm-warmup-1,timing,Richards,richards-c1c-r1-rxbvm,c1c-r1,rxbvm,unchanged-main-image-library-guard,A,no,no,warmup,1,4,20,6974773000,,0,pass,,
timing-Richards-richards-c0-rxvm-recorded-1,timing,Richards,richards-c0-rxvm,c0,rxvm,accepted-product,A,no,no,recorded,1,1,20,6835630000,,0,pass,,
timing-Richards-richards-c1c-r1-rxvm-recorded-1,timing,Richards,richards-c1c-r1-rxvm,c1c-r1,rxvm,unchanged-main-image-library-guard,A,no,no,recorded,1,2,20,6829634000,,0,pass,,
timing-Richards-richards-c0-rxbvm-recorded-1,timing,Richards,richards-c0-rxbvm,c0,rxbvm,accepted-product,A,no,no,recorded,1,3,20,6969354000,,0,pass,,
timing-Richards-richards-c1c-r1-rxbvm-recorded-1,timing,Richards,richards-c1c-r1-rxbvm,c1c-r1,rxbvm,unchanged-main-image-library-guard,A,no,no,recorded,1,4,20,6977455000,,0,pass,,
timing-Richards-richards-c1c-r1-rxvm-recorded-2,timing,Richards,richards-c1c-r1-rxvm,c1c-r1,rxvm,unchanged-main-image-library-guard,A,no,no,recorded,2,1,20,6806591000,,0,pass,,
timing-Richards-richards-c0-rxbvm-recorded-2,timing,Richards,richards-c0-rxbvm,c0,rxbvm,accepted-product,A,no,no,recorded,2,2,20,6788566000,,0,pass,,
timing-Richards-richards-c1c-r1-rxbvm-recorded-2,timing,Richards,richards-c1c-r1-rxbvm,c1c-r1,rxbvm,unchanged-main-image-library-guard,A,no,no,recorded,2,3,20,6828836000,,0,pass,,
timing-Richards-richards-c0-rxvm-recorded-2,timing,Richards,richards-c0-rxvm,c0,rxvm,accepted-product,A,no,no,recorded,2,4,20,6763024000,,0,pass,,
