cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
permute-c0-rxvm,Permute,crexx,rxvm,C0-current,A,no,no,5000,elapsed_ns,12,1922854000.000000,1935024500.000000,1953661500.000000,1974544750.000000,2001711000.000000,19425500.000000,0.994312,4.036370,no
permute-prefilter3-rxvm,Permute,crexx,rxvm,C4-prefilter-v3,A,no,no,5000,elapsed_ns,12,1901120000.000000,1918481500.000000,1931289500.000000,1944647500.000000,1972656000.000000,13234500.000000,0.685268,3.704054,no
bounce-c0-rxvm,Bounce,crexx,rxvm,C0-current,A,no,no,4200,elapsed_ns,12,1130239000.000000,1146812750.000000,1155011000.000000,1169594000.000000,1204385000.000000,10131500.000000,0.877178,6.419506,no
bounce-prefilter3-rxvm,Bounce,crexx,rxvm,C4-prefilter-v3,A,no,no,4200,elapsed_ns,12,1122479000.000000,1135759000.000000,1139254500.000000,1164025000.000000,1184861000.000000,11778500.000000,1.033878,5.475686,no
bounce-c0-rxbvm,Bounce,crexx,rxbvm,C0-current,A,no,no,4200,elapsed_ns,12,1475263000.000000,1486436250.000000,1491632500.000000,1497095500.000000,1540090000.000000,5545500.000000,0.371774,4.346044,no
bounce-prefilter3-rxbvm,Bounce,crexx,rxbvm,C4-prefilter-v3,A,no,no,4200,elapsed_ns,12,1451319000.000000,1463609000.000000,1475216500.000000,1484365500.000000,1500465000.000000,10157000.000000,0.688509,3.331443,no
richards-c0-rxvm,Richards,crexx,rxvm,C0-current,A,no,no,20,elapsed_ns,12,3103705000.000000,3137260000.000000,3146799000.000000,3169899000.000000,3196791000.000000,16231500.000000,0.515810,2.958117,no
richards-prefilter3-rxvm,Richards,crexx,rxvm,C4-prefilter-v3,A,no,no,20,elapsed_ns,12,3098157000.000000,3117430250.000000,3123453500.000000,3129182750.000000,3157043000.000000,6020000.000000,0.192735,1.885285,no
richards-c0-rxbvm,Richards,crexx,rxbvm,C0-current,A,no,no,20,elapsed_ns,12,3202083000.000000,3213998750.000000,3215446000.000000,3228097750.000000,3251084000.000000,5934000.000000,0.184547,1.523925,no
richards-prefilter3-rxbvm,Richards,crexx,rxbvm,C4-prefilter-v3,A,no,no,20,elapsed_ns,12,3193423000.000000,3210881750.000000,3226329000.000000,3250563250.000000,3266185000.000000,18939500.000000,0.587029,2.255257,no
