sample_id,measurement,workload,cell_id,runtime,vm,variant,tier,aggregate,lifecycle,phase,round,position,work,elapsed_ns,max_rss_bytes,exit_code,correctness,benchmark_metric,benchmark_unit
timing-Bounce-bounce-c0-rxvm-recorded-1,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,1,1,4200,1158760000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-1,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,1,2,4200,1115219000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-1,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,1,3,4200,1472219000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-1,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,1,4,4200,1473460000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-2,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,2,1,4200,1140737000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-2,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,2,2,4200,1482822000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-2,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,2,3,4200,1487934000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-2,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,2,4,4200,1148582000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-3,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,3,1,4200,1491514000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-3,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,3,2,4200,1458171000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-3,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,3,3,4200,1137081000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-3,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,3,4,4200,1149366000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-4,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,4,1,4200,1511389000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-4,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,4,2,4200,1169484000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-4,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,4,3,4200,1121973000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-4,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,4,4,4200,1518454000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-5,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,5,1,4200,1152554000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-5,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,5,2,4200,1129331000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-5,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,5,3,4200,1495315000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-5,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,5,4,4200,1491822000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-6,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,6,1,4200,1117148000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-6,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,6,2,4200,1558902000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-6,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,6,3,4200,1491929000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-6,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,6,4,4200,1205552000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-7,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,7,1,4200,1484500000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-7,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,7,2,4200,1509150000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-7,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,7,3,4200,1167386000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-7,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,7,4,4200,1122101000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-8,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,8,1,4200,1513507000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-8,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,8,2,4200,1165554000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-8,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,8,3,4200,1183333000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-8,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,8,4,4200,1504950000,,0,pass,,
timing-Bounce-bounce-c0-rxvm-recorded-9,timing,Bounce,bounce-c0-rxvm,crexx,rxvm,C0-current,A,no,no,recorded,9,1,4200,1164381000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-9,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,9,2,4200,1160165000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-9,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,9,3,4200,1534764000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-9,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,9,4,4200,1479408000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxvm-recorded-10,timing,Bounce,bounce-prefilter3-rxvm,crexx,rxvm,C4-prefilter-v3,A,no,no,recorded,10,1,4200,1175451000,,0,pass,,
timing-Bounce-bounce-c0-rxbvm-recorded-10,timing,Bounce,bounce-c0-rxbvm,crexx,rxbvm,C0-current,A,no,no,recorded,10,2,4200,1527748000,,0,pass,,
timing-Bounce-bounce-prefilter3-rxbvm-recorded-10,timing,Bounce,bounce-prefilter3-rxbvm,crexx,rxbvm,C4-prefilter-v3,A,no,no,recorded,10,3,4200,1516122000,,0,pass,,
