sample_id,stream,line_number,text
timing-Permute-permute-c0-rxvm-warmup-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-c0-rxvm-warmup-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-prefilter3-rxvm-warmup-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-prefilter3-rxvm-warmup-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-c0-rxbvm-warmup-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-c0-rxbvm-warmup-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-prefilter3-rxbvm-warmup-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-prefilter3-rxbvm-warmup-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-c0-rxvm-recorded-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-c0-rxvm-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-prefilter3-rxvm-recorded-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-prefilter3-rxvm-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-c0-rxbvm-recorded-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-c0-rxbvm-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-prefilter3-rxbvm-recorded-1,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-prefilter3-rxbvm-recorded-1,stdout,2,PASS: AWFY Permute
timing-Permute-permute-prefilter3-rxvm-recorded-2,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-prefilter3-rxvm-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-permute-c0-rxbvm-recorded-2,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-c0-rxbvm-recorded-2,stdout,2,PASS: AWFY Permute
timing-Permute-permute-prefilter3-rxbvm-recorded-2,stdout,1,benchmark=awfy_permute repetitions=5000 result=8660
timing-Permute-permute-prefilter3-rxbvm-recorded-2,stdout,2,PASS: AWFY Permute
