candidate,workload,vm,n,favorable,paired_median_percent,q1_percent,q3_percent,mean_percent,ci95_mean_low_percent,ci95_mean_high_percent,disposition
C4-prefilter-v1,Base64,rxvm,22,4,-5.730685,-15.622051,-0.992185,-6.715571,-13.096983,-0.334159,rejected_guarded_regression
C4-prefilter-v1,Base64,rxbvm,22,18,5.566282,3.663958,13.615033,7.803173,3.164584,12.441762,rejected_with_v1
C4-prefilter-v1,RexxCPS,rxvm,22,20,2.094053,1.311594,2.867574,2.089110,0.337609,3.840610,reworked
C4-prefilter-v1,RexxCPS,rxbvm,12,11,2.290808,0.961222,3.153118,2.382079,1.233530,3.530628,reworked
C4-prefilter-v1,Sieve,rxvm,12,11,0.571816,0.288561,0.911691,0.529234,0.204763,0.853705,reworked
C4-prefilter-v1,Sieve,rxbvm,12,1,-1.843979,-2.515307,-1.248684,-1.837549,-2.599998,-1.075100,reworked
C4-prefilter-v2,Base64,rxvm,34,20,1.422515,-4.917835,10.837082,1.475731,-2.499188,5.450649,locale_contract_reject
C4-prefilter-v2,Base64,rxbvm,34,27,5.393850,1.328543,13.929511,7.351701,3.618767,11.084635,locale_contract_reject
C4-prefilter-v2,RexxCPS,rxvm,12,10,2.667865,0.558100,3.403490,2.078706,0.597255,3.560157,locale_contract_reject
C4-prefilter-v2,RexxCPS,rxbvm,12,11,1.420028,1.127680,2.673474,1.767918,1.047789,2.488047,locale_contract_reject
C4-prefilter-v2,Sieve,rxvm,12,8,0.289704,-0.067045,0.916284,0.427333,0.046681,0.807985,locale_contract_reject
C4-prefilter-v2,Sieve,rxbvm,12,9,0.600778,-0.281611,1.780589,0.607318,-0.814499,2.029135,locale_contract_reject
C4-prefilter-v3,Base64,rxvm,34,19,4.469598,-5.855795,11.433668,2.754272,-1.006895,6.515439,noisy_inconclusive_favourable_median
C4-prefilter-v3,Base64,rxbvm,22,18,9.025371,2.276154,11.211947,6.699205,3.434913,9.963498,decisive_favourable
C4-prefilter-v3,RexxCPS,rxvm,12,12,2.736183,1.546882,3.435200,2.476536,1.639151,3.313922,decisive_favourable
C4-prefilter-v3,RexxCPS,rxbvm,34,15,-0.253652,-1.178210,0.892198,-0.361672,-1.458268,0.734925,noisy_inconclusive
C4-prefilter-v3,Sieve,rxvm,12,11,0.408805,0.175556,0.619301,0.456014,0.183775,0.728252,zero_call_layout_control_favourable
C4-prefilter-v3,Sieve,rxbvm,12,10,1.522741,0.526927,2.865250,1.740095,0.756981,2.723209,zero_call_layout_control_favourable
C4-prefilter-v3,Permute,rxvm,24,17,1.065570,-0.414077,1.607583,0.879461,0.134073,1.624850,zero_call_layout_control_favourable
C4-prefilter-v3,Permute,rxbvm,12,4,-0.445719,-1.314255,0.097703,-0.842600,-1.619796,-0.065405,zero_call_layout_control_small_adverse_inside_guard
C4-prefilter-v3,Bounce,rxvm,36,24,1.064345,-0.362309,2.915481,1.259871,0.300265,2.219478,zero_call_layout_control_favourable_at_cap
C4-prefilter-v3,Bounce,rxbvm,36,23,0.758341,-0.472497,2.058386,0.793081,0.140870,1.445292,zero_call_layout_control_favourable_at_cap
C4-prefilter-v3,Richards,rxvm,24,16,0.489729,-0.047807,1.254218,0.579715,0.220457,0.938973,zero_call_layout_control_favourable
C4-prefilter-v3,Richards,rxbvm,36,19,0.146691,-0.940312,0.691449,-0.015207,-0.400488,0.370073,zero_call_layout_control_neutral_at_cap
