sample_id,stream,line_number,text
timing-Sieve-sieve-train-rxvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-train-rxvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Sieve-sieve-train-rxbvm-recorded-1,stdout,1,benchmark=awfy_sieve repetitions=5500 result=669
timing-Sieve-sieve-train-rxbvm-recorded-1,stdout,2,PASS: AWFY Sieve
timing-Base64-base64-train-rxvm-recorded-1,stdout,1,benchmark=base64_roundtrip repetitions=2500 encoded_length=1368 checksum=130560
timing-Base64-base64-train-rxvm-recorded-1,stdout,2,PASS: Base64 Roundtrip
timing-Base64-base64-train-rxbvm-recorded-1,stdout,1,benchmark=base64_roundtrip repetitions=2500 encoded_length=1368 checksum=130560
timing-Base64-base64-train-rxbvm-recorded-1,stdout,2,PASS: Base64 Roundtrip
timing-Richards-richards-train-rxvm-recorded-1,stdout,1,benchmark=awfy_richards repetitions=20 queue_packets=23246 holds=9297
timing-Richards-richards-train-rxvm-recorded-1,stdout,2,PASS: AWFY Richards
timing-Richards-richards-train-rxbvm-recorded-1,stdout,1,benchmark=awfy_richards repetitions=20 queue_packets=23246 holds=9297
timing-Richards-richards-train-rxbvm-recorded-1,stdout,2,PASS: AWFY Richards
timing-Towers-towers-train-rxvm-recorded-1,stdout,1,benchmark=awfy_towers repetitions=100 result=8191
timing-Towers-towers-train-rxvm-recorded-1,stdout,2,PASS: AWFY Towers
timing-Towers-towers-train-rxbvm-recorded-1,stdout,1,benchmark=awfy_towers repetitions=100 result=8191
timing-Towers-towers-train-rxbvm-recorded-1,stdout,2,PASS: AWFY Towers
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,1,----- REXXCPS 2.2d -- Measuring cREXX clauses/second -----
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,2, cREXX version is: macOS 64 crexx-1.0.0-beta.3+local.g4a3940395980.dirty 20260801
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,3,       System is: macOS
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,4,REXXCPS-PROVENANCE contract=canonical-default argv_count=0 initial_count=100 averaging=100
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,5,        Averaged: 300 x 100 iterations of 1000 clauses (over 1.0 s)
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,6,REXXCPS-EFFECTIVE contract=canonical-default initial_count=100 effective_count=300 averaging=100 calibrated=1
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,7,
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,8,     Performance: 29272148 cREXX clauses per second
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,9,
timing-RexxCPS-rexxcps-train-rxvm-recorded-1,stdout,10,PASS: RexxCPS 2.2d cREXX port
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,1,----- REXXCPS 2.2d -- Measuring cREXX clauses/second -----
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,2, cREXX version is: macOS 64 crexx-1.0.0-beta.3+local.g4a3940395980.dirty 20260801
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,3,       System is: macOS
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,4,REXXCPS-PROVENANCE contract=canonical-default argv_count=0 initial_count=100 averaging=100
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,5,        Averaged: 300 x 100 iterations of 1000 clauses (over 1.0 s)
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,6,REXXCPS-EFFECTIVE contract=canonical-default initial_count=100 effective_count=300 averaging=100 calibrated=1
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,7,
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,8,     Performance: 29000750 cREXX clauses per second
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,9,
timing-RexxCPS-rexxcps-train-rxbvm-recorded-1,stdout,10,PASS: RexxCPS 2.2d cREXX port
