workload,round,tool,real_s,max_rss_bytes
richards,1,m04,0.05,12484608
richards,1,m05,0.05,24051712
richards,2,m04,0.05,12435456
richards,2,m05,0.06,24018944
richards,3,m04,0.05,12484608
richards,3,m05,0.06,23822336
towers,1,m04,0.02,6733824
towers,1,m05,0.02,8781824
towers,2,m04,0.02,6897664
towers,2,m05,0.02,8716288
towers,3,m04,0.01,6832128
towers,3,m05,0.02,8749056
rexxcps,1,m04,0.05,29868032
rexxcps,1,m05,0.17,102776832
rexxcps,2,m04,0.05,29786112
rexxcps,2,m05,0.16,102809600
rexxcps,3,m04,0.06,29949952
rexxcps,3,m05,0.16,102793216
