case,opcode,frozen_m05,new_m06,classification
forward_integer_result,LOAD_REG_INT,removed,removed,old-floor-recovered
forward_float_result,LOAD_REG_FLOAT,removed,removed,old-floor-recovered
compare_producer_result,IEQ_REG_REG_INT,removed,removed,old-floor-recovered
jump_table_enables_local_flow_1,LOAD_REG_INT,removed,removed,old-floor-recovered
jump_table_enables_local_flow_2,LOAD_REG_INT,removed,removed,old-floor-recovered
jump_table_enables_local_flow_3,LOAD_REG_INT,removed,removed,old-floor-recovered
jump_table_enables_local_flow_4,LOAD_REG_INT,removed,removed,old-floor-recovered
jump_table_enables_local_flow_5,LOAD_REG_INT,removed,removed,old-floor-recovered
typed_copy_source_changed,LOAD_REG_INT,removed,removed,old-floor-recovered
typed_copy_live_across_call,LOAD_REG_INT,removed,removed,old-floor-recovered
relevant_register_metadata,LOAD_REG_INT,removed,removed,old-floor-recovered
copy_before_endlife,LOAD_REG_INT,m05-owned,m05-owned,historical-twelfth-retained
temporary_still_live,LOAD_REG_INT,rejected,rejected,temporary-observable
throwing_producer_deferred,IADD_REG_REG_INT,rejected,rejected,not-exact-producer-forward
async_final_observation,LOAD_REG_INT,rejected,rejected,temporary-observable
typed_view_mismatch,LOAD_REG_INT,rejected,rejected,not-exact-producer-forward
source_step_after_copy,LOAD_REG_INT,rejected,rejected,address-observed
destination_read_by_producer,IEQ_REG_REG_INT,rejected,rejected,destination-observable
temporary_cleanup_required,LOAD_REG_INT,rejected,rejected,cleanup-required-explicit
destination_cleanup_required,LOAD_REG_INT,rejected,rejected,cleanup-required-explicit
copy_loop_mixed_entry,IEQ_REG_REG_INT,rejected,rejected,storage-changed
copy_observed_by_throw_handler,LOAD_REG_INT,rejected,rejected,temporary-observable
